county_name,fips,total_births,morbidity_births,morbidity_rate,state
"Clay County, FL",12019,2209,14.0,0.006337709370755998,FL
"Collier County, FL",12021,3322,40.0,0.012040939193257074,FL
"Duval County, FL",12031,13292,144.0,0.010833584110743304,FL
"Escambia County, FL",12033,3967,23.0,0.005797832114948324,FL
"Hernando County, FL",12053,1585,10.0,0.006309148264984227,FL
"Hillsborough County, FL",12057,17325,102.0,0.0058874458874458874,FL
"Indian River County, FL",12061,1245,14.0,0.011244979919678716,FL
"Lake County, FL",12069,3269,18.0,0.005506271030896299,FL
"Lee County, FL",12071,6750,31.0,0.0045925925925925926,FL
"Leon County, FL",12073,2989,16.0,0.005352960856473737,FL
"Manatee County, FL",12081,3445,27.0,0.00783744557329463,FL
"Marion County, FL",12083,3472,11.0,0.0031682027649769587,FL
"Martin County, FL",12085,1273,18.0,0.014139827179890024,FL
"Miami-Dade County, FL",12086,32697,141.0,0.004312322231397376,FL
"Okaloosa County, FL",12091,2784,24.0,0.008620689655172414,FL
"Orange County, FL",12095,16653,96.0,0.005764727076202486,FL
"Osceola County, FL",12097,4328,10.0,0.0023105360443622922,FL
"Palm Beach County, FL",12099,14965,115.0,0.007684597393919144,FL
"Pasco County, FL",12101,5108,64.0,0.012529365700861394,FL
"Pinellas County, FL",12103,8480,72.0,0.008490566037735849,FL
"Polk County, FL",12105,7804,54.0,0.006919528446950282,FL
"St. Johns County, FL",12109,2120,18.0,0.008490566037735849,FL
"St. Lucie County, FL",12111,2999,28.0,0.009336445481827277,FL
"Santa Rosa County, FL",12113,1906,12.0,0.0062959076600209865,FL
"Sarasota County, FL",12115,2926,30.0,0.010252904989747095,FL
"Seminole County, FL",12117,4753,17.0,0.0035766884073216917,FL
"Volusia County, FL",12127,5032,37.0,0.007352941176470588,FL
"Unidentified Counties, FL",12999,13182,86.0,0.0065240479441662875,FL
"Bartow County, GA",13015,1338,0.0,0.0,GA
"Bibb County, GA",13021,2191,17.0,0.007759014148790507,GA
"Carroll County, GA",13045,1615,11.0,0.006811145510835914,GA
"Chatham County, GA",13051,3975,21.0,0.005283018867924529,GA
"Cherokee County, GA",13057,2700,43.0,0.015925925925925927,GA
"Clarke County, GA",13059,1392,20.0,0.014367816091954023,GA
"Clayton County, GA",13063,3809,25.0,0.006563402467839328,GA
"Cobb County, GA",13067,9579,111.0,0.011587848418415283,GA
"Columbia County, GA",13073,1831,26.0,0.014199890770071,GA
"Coweta County, GA",13077,1634,11.0,0.006731946144430845,GA
"DeKalb County, GA",13089,11060,66.0,0.0059674502712477396,GA
"Douglas County, GA",13097,1693,17.0,0.01004134672179563,GA
"Fayette County, GA",13113,911,0.0,0.0,GA
"Forsyth County, GA",13117,2297,28.0,0.012189812799303439,GA
"Fulton County, GA",13121,13123,101.0,0.007696410881658158,GA
"Gwinnett County, GA",13135,11365,62.0,0.0054553453585569735,GA
"Hall County, GA",13139,2574,0.0,0.0,GA
"Henry County, GA",13151,2511,15.0,0.005973715651135006,GA
"Houston County, GA",13153,1956,0.0,0.0,GA
"Lowndes County, GA",13185,1605,35.0,0.021806853582554516,GA
"Muscogee County, GA",13215,2912,43.0,0.014766483516483516,GA
"Paulding County, GA",13223,1644,0.0,0.0,GA
"Richmond County, GA",13245,3061,29.0,0.009474028095393662,GA
"Whitfield County, GA",13313,1424,0.0,0.0,GA
"Unidentified Counties, GA",13999,41842,455.0,0.010874241193059605,GA
"Hawaii County, HI",15001,2349,20.0,0.008514261387824606,HI
"Honolulu County, HI",15003,12983,217.0,0.01671416467688516,HI
"Maui County, HI",15009,1882,0.0,0.0,HI
"Unidentified Counties, HI",15999,845,0.0,0.0,HI
"Ada County, ID",16001,5045,70.0,0.013875123885034688,ID
