State,Subspecialty,Provider Count,State Total,Percent of State
WI,Obstetrics & Gynecology,827,980,84.4
WI,Reproductive Endocrinology,13,980,1.3
WV,Female Pelvic Medicine and Reconstructive Surgery,4,240,1.7
WV,Gynecologic Oncology,3,240,1.2
WV,Gynecology,17,240,7.1
WV,Hospice and Palliative Medicine,1,240,0.4
WV,Maternal & Fetal Medicine,5,240,2.1
WV,Obstetrics,4,240,1.7
WV,Obstetrics & Gynecology,205,240,85.4
WV,Reproductive Endocrinology,1,240,0.4
WY,Gynecology,12,89,13.5
WY,Obstetrics,2,89,2.2
WY,Obstetrics & Gynecology,75,89,84.3
