fips,n_obgyn,n_connected,n_hubs,n_isolated,mean_degree,median_degree,max_degree,mean_betweenness,mean_eigenvector,mean_weighted_degree,n_subspecialties,dominant_state,pct_connected,pct_isolated,pct_hub,county_name,total_births,morbidity_births,morbidity_rate,state,obgyn_per_10k_births,target,target_label
05119,129,39,4,90,4.930232558139535,0.0,448,9.561058693589739e-05,3.6230420608631775e-08,138.1782945736434,8,AR,30.2,69.8,3.1,"Pulaski County, AR",5348,23.0,0.0043006731488406,AR,241.21,False,Other
05125,5,1,0,4,1.6,0.0,8,0.00011334873718847999,9.014366078356632e-12,21.6,2,AR,20.0,80.0,0.0,"Saline County, AR",1326,0.0,0.0,AR,37.71,False,Other
05131,27,11,2,16,2.3333333333333335,0.0,25,2.8514820146235825e-05,7.837127389172337e-16,39.7037037037037,3,AR,40.7,59.3,7.4,"Sebastian County, AR",1721,32.0,0.0185938407902382,AR,156.89,False,Other
05143,35,11,0,24,0.8285714285714286,0.0,7,5.78748341862784e-06,3.4901881781176983e-16,13.0,4,AR,31.4,68.6,0.0,"Washington County, AR",3280,36.0,0.0109756097560975,AR,106.71,False,Other
06001,376,48,4,328,0.6329787234042553,0.0,37,8.824437495642949e-05,2.8111577378473773e-16,11.034574468085106,8,CA,12.8,87.2,1.1,"Alameda County, CA",19573,267.0,0.0136412404843406,CA,192.1,False,Other
06007,33,12,3,21,3.303030303030303,0.0,23,3.209340145776482e-05,2.3310171552255425e-19,51.303030303030305,5,CA,36.4,63.6,9.1,"Butte County, CA",2490,25.0,0.0100401606425702,CA,132.53,False,Other
06013,179,24,1,155,0.7039106145251397,0.0,16,8.637378059133804e-05,1.5224192644793987e-18,11.318435754189943,8,CA,13.4,86.6,0.6,"Contra Costa County, CA",12340,252.0,0.0204213938411669,CA,145.06,True,Target (High Risk + Weak Network)
06017,17,8,0,9,1.7058823529411764,0.0,6,0.0,2.926160022446796e-19,26.235294117647058,2,CA,47.1,52.9,0.0,"El Dorado County, CA",1601,14.0,0.0087445346658338,CA,106.18,False,Other
06019,145,44,1,101,0.8413793103448276,0.0,16,6.229722905528782e-06,-1.5074355210456689e-19,14.248275862068965,6,CA,30.3,69.7,0.7,"Fresno County, CA",15129,50.0,0.0033049110978914,CA,95.84,False,Other
06023,13,5,2,8,4.153846153846154,0.0,30,9.354624450915703e-08,1.060020256708161e-18,90.15384615384616,3,CA,38.5,61.5,15.4,"Humboldt County, CA",1482,31.0,0.0209176788124156,CA,87.72,False,Other
06025,16,6,2,10,4.6875,0.0,40,0.0,1.0393143565260837e-18,86.375,3,CA,37.5,62.5,12.5,"Imperial County, CA",2939,0.0,0.0,CA,54.44,False,Other
06029,101,18,0,83,0.45544554455445546,0.0,9,2.2299201809917832e-06,4.3299376055079355e-19,6.198019801980198,9,CA,17.8,82.2,0.0,"Kern County, CA",13728,87.0,0.0063374125874125,CA,73.57,False,Other
06031,4,3,0,1,2.5,1.0,8,4.053670595396805e-08,-1.321170948824154e-19,33.5,2,CA,75.0,25.0,0.0,"Kings County, CA",2248,0.0,0.0,CA,17.79,False,Other
06037,1670,237,34,1433,1.0568862275449102,0.0,133,8.741902457334383e-05,4.755623230800571e-16,20.678443113772456,9,CA,14.2,85.8,2.0,"Los Angeles County, CA",123092,1105.0,0.0089770253143989,CA,135.67,False,Other
06039,17,3,0,14,0.5882352941176471,0.0,5,8.345792402287539e-09,5.606913838046379e-20,9.294117647058824,4,CA,17.6,82.4,0.0,"Madera County, CA",2355,84.0,0.0356687898089171,CA,72.19,False,Other
06041,61,16,5,45,2.7540983606557377,0.0,34,8.624361401350094e-05,2.3671094895544817e-15,46.24590163934426,4,CA,26.2,73.8,8.2,"Marin County, CA",2252,20.0,0.0088809946714031,CA,270.87,False,Other
06047,20,8,0,12,1.2,0.0,7,4.322226272341843e-07,9.259042644059073e-20,17.25,3,CA,40.0,60.0,0.0,"Merced County, CA",4117,31.0,0.0075297546757347,CA,48.58,False,Other
06053,65,22,7,43,4.153846153846154,0.0,58,0.00011249410389565595,2.6516262475092773e-18,77.44615384615385,3,CA,33.8,66.2,10.8,"Monterey County, CA",6219,75.0,0.0120598166907863,CA,104.52,False,Other
06055,22,8,1,14,2.727272727272727,0.0,18,8.101690619660152e-05,-1.3276821080978297e-19,45.54545454545455,2,CA,36.4,63.6,4.5,"Napa County, CA",1406,21.0,0.0149359886201991,CA,156.47,False,Other
06059,566,95,9,471,0.7756183745583038,0.0,30,4.788010451193725e-07,6.5775549762078346e-21,12.740282685512367,8,CA,16.8,83.2,1.6,"Orange County, CA",38106,289.0,0.0075841074896341,CA,148.53,False,Other
06061,67,10,1,57,1.044776119402985,0.0,53,4.023600829935335e-05,-1.405579974376777e-19,16.98507462686567,5,CA,14.9,85.1,1.5,"Placer County, CA",3732,55.0,0.0147374062165058,CA,179.53,False,Other
06065,191,28,10,163,1.743455497382199,0.0,55,4.2966515372148754e-05,-2.0115276651021942e-19,32.00523560209424,8,CA,14.7,85.3,5.2,"Riverside County, CA",30661,223.0,0.0072730830696976,CA,62.29,False,Other
06067,334,37,4,297,0.5239520958083832,0.0,29,9.911588707893975e-06,4.7466174254976475e-20,9.583832335329342,7,CA,11.1,88.9,1.2,"Sacramento County, CA",19588,235.0,0.0119971411068,CA,170.51,False,Other
06071,255,25,2,230,0.4823529411764706,0.0,26,2.1484454155598305e-06,2.2007023841502967e-16,8.098039215686274,8,CA,9.8,90.2,0.8,"San Bernardino County, CA",31032,651.0,0.0209783449342614,CA,82.17,True,Target (High Risk + Weak Network)
