nbr,prompt
1,Play 3 of your go to sad songs
2,Play 3 of your go to be happy songs
3,Play a clip of a funny comedian skit
4,Find 3 cocktail recipes online you would like to make
5,Find 1 wing recipe you want to make
6,Review options listed in activity page and discuss
7,You propose an activity
8,You propose an activity
