revenue_source,amount
Transfer from Telecommunications Dev. Account,4915000
Central Recycling and Transfer Fund,4905000
El Pueblo Revenue Fund,4882958
El Pueblo Revenue Fund,4859619
Forfeited Assets Trust Fund,4858320
Landfill Maintenance Special Fund,4837000
El Pueblo Revenue Fund,4831960
Street Lighting Maintenance Asmt. Fund,4828298
Municipal Housing Finance Fund,4827722
Residential Development Tax,4800000
Mobile Source Air Pollution Reduction Fund,4783557
El Pueblo Revenue Fund,4754000
Mobile Source Air Pollution Reduction Fund,4750000
Residential Development Tax,4740000
Residential Development Tax,4740000
Mobile Source Air Pollution Reduction Fund,4724918
Mobile Source Air Pollution Reduction Fund,4715000
Mobile Source Air Pollution Reduction Fund,4713740
Mobile Source Air Pollution Reduction Fund,4698000
El Pueblo Revenue Fund,4646078
Landfill Maintenance Special Fund,4632252
Mobile Source Air Pollution Reduction Fund,4631000
Special Gas Tax Fund,4629437
El Pueblo Revenue Fund,4623667
Mobile Source Air Pollution Reduction Fund,4602076
Landfill Maintenance Special Fund,4599748
Prop. C Anti-Gridlock Transit Improvement Fund,4591119
Multi-Family Bulky Item Fund,4535130
Planning Case Processing Revenue Fund,4529479
El Pueblo Revenue Fund,4507398
El Pueblo Revenue Fund,4461686
Neighborhood Empowerment Fund,4459079
Municipal Housing Finance Fund,4437592
Landfill Maintenance Special Fund,4425420
El Pueblo Revenue Fund,4399611
HOME Investment Partnerships Program Fund,4372455
Local Transportation Fund,4361605
Forfeited Assets Trust Fund,4318895
Local Transportation Fund,4315419
Disaster Assistance Trust Fund,4272844
Neighborhood Empowerment Fund,4241660
Landfill Maintenance Special Fund,4236431
Staples Arena Special Fund,4184998
Multi-Family Bulky Item Fund,4184345
Staples Arena Special Fund,4150000
Local Transportation Fund,4146558
Traffic Safety Fund,4100000
Fines--State Vehicle Code,4100000
Fines--State Vehicle Code,4100000
Supplemental Law Enforcement Services,4098000
Landfill Maintenance Special Fund,4094890
Staples Arena Special Fund,4090000
Supplemental Law Enforcement Services Fund,4061302
Local Transportation Fund,4057910
Staples Arena Special Fund,4049000
Staples Arena Special Fund,4035000
Stormwater Pollution Abatement Fund,4007207
Special Gas Tax Fund,3988312
Staples Arena Special Fund,3965859
Local Transportation Fund,3910160
Forfeited Assets Trust Fund,3893765
Municipal Housing Finance Fund,3877530
Staples Arena Special Fund,3842653
Special Police Comm./911 System Tax Fund,3828184
City Ethics Commission Fund,3735975
Residential Development Tax,3693000
Special Gas Tax Fund,3683676
Household Hazardous Waste Special Fund,3670993
Staples Arena Special Fund,3631014
Transfer from Reserve Fund,3616627
Zoo Enterprise Trust Fund,3613245
Municipal Housing Finance Fund,3576000
Special Parking Revenue Fund,3573347
Neighborhood Empowerment Fund,3557147
Central Recycling and Transfer Fund,3553421
Local Transportation Fund,3545740
Supplemental Law Enforcement Services,3538698
City Employees Ridesharing Fund,3527100
City Ethics Commission Fund,3501586
Park and Recreational Sites and Facilities Fund,3500000
Park and Recreational Sites and Facilities Fund,3500000
Multi-Family Bulky Item Fund,3482706
City Employees Ridesharing Fund,3480752
City Ethics Commission Fund,3459569
Staples Arena Special Fund,3419334
City Employees Ridesharing Fund,3399500
Household Hazardous Waste Special Fund,3395000
City Employees Ridesharing Fund,3394000
Supplemental Law Enforcement Services Fund,3393558
Street Damage Restoration Fee Fund,3393217
Household Hazardous Waste Special Fund,3393000
Household Hazardous Waste Special Fund,3393000
Household Hazardous Waste Special Fund,3393000
L.A. Convention and Visitors Bureau Fund,3366709
Arts Development Fee Trust Fund,3358779
City Employees Ridesharing Fund,3347339
City Employees Ridesharing Fund,3329609
City Employees Ridesharing Fund,3310000
Residential Development Tax,3280000
Municipal Housing Finance Fund,3274000
City Employees Ridesharing Fund,3238837
Central Recycling and Transfer Fund,3232110
Household Hazardous Waste Special Fund,3226800
State Motor Vehicle License Fees,3197538
Staples Arena Special Fund,3150000
Stormwater Pollution Abatement Fund,3138250
Forfeited Assets Trust Fund,3096181
Neighborhood Empowerment Fund,3080188
City Ethics Commission Fund,3075429
Prop. C Anti-Gridlock Transit Improvement Fund,3062713
Central Recycling and Transfer Fund,3056134
City Ethics Commission Fund,3053968
Household Hazardous Waste Special Fund,3038895
City Employees Ridesharing Fund,3010000
Park and Recreational Sites and Facilities Fund,3000000
City Employees Ridesharing Fund,2997000
L.A. Convention and Visitors Bureau Fund,2993359
Stormwater Program Funds,2956215
Household Hazardous Waste Special Fund,2951716
Central Recycling and Transfer Fund,2931476
Supplemental Law Enforcement Services Fund,2928948
Local Transportation Fund,2913652
Older Americans Act Fund,2892529
Mobile Source Air Pollution Reduction Fund,2879181
Older Americans Act Fund,2865906
Major Projects Review Trust Fund,2855798
Local Transportation Fund,2848790
L.A. Convention and Visitors Bureau Fund,2838424
Older Americans Act Fund,2827098
Street Damage Restoration Fee Fund,2826207
Older Americans Act Fund,2824648
L.A. Convention and Visitors Bureau Fund,2822221
Local Transportation Fund,2810585
Measure R Traffic Relief and Rail Expansion Fund,2766491
Neighborhood Empowerment Fund,2761537
Park and Recreational Sites and Facilities Fund,2750000
Older Americans Act Fund,2746480
Older Americans Act Fund,2741038
Household Hazardous Waste Special Fund,2733964
City Ethics Commission Fund,2730673
Special Police Comm./911 System Tax Fund,2727272
Local Transportation Fund,2723776
Planning Case Processing Revenue Fund,2661000
Older Americans Act Fund,2623207
Older Americans Act Fund,2614461
Neighborhood Empowerment Fund,2595396
City Employees Ridesharing Fund,2574692
Sidewalk Repair Fund,2548630
Municipal Housing Finance Fund,2524336
Arts Development Fee Trust Fund,2523918
Park and Recreational Sites and Facilities Fund,2500000
Older Americans Act Fund,2494371
Central Recycling and Transfer Fund,2479280
Park and Recreational Sites and Facilities Fund,2470000
City Ethics Commission Fund,2452515
Zoo Enterprise Trust Fund,2440491
Efficiency and Police Hires Fund,2434126
Local Transportation Fund,2430606
Central Recycling and Transfer Fund,2424387
Code Compliance Fund,2415101
City Ethics Commission Fund,2404882
Code Compliance Fund,2338342
Older Americans Act Fund,2326382
Local Public Safety Fund,2314000
L.A. Convention and Visitors Bureau Fund,2310265
Stormwater Pollution Abatement Fund,2305486
Landfill Maintenance Trust Fund,2300038
Multi-Family Bulky Item Fund,2294607
Zoo Enterprise Trust Fund,2278259
Older Americans Act Fund,2268077
Community Services Administration Grant,2259224
Older Americans Act Fund,2247091
Stormwater Pollution Abatement Fund,2241551
Central Recycling and Transfer Fund,2197833
Special Police Comm./911 System Tax Fund,2187280
Central Recycling and Transfer Fund,2155189
Local Transportation Fund,2155125
Mobile Source Air Pollution Reduction Fund,2141368
State Motor Vehicle License Fees,2127000
City Ethics Commission Fund,2125825
City Ethics Commission Fund,2109024
Residential Development Tax,2100000
State Motor Vehicle License Fees,2100000
Residential Development Tax,2100000
Housing Department Affordable Housing Trust Fund,2096000
Local Transportation Fund,2067333
Zoo Enterprise Trust Fund,2044775
Municipal Housing Finance Fund,2024771
Household Hazardous Waste Special Fund,2012662
Household Hazardous Waste Special Fund,2006810
Park and Recreational Sites and Facilities Fund,2000000
Community Services Administration Grant,1976485
Forfeited Assets Trust Fund,1972162
Household Hazardous Waste Special Fund,1968356
Arts Development Fee Trust Fund,1960000
Community Services Administration Grant,1949584
State Motor Vehicle License Fees,1946000
Community Services Administration Grant,1944136
Housing Department Affordable Housing Trust Fund,1933000
Household Hazardous Waste Special Fund,1911210
Residential Development Tax,1905000
Telecommunications Development Account,1871736
City Ethics Commission Fund,1866479
Staples Arena Special Fund,1856830
City Ethics Commission Fund,1848864
Community Services Administration Grant,1837449
Measure R Traffic Relief and Rail Expansion Fund,1836473
State Motor Vehicle License Fees,1806000
Community Services Administration Grant,1800000
Major Projects Review Trust Fund,1761000
Household Hazardous Waste Special Fund,1734875
Housing Department Affordable Housing Trust Fund,1718902
Zoo Enterprise Trust Fund,1716430
Street Damage Restoration Fee Fund,1711156
State Motor Vehicle License Fees,1700000
Residential Development Tax,1700000
Residential Development Tax,1700000
Staples Arena Special Fund,1699451
State Motor Vehicle License Fees,1678000
Arts Development Fee Trust Fund,1663000
Local Public Safety Fund,1660463
Neighborhood Empowerment Fund,1597371
State Motor Vehicle License Fees,1596590
Community Services Administration Grant,1596503
Landfill Maintenance Trust Fund,1591503
Community Services Administration Grant,1591140
Local Public Safety Fund,1588490
Neighborhood Empowerment Fund,1563683
Landfill Maintenance Trust Fund,1545431
Telecommunications Development Account,1530220
Community Services Administration Grant,1519474
L.A. Convention and Visitors Bureau Fund,1513373
Housing Department Affordable Housing Trust Fund,1500169
Code Compliance Fund,1500000
Supplemental Law Enforcement Services,1500000
L.A. Convention and Visitors Bureau Fund,1490367
Municipal Housing Finance Fund,1470033
Community Services Administration Grant,1460392
Landfill Maintenance Trust Fund,1444297
City Employees Ridesharing Fund,1425671
L.A. Convention and Visitors Bureau Fund,1401767
L.A. Convention and Visitors Bureau Fund,1396971
Stormwater Pollution Abatement Fund,1396758
Local Public Safety Fund,1363950
Municipal Housing Finance Fund,1362306
Community Services Administration Grant,1360392
Community Services Administration Grant,1333627
Municipal Housing Finance Fund,1320600
Municipal Housing Finance Fund,1320000
Mobile Source Air Pollution Reduction Fund,1289168
Street Damage Restoration Fee Fund,1285371
Neighborhood Empowerment Fund,1279585
Adopted Budget Spevial Fund Revisions,1277984
Municipal Housing Finance Fund,1276500
Arts Development Fee Trust Fund,1275000
Code Enforcement Trust Fund,1267350
Supplemental Law Enforcement Services Fund,1258932
Special Gas Tax Fund,1252650
Multi-Family Bulky Item Fund,1245011
Municipal Housing Finance Fund,1226756
Arts Development Fee Trust Fund,1222680
L.A. Convention and Visitors Bureau Fund,1220031
Park and Recreational Sites and Facilities Fund,1200000
Park and Recreational Sites and Facilities Fund,1200000
Park and Recreational Sites and Facilities Fund,1200000
Housing Department Affordable Housing Trust Fund,1200000
Central Recycling and Transfer Fund,1184936
Housing Department Affordable Housing Trust Fund,1183600
Special Police Comm./911 System Tax Fund,1183483
Prop. C Anti-Gridlock Transit Improvement Fund,1154414
Arts Development Fee Trust Fund,1145461
Arts Development Fee Trust Fund,1142966
Convention Center Revenue Fund,1141900
Housing Department Affordable Housing Trust Fund,1100000
Mobile Source Air Pollution Reduction Fund,1066238
Stormwater Pollution Abatement Fund,1061522
Arts Development Fee Trust Fund,1055132
Arts Development Fee Trust Fund,1040000
Local Transportation Fund,1036171
Mobile Source Air Pollution Reduction Fund,1010568
Housing Department Affordable Housing Trust Fund,1000000
Park and Recreational Sites and Facilities Fund,1000000
Special Police Comm./911 System Tax Fund,992890
Arts Development Fee Trust Fund,990000
Arts Development Fee Trust Fund,990000
Staples Arena Special Fund,977997
Arts Development Fee Trust Fund,974771
Traffic Safety Fund,946672
Planning Case Processing Revenue Fund,942904
Housing Department Affordable Housing Trust Fund,942066
Mobile Source Air Pollution Reduction Fund,918146
Cannabis Regulation Special Revenue Trust Fund,906974
Planning Case Processing Revenue Fund,877000
Arts and Cultural Facilities and Services Fund,866104
Municipal Housing Finance Fund,860750
Landfill Maintenance Trust Fund,848775
Code Compliance Fund,848543
Housing Department Affordable Housing Trust Fund,848000
Special Police Comm./911 System Tax Fund,825166
Park and Recreational Sites and Facilities Fund,800000
Housing Opportunities for Persons with AIDS,782849
Housing Opportunities for Persons with AIDS,763297
Mobile Source Air Pollution Reduction Fund,760299
Telecommunications Development Account,754088
Disaster Assistance Trust Fund,753000
Arts Development Fee Trust Fund,724714
Household Hazardous Waste Special Fund,719436
Arts Development Fee Trust Fund,695411
Arts Development Fee Trust Fund,694032
Arts and Cultural Facilities and Services Fund,681027
Multi-Family Bulky Item Fund,652082
Local Transportation Fund,649720
Housing Opportunities for Persons with AIDS Fund,624411
City Ethics Commission Fund,593520
Proposition A Local Transit Assistance Fund,585393
Major Projects Review Trust Fund,580500
Housing Opportunities for Persons with AIDS,565450
Housing Opportunities for Persons with AIDS,553940
Mobile Source Air Pollution Reduction Fund,553836
Landfill Maintenance Trust Fund,536532
Telecommunications Development Account,534036
El Pueblo Revenue Fund,518993
Convention Center Revenue Fund,514159
Housing Department Affordable Housing Trust Fund,500000
Housing Department Affordable Housing Trust Fund,495799
Landfill Maintenance Trust Fund,490355
Zoo Enterprise Trust Fund,464139
Housing Opportunities for Persons with AIDS,459158
Housing Opportunities for Persons with AIDS,459158
City Ethics Commission Fund,449372
Housing Opportunities for Persons with AIDS,445181
El Pueblo Revenue Fund,444310
City Employees Ridesharing Fund,439261
Household Hazardous Waste Special Fund,438650
Neighborhood Empowerment Fund,413826
Housing Opportunities for Persons with AIDS,411006
City Employees Ridesharing Fund,409192
Traffic Safety Fund,408238
Central Recycling and Transfer Fund,408161
Zoo Enterprise Trust Fund,400000
Prop. C Anti-Gridlock Transit Improvement Fund,393182
Household Hazardous Waste Special Fund,386919
Telecommunications Development Account,386000
City Ethics Commission Fund,354542
Neighborhood Empowerment Fund,335872
Local Public Safety Fund,335631
City Ethics Commission Fund,330294
Housing Opportunities for Persons with AIDS,323268
Housing Opportunities for Persons with AIDS,322923
Housing Opportunities for Persons with AIDS,313110
City Ethics Commission Fund,287837
Municipal Housing Finance Fund,285000
Municipal Housing Finance Fund,270588
City Ethics Commission Fund,265901
Street Damage Restoration Fee Fund,263004
City Ethics Commission Fund,257237
Stormwater Pollution Abatement Fund,246486
El Pueblo Revenue Fund,227064
Arts Development Fee Trust Fund,224955
Arts Development Fee Trust Fund,221556
City Employees Ridesharing Fund,218403
City Ethics Commission Fund,215944
Central Recycling and Transfer Fund,215220
El Pueblo Revenue Fund,208344
Special Police Comm./911 System Tax Fund,203855
Neighborhood Empowerment Fund,203091
Arts and Cultural Facilities and Services Fund,196868
Special Parking Revenue Fund,190706
Arts and Cultural Facilities and Services Fund,183964
El Pueblo Revenue Fund,176247
Central Recycling and Transfer Fund,164180
Housing Department Affordable Housing Trust Fund,150000
El Pueblo Revenue Fund,145171
Landfill Maintenance Trust Fund,140463
Special Police Comm./911 System Tax Fund,115081
Special Gas Tax Fund,109154
City Ethics Commission Fund,106415
Mobile Source Air Pollution Reduction Fund,103274
Supplemental Law Enforcement Services,100000
Supplemental Law Enforcement Services,100000
Local Transportation Fund,100000
City Employees Ridesharing Fund,91000
Arts and Cultural Facilities and Services Fund,84413
City Employees Ridesharing Fund,80622
Zoo Enterprise Trust Fund,78016
Arts and Cultural Facilities and Services Fund,73579
Housing Department Affordable Housing Trust Fund,55883
Special Gas Tax Fund,42462
Street Damage Restoration Fee Fund,36374
Local Transportation Fund,31039
Street Damage Restoration Fee Fund,21761
Special Police Comm./911 System Tax Fund,16145
City Employees Ridesharing Fund,15221
Special Police Comm./911 System Tax Fund,10000
Convention Center Revenue Fund,9928
Efficiency and Police Hires Fund,7197
Arts and Cultural Facilities and Services Fund,1303
El Pueblo Revenue Fund,1238
Local Transportation Fund,985
Traffic Safety Fund,985
Traffic Safety Fund,872
Neighborhood Empowerment Fund,758
Street Damage Restoration Fee Fund,680
Street Lighting Maintenance Asmt. Fund,553
Efficiency and Police Hires Fund,270
Traffic Safety Fund,25
Landfill Maintenance Trust Fund,0
Special Police Comm./911 System Tax Fund,0
Forfeited Assets Trust Fund,
Traffic Safety Fund,
Community Development Fund,
HOME Fund,
CERS,
Community Services Admin,
Park and Recreational Sites and Facilities,
Local Public Safety Fund,
Older Americans Act Fund,
Workforce Innovation Opportunity Act Fund,
Allocations from Other Sources,
Housing Opportunities for Persons with AIDS Fund,
Zoo Enterprise Trust Fund,
