revenue_source,amount
Proposition A Local Transit Assistance Fund,107426501
Documentary Transfer Tax,107000000
Building and Safety Enterprise Fund,106589136
City Employees' Retirement Fund,106456869
Special Gas Tax Street Improvement Fund,105555000
Special Gas Tax Street Improvement Fund,103921000
Parking Users' Tax,103600000
Special Gas Tax Street Improvement Fund,102721000
Prop. C Anti-Gridlock Transit Improvement Fund,102290809
City Employees' Retirement Fund,102213802
City Employees' Retirement Fund,102171275
Parking Occupancy Tax,102000000
Property Tax - Ex-CRA Increment,101114000
Special Gas Tax Street Improvement Fund,100978900
Building and Safety Enterprise Fund,100517551
Documentary Transfer Tax,100000000
Prop. C Anti-Gridlock Transit Improvement Fund,99172876
Parking Users' Tax,98400000
Property Tax - Ex-CRA Increment,97252000
Prop. C Anti-Gridlock Transit Improvement Fund,96234104
Property Tax - Ex-CRA Increment,95900000
Parking Users' Tax,94947000
City Employees' Retirement Fund,93718332
Prop. C Anti-Gridlock Transit Improvement Fund,92318089
Special Gas Tax Street Improvement Fund,92194000
Parking Users' Tax,91728000
Allocations from Other Sources,90636679
Building and Safety Enterprise Fund,89917578
Parking Users' Tax,88200000
City Employees' Retirement Fund,87529621
Sewer Construction and Maintenance Fund,86482323
Building and Safety Enterprise Fund,86186208
Prop. C Anti-Gridlock Transit Improvement Fund,86002318
Parking Users' Tax,85983000
Measure M Local Return Fund,84313605
Sewer Construction and Maintenance Fund,83554609
City Employees' Retirement Fund,82972204
Allocations from Other Sources,82668029
Code Enforcement Trust Fund,82538505
Parking Users' Tax,82300000
Prop. C Anti-Gridlock Transit Improvement Fund,82046094
Franchise Income,81225990
Solid Waste Resources Revenue Fund,80545163
Franchise Income,80240000
Housing Department Affordable Housing Trust Fund,78874193
Franchise Income,78816000
Solid Waste Resources Revenue Fund,77894252
Stormwater Program Funds,77830177
City Employees' Retirement Fund,77618048
Prop. C Anti-Gridlock Transit Improvement Fund,76893531
Street Lighting Maintenance Assessment Fund,75252214
Street Lighting Maintenance Assessment Fund,75094895
Sewer Construction and Maintenance Fund,74926263
Property Tax - Ex-CRA Increment,74168000
Prop. C Anti-Gridlock Transit Improvement Fund,73061199
Allocations from Other Sources,71599623
Proposition A Local Transit Assistance Fund,71546655
Street Lighting Maintenance Assessment Fund,71507289
City Employees' Retirement Fund,71310325
Prop. C Anti-Gridlock Transit Improvement Fund,71137883
Prop. C Anti-Gridlock Transit Improvement Fund,70788194
Street Damage Restoration Fee Fund,70707721
Street Damage Restoration Fee Fund,70500728
Building and Safety Enterprise Fund,70313119
Allocations from Other Sources,69771403
Allocations from Other Sources,69242793
Prop. C Anti-Gridlock Transit Improvement Fund,68722600
Solid Waste Resources Revenue Fund,67686935
Prop. C Anti-Gridlock Transit Improvement Fund,67244000
Measure R Traffic Relief and Rail Expansion Fund,66189842
Stormwater Program Funds,65842480
Code Enforcement Trust Fund,65563732
Allocations from Other Sources,64570260
Proposition A Local Transit Assistance Fund,64305547
Sewer Construction and Maintenance Fund,63658032
Sewer Construction and Maintenance Fund,63362950
Code Enforcement Trust Fund,63079902
Street Lighting Maintenance Assessment Fund,62280336
Measure R Traffic Relief and Rail Expansion Fund,61792414
Sewer Construction and Maintenance Fund,61753344
Street Lighting Maintenance Assessment Fund,61614138
Special Parking Revenue Transfer,61371000
Street Lighting Maintenance Assessment Fund,61044333
Disaster Assistance Trust Fund,60805184
Street Lighting Maintenance Assessment Fund,60677901
Transfer from Reserve Fund,60312889
Citywide Recycling Fund,60267598
Measure R Traffic Relief and Rail Expansion Fund,58858903
City Employees' Retirement Fund,58804418
Measure M Local Return Fund,58439632
Franchise Income,58123000
