Health Plan Name,Health Plan ID,Health Plan Type,Report Type,Reporting Period,Statement Date,Total Enrollees,Medi-Cal Managed Care,TNE,Required TNE,Excess TNE,% TNE to Required,Total Assets,Total Current Assets,Total Current Liabilities,Total Revenue,Net Income-Loss,Total Administrative Expenses,Administrative Cost Ratio,Total Medical Expenses,Health Expense Ratio
"Health Net Community Solutions, Inc.",933 0426,Full Service,Quarterly DMHC Financial Reporting Form,"October 1 - December 31, 2014",12/31/2014,1597232,1285630,339110544,88366103,"250,744,441.00",383.7500,1593821396,1562111606,1218763689,1365532624,79389111,129524874,9.4800,1099101105,106.2100
"Health Net Community Solutions, Inc.",933 0426,Full Service,Quarterly DMHC Financial Reporting Form,"July 1 - September 30, 2014",09/30/2014,1478575,1191009,284981521,74306619,"210,674,902.00",383.5200,1202022560,1171717005,870171751,1327158257,56981326,108677594,8.1800,1120350668,101.9500
"Health Net Community Solutions, Inc.",933 0426,Full Service,Quarterly DMHC Financial Reporting Form,"April 1 - June 30, 2014",06/30/2014,1345033,1087576,263213620,61872301,"201,341,319.00",425.4100,871008045,840704248,566153221,1053171414,33227430,103795004,9.8500,889842229,82.5300
"Health Net Community Solutions, Inc.",933 0426,Full Service,Quarterly DMHC Financial Reporting Form,"January 1 - March 31, 2014",03/31/2014,1262664,1034071,229660283,54841053,"174,819,230.00",418.7700,824524888,754878419,553986437,832011251,26116375,115929465,13.9300,667068844,82.6500
"Health Net Community Solutions, Inc.",933 0426,Full Service,Annual DMHC Financial Reporting Form,2014,12/31/2014,1597232,1285630,339110544,88366103,"250,744,441.00",383.7500,1593821396,1562111606,1218763689,4577873546,195714242,457926937,10.0000,3776362846,85.2900
"Health Net Community Solutions, Inc.",933 0426,Full Service,Quarterly DMHC Financial Reporting Form,"October 1 - December 31, 2013",12/31/2013,1097755,865398,202962982,51164975,"151,798,007.00",396.6800,577645646,494122659,332620884,575085657,5761155,80997891,14.0800,483946924,98.5000
"Health Net Community Solutions, Inc.",933 0426,Full Service,Quarterly DMHC Financial Reporting Form,"July 1 - September 30, 2013",09/30/2013,1083937,872271,197101832,50198721,"146,903,111.00",392.6400,746280938,662057705,510479164,618477850,26395384,82564702,13.3400,491367411,82.9300
"Health Net Community Solutions, Inc.",933 0426,Full Service,Quarterly DMHC Financial Reporting Form,"April 1 - June 30, 2013",06/30/2013,1069398,859644,170713416,47788141,"122,925,275.00",357.2200,442776956,376837680,234823559,564676153,8046025,96617445,17.1100,454478448,86.5700
"Health Net Community Solutions, Inc.",933 0426,Full Service,Quarterly DMHC Financial Reporting Form,"January 1 - March 31, 2013",03/31/2013,945570,751692,163500972,46356091,"117,144,881.00",352.7000,417805939,366729763,216662915,554249458,35097845,54062002,9.7500,441017984,80.2200
"Health Net Community Solutions, Inc.",933 0426,Full Service,Annual DMHC Financial Reporting Form,2013,12/31/2013,1097755,865398,202962982,51164975,"151,798,007.00",396.6800,577645646,494122659,332620884,2312489118,75300409,314242040,13.5800,1870810767,86.6700
"Health Net Community Solutions, Inc.",933 0426,Full Service,Quarterly DMHC Financial Reporting Form,"October 1 - December 31, 2012",12/31/2012,914970,724669,128455237,43560629,"84,894,608.00",294.8800,358160085,328160085,192398794,484208696,7490628,37134130,7.6600,434448766,88.6200
"Health Net Community Solutions, Inc.",933 0426,Full Service,Quarterly DMHC Financial Reporting Form,"July 1 - September 30, 2012",09/30/2012,2288548,808765,1209919468,231047851,"978,871,617.00",523.6600,2545986553,2357670803,1121740498,2345566772,19811446,237774091,10.1300,2076434136,89.6300
"Health Net Community Solutions, Inc.",933 0426,Full Service,Quarterly DMHC Financial Reporting Form,"April 1 - June 30, 2012",06/30/2012,2305842,799228,1187104120,230680826,"956,423,294.00",514.6000,2708655101,2517528740,1316614290,2554247491,110711689,242499001,9.4900,2132100337,91.0900
"Health Net Community Solutions, Inc.",933 0426,Full Service,Quarterly DMHC Financial Reporting Form,"January 1 - March 31, 2012",03/31/2012,2279588,775078,1056768465,228590582,"828,177,883.00",462.2900,2692474259,2483563245,1419219024,2565950286,-29965113,266724954,10.3900,2347560480,92.5000
"Health Net Community Solutions, Inc.",933 0426,Full Service,Annual DMHC Financial Reporting Form,2012,12/31/2012,914970,724669,128455237,43560629,"84,894,608.00",294.8800,358160085,328160085,192398794,1748624778,4541567,161199820,9.2100,1579194064,91.6600
"Health Net Community Solutions, Inc.",933 0426,Full Service,Quarterly DMHC Financial Reporting Form,"October 1 - December 31, 2011",12/31/2011,2311982,752446,1106170601,220747683,"885,422,918.00",501.1000,2343090204,2080359539,1025216416,2376805128,57333816,260835350,10.9700,2023739498,85.9100
"Health Net Community Solutions, Inc.",933 0426,Full Service,Quarterly DMHC Financial Reporting Form,"July 1 - September 30, 2011",09/30/2011,2297482,725628,1097774155,218016114,"879,758,041.00",503.5200,2559782823,2293289635,1260923609,2358830509,55465701,246130178,10.4300,2021071465,86.3100
"Health Net Community Solutions, Inc.",933 0426,Full Service,Quarterly DMHC Financial Reporting Form,"April 1 - June 30, 2011",06/30/2011,2268437,702550,1075578053,215769988,"859,808,065.00",498.4800,2334249596,2061922922,1057527330,2346258135,48879365,232547372,9.9100,2032028979,87.5800
"Health Net Community Solutions, Inc.",933 0426,Full Service,Quarterly DMHC Financial Reporting Form,"January 1 - March 31, 2011",03/31/2011,2246531,684530,1119179752,214675438,"904,504,314.00",521.3300,2444855483,2155844285,1123958519,2385883394,19400771,257931598,10.8100,2096322786,88.7800
"Health Net Community Solutions, Inc.",933 0426,Full Service,Annual DMHC Financial Reporting Form,2011,12/31/2011,2311982,752446,1106170601,220747683,"885,422,918.00",501.1000,2343090204,2130359539,1025216416,9467777166,181079653,997444498,10.5300,8173162728,87.1500
"Health Net Community Solutions, Inc.",933 0426,Full Service,Quarterly DMHC Financial Reporting Form,"October 1 - December 31, 2010",12/31/2010,2214882,795163,1204855067,212209354,"992,645,713.00",567.7600,2537801947,2147228856,1131189863,2258843325,53442885,246844267,10.9200,1925795300,85.9900
"Health Net Community Solutions, Inc.",933 0426,Full Service,Quarterly DMHC Financial Reporting Form,"July 1 - September 30, 2010",09/30/2010,2197725,782295,1232787618,211004117,"1,021,783,501.00",584.2400,2472369280,2040182153,1037965393,2237030639,39674868,233640468,10.4400,1938721782,87.5400
"Health Net Community Solutions, Inc.",933 0426,Full Service,Quarterly DMHC Financial Reporting Form,"April 1 - June 30, 2010",06/30/2010,2169205,759134,1219720704,211171137,"1,008,549,567.00",577.5900,2510261951,2071061429,1087884457,2266711451,34466641,225482997,9.9400,1983354738,88.3700
"Health Net Community Solutions, Inc.",933 0426,Full Service,Quarterly DMHC Financial Reporting Form,"January 1 - March 31, 2010",03/31/2010,2155680,744204,1191917298,208669502,"983,247,796.00",571.1900,2517801853,2076183990,1121293113,2279566965,19266552,237690727,10.4200,2010184688,89.1500
"Health Net Community Solutions, Inc.",933 0426,Full Service,Annual DMHC Financial Reporting Form,2010,12/31/2010,2214882,795163,1204855067,212209354,"992,645,713.00",567.7600,2537801947,2147228856,1131189863,9042152380,146850946,943658459,10.4300,7858056508,87.7700
