Health Plan Name,Health Plan ID,Health Plan Type,Report Type,Reporting Period,Statement Date,Total Enrollees,Medi-Cal Managed Care,TNE,Required TNE,Excess TNE,% TNE to Required,Total Assets,Total Current Assets,Total Current Liabilities,Total Revenue,Net Income-Loss,Total Administrative Expenses,Administrative Cost Ratio,Total Medical Expenses,Health Expense Ratio
Local Initiative Health Authority for Los Angeles County,933 0355,Full Service,Quarterly DMHC Financial Reporting Form,"October 1 - December 31, 2019",12/31/2019,2133525,2008825,1083273051,132793873,"950,479,178.00",815.7500,4550650522,4436111734,3463879219,2126067059,29157717,111372696,5.2300,1985533106,93.8500
Local Initiative Health Authority for Los Angeles County,933 0355,Full Service,Quarterly DMHC Financial Reporting Form,"July 1 - September 30, 2019",09/30/2019,2143890,2015665,1054115334,129412148,"924,703,186.00",814.5400,5098007318,4982968903,4040311049,2009428432,-6735129,105047522,5.2200,1911124118,96.0900
Local Initiative Health Authority for Los Angeles County,933 0355,Full Service,Quarterly DMHC Financial Reporting Form,"April 1 - June 30, 2019",06/30/2019,2152282,2021208,1060850463,123563811,"937,286,652.00",858.5400,4412551928,4300236154,3348125888,2002626286,43816222,106300973,5.3000,1813770638,93.2700
Local Initiative Health Authority for Los Angeles County,933 0355,Full Service,Quarterly DMHC Financial Reporting Form,"January 1 - March 31, 2019",03/31/2019,2157912,2024444,1017034241,124469662,"892,564,579.00",817.0900,4858170242,4745141453,3838393899,2099941506,141223778,98834050,4.7000,1821290405,88.9800
Local Initiative Health Authority for Los Angeles County,933 0355,Full Service,Annual DMHC Financial Reporting Form,2019,09/30/2019,2143890,2015665,1054115334,129412148,"924,703,186.00",814.5400,5098007318,4982968903,4040311049,8080711949,236629351,415719265,5.1400,7312411828,92.5300
Local Initiative Health Authority for Los Angeles County,933 0355,Full Service,Quarterly DMHC Financial Reporting Form,"October 1 - December 31, 2018",12/31/2018,2170343,2051959,875810463,126374541,"749,435,922.00",693.0200,3938137757,3828180684,3059560368,1968715723,58324480,105536721,5.3600,1766226665,91.9100
Local Initiative Health Authority for Los Angeles County,933 0355,Full Service,Quarterly DMHC Financial Reporting Form,"July 1 - September 30, 2018",09/30/2018,2187392,2067037,817485983,133914228,"683,571,755.00",610.4500,4123275518,4015954785,3302934412,1937134180,38912707,106829573,5.5100,1754014663,92.7400
Local Initiative Health Authority for Los Angeles County,933 0355,Full Service,Quarterly DMHC Financial Reporting Form,"April 1 - June 30, 2018",06/30/2018,2191364,2069863,778573276,143706773,"634,866,503.00",541.7700,4461476415,4357889293,3679922991,1870329363,-27009660,96290773,5.1400,1763953023,96.5400
Local Initiative Health Authority for Los Angeles County,933 0355,Full Service,Quarterly DMHC Financial Reporting Form,"January 1 - March 31, 2018",03/31/2018,2194400,2072919,805582936,150008802,"655,574,134.00",537.0200,4519913417,4422273007,3711163924,1993966196,109873681,100620053,5.0400,1746751718,89.3100
Local Initiative Health Authority for Los Angeles County,933 0355,Full Service,Annual DMHC Financial Reporting Form,2018,09/30/2018,2187392,2067037,817485983,133914228,"683,571,755.00",610.4500,4123275518,4015954785,3302934412,8038903244,140531444,394667961,4.9000,7355120029,93.4400
