Health Plan Name,Health Plan ID,Health Plan Type,Report Type,Reporting Period,Statement Date,Total Enrollees,Medi-Cal Managed Care,TNE,Required TNE,Excess TNE,% TNE to Required,Total Assets,Total Current Assets,Total Current Liabilities,Total Revenue,Net Income-Loss,Total Administrative Expenses,Administrative Cost Ratio,Total Medical Expenses,Health Expense Ratio
Local Initiative Health Authority for Los Angeles County,933 0355,Full Service,Quarterly DMHC Financial Reporting Form,"January 1 - March 31, 2026",03/31/2026,2389108,2182587,2783981808,242245450,"2,541,736,358.00",1149.2400,8972411675,8638657330,5971471451,3235767623,170854137,182817185,5.6400,2692003667,89.6600
Local Initiative Health Authority for Los Angeles County,933 0355,Full Service,Quarterly DMHC Financial Reporting Form,"October 1 - December 31, 2025",12/31/2025,2497633,2274461,2613127671,240133704,"2,372,993,967.00",1088.1900,7915222469,7596981826,5069693413,3188919090,-29827386,170062855,5.3300,2854064791,96.6800
Local Initiative Health Authority for Los Angeles County,933 0355,Full Service,Quarterly DMHC Financial Reporting Form,"July 1 - September 30, 2025",09/30/2025,2547127,2320808,2642955057,229966567,"2,412,988,490.00",1149.2700,7743229858,7398480563,4944163240,3165696493,69806638,171424647,5.4100,2733096490,93.5600
Local Initiative Health Authority for Los Angeles County,933 0355,Full Service,Quarterly DMHC Financial Reporting Form,"April 1 - June 30, 2025",06/30/2025,2587717,2363967,2573148419,226778621,"2,346,369,798.00",1134.6500,7448732107,7107362426,4680472866,3223241447,170333579,167213593,5.1800,2688917179,90.3800
Local Initiative Health Authority for Los Angeles County,933 0355,Full Service,Quarterly DMHC Financial Reporting Form,"January 1 - March 31, 2025",03/31/2025,2594383,2371917,2402814840,212286468,"2,190,528,372.00",1131.8700,7870724489,7509123779,5287293739,3090519945,101237818,181992865,5.8800,2623321412,92.4500
Local Initiative Health Authority for Los Angeles County,933 0355,Full Service,Annual DMHC Financial Reporting Form,2025,12/31/2025,2497633,2274461,2613127671,292593750,"2,320,533,921.00",893.0900,7915222469,7596981826,5069693413,15800808336,400400706,854179016,5.4000,13587708758,93.1100
Local Initiative Health Authority for Los Angeles County,933 0355,Full Service,Quarterly DMHC Financial Reporting Form,"October 1 - December 31, 2024",12/31/2024,2570226,2372431,2301577022,202193429,"2,099,383,593.00",1138.3000,7461226631,7166412072,5003496917,3132431364,88850057,163485060,5.2100,2688308885,92.4600
Local Initiative Health Authority for Los Angeles County,933 0355,Full Service,Quarterly DMHC Financial Reporting Form,"July 1 - September 30, 2024",09/30/2024,2550170,2354467,2212726965,190223869,"2,022,503,096.00",1163.2200,6775249528,6479205599,4435720017,3063457128,28546014,174064582,5.6800,2546529397,94.3600
Local Initiative Health Authority for Los Angeles County,933 0355,Full Service,Quarterly DMHC Financial Reporting Form,"April 1 - June 30, 2024",06/30/2024,2527933,2341702,2184180951,176055047,"2,008,125,904.00",1240.6200,6632624328,6448271461,4403810167,2855877881,133825772,173520264,6.0700,2423010809,90.7400
Local Initiative Health Authority for Los Angeles County,933 0355,Full Service,Quarterly DMHC Financial Reporting Form,"January 1 - March 31, 2024",03/31/2024,2538815,2365296,2050355179,178515909,"1,871,839,270.00",1148.5500,7832706071,7662639797,5743917119,2709496868,120131167,152041695,5.6100,2311802970,91.2400
Local Initiative Health Authority for Los Angeles County,933 0355,Full Service,Annual DMHC Financial Reporting Form,2024,09/30/2024,2550170,2354467,2212726965,190223869,"2,022,503,096.00",1163.2200,6775249528,6479205599,4435720017,11895471042,538242750,646379176,5.4300,9768926800,91.0500
