Health Plan Name,Health Plan ID,Health Plan Type,Report Type,Reporting Period,Statement Date,Total Enrollees,Medi-Cal Managed Care,TNE,Required TNE,Excess TNE,% TNE to Required,Total Assets,Total Current Assets,Total Current Liabilities,Total Revenue,Net Income-Loss,Total Administrative Expenses,Administrative Cost Ratio,Total Medical Expenses,Health Expense Ratio
Local Initiative Health Authority for Los Angeles County,933 0355,Full Service,Quarterly DMHC Financial Reporting Form,"October 1 - December 31, 2014",12/31/2014,1672550,1592455,272997064,73595134,"199,401,930.00",370.9400,1990413709,1948115922,1713834777,1598194735,52922542,53575382,3.3500,1432130795,93.2200
Local Initiative Health Authority for Los Angeles County,933 0355,Full Service,Quarterly DMHC Financial Reporting Form,"July 1 - September 30, 2014",09/30/2014,1565170,1478614,220074522,61465187,"158,609,335.00",358.0400,1354748902,1315943492,1131401251,1377475556,-204989,55216605,4.0000,1272654830,95.9900
Local Initiative Health Authority for Los Angeles County,933 0355,Full Service,Quarterly DMHC Financial Reporting Form,"April 1 - June 30, 2014",06/30/2014,1438970,1363283,220279511,47642139,"172,637,372.00",462.3600,1147614081,1111107266,924394820,1164853364,30129412,46859966,4.0200,1042703796,93.0500
Local Initiative Health Authority for Los Angeles County,933 0355,Full Service,Quarterly DMHC Financial Reporting Form,"January 1 - March 31, 2014",03/31/2014,1394079,1330860,190150099,40838221,"149,311,878.00",465.6100,1194706567,1162033812,1002061105,1014401612,18382989,39198594,3.8600,920470595,94.3000
Local Initiative Health Authority for Los Angeles County,933 0355,Full Service,Annual DMHC Financial Reporting Form,2014,09/30/2014,1565170,1478614,220074522,61465187,"158,609,335.00",358.0400,1354748902,1315943492,1131401251,4298613443,44131469,176825223,4.1100,3918548976,94.7100
Local Initiative Health Authority for Los Angeles County,933 0355,Full Service,Quarterly DMHC Financial Reporting Form,"October 1 - December 31, 2013",12/31/2013,1196599,1144624,171767110,34925361,"136,841,749.00",491.8100,1162461778,1130821961,988501853,741882909,-4175943,35550056,4.7900,682719754,95.5900
Local Initiative Health Authority for Los Angeles County,933 0355,Full Service,Quarterly DMHC Financial Reporting Form,"July 1 - September 30, 2013",09/30/2013,1197442,1147142,175943053,34075115,"141,867,938.00",516.3300,1233875940,1209639648,1056022371,940109221,26497657,25375952,2.6900,804291281,93.5400
Local Initiative Health Authority for Los Angeles County,933 0355,Full Service,Quarterly DMHC Financial Reporting Form,"April 1 - June 30, 2013",06/30/2013,1189585,1140357,149445396,33657765,"115,787,631.00",444.0100,630508349,609787529,479316272,694496481,26911200,33565891,4.8300,632633738,91.4800
Local Initiative Health Authority for Los Angeles County,933 0355,Full Service,Quarterly DMHC Financial Reporting Form,"January 1 - March 31, 2013",03/31/2013,1078263,1014354,122534196,32049734,"90,484,462.00",382.3200,481739459,460333233,357554025,574054913,-7236448,29122745,5.0700,552168616,96.3700
Local Initiative Health Authority for Los Angeles County,933 0355,Full Service,Annual DMHC Financial Reporting Form,2013,09/30/2013,1197442,1147142,175943053,34075114,"141,867,939.00",516.3300,1233875940,1209639648,1056022371,2773652859,36685140,115767055,4.1700,2535870681,94.3600
Local Initiative Health Authority for Los Angeles County,933 0355,Full Service,Quarterly DMHC Financial Reporting Form,"October 1 - December 31, 2012",12/31/2012,1063958,990418,129770644,29930947,"99,839,697.00",433.5600,457121778,435453302,325804512,564992244,-9487269,27702465,4.9000,546777048,97.1000
Local Initiative Health Authority for Los Angeles County,933 0355,Full Service,Quarterly DMHC Financial Reporting Form,"July 1 - September 30, 2012",09/30/2012,1060093,987011,131438939,25578218,"105,860,721.00",513.8700,517638878,507631621,384772036,525301375,826215,28140950,5.3500,484572556,94.6100
Local Initiative Health Authority for Los Angeles County,933 0355,Full Service,Quarterly DMHC Financial Reporting Form,"April 1 - June 30, 2012",06/30/2012,1055667,982306,130612724,21359595,"109,253,129.00",611.4900,380952797,369264463,249014726,514901858,-11195744,22835156,4.4300,491961036,97.9700
Local Initiative Health Authority for Los Angeles County,933 0355,Full Service,Quarterly DMHC Financial Reporting Form,"January 1 - March 31, 2012",03/31/2012,1040154,966713,141808468,17305494,"124,502,974.00",819.4400,544221456,533624957,401245191,480704060,-7409990,19920280,4.1400,457373202,97.6800
Local Initiative Health Authority for Los Angeles County,933 0355,Full Service,Annual DMHC Financial Reporting Form,2012,09/30/2012,1060093,987011,139257913,26183152,"113,074,761.00",531.8600,509345067,499337810,368659251,1972803863,-11457157,89414451,4.5300,1862526261,96.3200
Local Initiative Health Authority for Los Angeles County,933 0355,Full Service,Quarterly DMHC Financial Reporting Form,"October 1 - December 31, 2011",12/31/2011,977786,944627,149218458,15798335,"133,420,123.00",944.5200,369159552,358903287,218841767,416002323,-1496612,18518066,4.4500,389631327,96.2400
Local Initiative Health Authority for Los Angeles County,933 0355,Full Service,Quarterly DMHC Financial Reporting Form,"July 1 - September 30, 2011",09/30/2011,941520,910293,149134233,14899886,"134,234,347.00",1000.9000,372727478,362907822,222971237,385432770,4889563,17233566,4.4700,354642759,94.5600
Local Initiative Health Authority for Los Angeles County,933 0355,Full Service,Quarterly DMHC Financial Reporting Form,"April 1 - June 30, 2011",06/30/2011,908497,877125,144244668,14111187,"130,133,481.00",1022.2000,364733696,357463909,220450775,341648809,2910004,15821225,4.6300,315224368,94.8000
Local Initiative Health Authority for Los Angeles County,933 0355,Full Service,Quarterly DMHC Financial Reporting Form,"January 1 - March 31, 2011",03/31/2011,885677,854544,141334664,13672738,"127,661,926.00",1033.6900,341585324,338275612,200144592,326321652,-4615990,15401127,4.7100,308190746,97.0700
Local Initiative Health Authority for Los Angeles County,933 0355,Full Service,Annual DMHC Financial Reporting Form,2011,09/30/2011,941520,910293,150715070,14848022,"135,867,048.00",1015.0500,368007873,358188217,216670795,1370857553,5217509,62885185,4.5800,1271740975,95.2700
Local Initiative Health Authority for Los Angeles County,933 0355,Full Service,Quarterly DMHC Financial Reporting Form,"October 1 - December 31, 2010",12/31/2010,877878,845483,145950654,13288277,"132,662,377.00",1098.3400,308541636,306199475,162447073,322765311,453093,14429347,4.4700,300574850,95.4200
Local Initiative Health Authority for Los Angeles County,933 0355,Full Service,Quarterly DMHC Financial Reporting Form,"July 1 - September 30, 2010",09/30/2010,863802,832081,145231519,12785736,"132,445,783.00",1135.8800,367662724,365113305,222249645,308089908,8782151,14317311,4.6400,278136519,93.9100
Local Initiative Health Authority for Los Angeles County,933 0355,Full Service,Quarterly DMHC Financial Reporting Form,"April 1 - June 30, 2010",06/30/2010,847934,810156,136449368,12703692,"123,745,676.00",1074.0900,296214929,293674211,159546350,299392593,5111386,14519736,4.8400,273161471,94.6300
Local Initiative Health Authority for Los Angeles County,933 0355,Full Service,Quarterly DMHC Financial Reporting Form,"January 1 - March 31, 2010",03/31/2010,833017,794783,131337982,12658288,"118,679,694.00",1037.5600,274796832,272309509,143201988,289874505,3420644,13643196,4.7000,265945108,95.3100
Local Initiative Health Authority for Los Angeles County,933 0355,Full Service,Annual DMHC Financial Reporting Form,2010,09/30/2010,863802,832081,145497561,12776456,"132,721,105.00",1138.7900,351684614,349135195,206005493,1170577532,20286576,54818305,4.6800,1069240167,94.8200
