Health Plan Name,Health Plan ID,Health Plan Type,Report Type,Reporting Period,Statement Date,Total Enrollees,Medi-Cal Managed Care,TNE,Required TNE,Excess TNE,% TNE to Required,Total Assets,Total Current Assets,Total Current Liabilities,Total Revenue,Net Income-Loss,Total Administrative Expenses,Administrative Cost Ratio,Total Medical Expenses,Health Expense Ratio
"Health Net Community Solutions, Inc.",933 0426,Full Service,Quarterly DMHC Financial Reporting Form,"October 1 - December 31, 2023",12/31/2023,2114291,1666955,1277264942,169788337,"1,107,476,605.00",752.2600,3934233117,2102261761,2112084977,2048962744,61496999,226851010,11.0700,1734042896,91.2400
"Health Net Community Solutions, Inc.",933 0426,Full Service,Quarterly DMHC Financial Reporting Form,"July 1 - September 30, 2023",09/30/2023,2200337,1749449,1261908213,159068124,"1,102,840,089.00",793.3100,4010856965,2423571984,2235411889,2637400427,159774361,417934024,15.8400,2011461500,86.2200
"Health Net Community Solutions, Inc.",933 0426,Full Service,Quarterly DMHC Financial Reporting Form,"April 1 - June 30, 2023",06/30/2023,2252795,1789239,1221520724,150537507,"1,070,983,217.00",811.4300,3682132356,2075141403,1968082420,1942138375,225358573,242481786,12.4800,1407135434,78.0000
"Health Net Community Solutions, Inc.",933 0426,Full Service,Quarterly DMHC Financial Reporting Form,"January 1 - March 31, 2023",03/31/2023,2211679,1756499,1157504424,150036157,"1,007,468,267.00",771.4800,4050357400,2443972836,2465992270,2570554821,151928585,338563372,13.1700,2034604738,87.7400
"Health Net Community Solutions, Inc.",933 0426,Full Service,Annual DMHC Financial Reporting Form,2023,12/31/2023,2114291,1666955,1277264942,169788337,"1,107,476,605.00",752.2600,3934233117,2102261761,2112084977,9199056369,598558520,1225830191,13.3200,7187244568,86.0100
"Health Net Community Solutions, Inc.",933 0426,Full Service,Quarterly DMHC Financial Reporting Form,"October 1 - December 31, 2022",12/31/2022,2107070,1659176,1140180304,145478994,"994,701,310.00",783.7400,3160282473,1735550948,1602690303,1855538129,129170245,181784740,9.7900,1505951682,83.7800
"Health Net Community Solutions, Inc.",933 0426,Full Service,Quarterly DMHC Financial Reporting Form,"July 1 - September 30, 2022",09/30/2022,2073861,1630855,1096378315,149110616,"947,267,699.00",735.2700,3170004370,1792512971,1676591727,2024095420,67985728,162905794,8.0400,1774059688,90.0500
"Health Net Community Solutions, Inc.",933 0426,Full Service,Quarterly DMHC Financial Reporting Form,"April 1 - June 30, 2022",06/30/2022,2006004,1570196,1161903995,153467406,"1,008,436,589.00",757.1000,3134478878,1903152445,1591853288,1718685938,145143292,139034508,8.0800,1390468510,83.0800
"Health Net Community Solutions, Inc.",933 0426,Full Service,Quarterly DMHC Financial Reporting Form,"January 1 - March 31, 2022",03/31/2022,1966701,1536661,1193363853,163269137,"1,030,094,716.00",730.9100,3147871796,1937440273,1593025276,2360330460,126379402,337895656,14.3100,1858355276,87.6800
"Health Net Community Solutions, Inc.",933 0426,Full Service,Annual DMHC Financial Reporting Form,2022,12/31/2022,2107070,1659176,1140180304,145478994,"994,701,310.00",783.7400,3160282473,1735550948,1602690303,7958649950,468678664,821620701,10.3200,6528835159,86.3500
"Health Net Community Solutions, Inc.",933 0426,Full Service,Quarterly DMHC Financial Reporting Form,"October 1 - December 31, 2021",12/31/2021,1918269,1495990,1258629233,173789541,"1,084,839,692.00",724.2200,3119396749,1957285900,1502479169,1957356840,126819141,267520544,13.6600,1527099896,84.8200
"Health Net Community Solutions, Inc.",933 0426,Full Service,Quarterly DMHC Financial Reporting Form,"July 1 - September 30, 2021",09/30/2021,1900986,1482714,1237586623,172715930,"1,064,870,693.00",716.5400,2939563631,1878497066,1432934325,2126074834,171355124,157388376,7.4000,1747727538,84.4900
"Health Net Community Solutions, Inc.",933 0426,Full Service,Quarterly DMHC Financial Reporting Form,"April 1 - June 30, 2021",06/30/2021,1881551,1468258,1170013270,188807774,"981,205,496.00",619.6800,2663061215,1599850309,1231486246,2175798477,193540582,336476157,15.4600,1587201106,82.6900
"Health Net Community Solutions, Inc.",933 0426,Full Service,Quarterly DMHC Financial Reporting Form,"January 1 - March 31, 2021",03/31/2021,1854514,1447465,1221180688,183475867,"1,037,704,821.00",665.5800,3043033141,1989481044,1588811155,2345394720,159629493,426521776,18.1800,1711000389,85.6900
"Health Net Community Solutions, Inc.",933 0426,Full Service,Annual DMHC Financial Reporting Form,2021,12/31/2021,1918269,1495990,1258629233,173789541,"1,084,839,692.00",724.2200,3119396749,1957285900,1502479169,8604624873,651344341,1187906852,13.8000,6573028931,84.4300
"Health Net Community Solutions, Inc.",933 0426,Full Service,Quarterly DMHC Financial Reporting Form,"October 1 - December 31, 2020",12/31/2020,1827173,1425909,1224075665,179424122,"1,044,651,543.00",682.2200,2749152752,1671784873,1301200860,1644589914,-419604,194386588,11.8100,1446340766,91.9100
"Health Net Community Solutions, Inc.",933 0426,Full Service,Quarterly DMHC Financial Reporting Form,"July 1 - September 30, 2020",09/30/2020,1795606,1401480,1295956911,179509279,"1,116,447,632.00",721.9400,3085360590,2127601977,1751904327,2044677480,8089504,122823870,6.0000,1904662121,94.2700
"Health Net Community Solutions, Inc.",933 0426,Full Service,Quarterly DMHC Financial Reporting Form,"April 1 - June 30, 2020",06/30/2020,1752481,1368246,1358276584,172693101,"1,185,583,483.00",786.5200,2783839211,1782040825,1387886974,1928414493,113881499,351017335,18.2000,1422467319,85.0700
"Health Net Community Solutions, Inc.",933 0426,Full Service,Quarterly DMHC Financial Reporting Form,"January 1 - March 31, 2020",03/31/2020,1699335,1330109,1225830640,169269413,"1,056,561,227.00",724.1800,2532802418,1525356282,1269241806,2057221779,76312708,369711343,17.9700,1581546535,88.3900
