Health Plan Name,Health Plan ID,Health Plan Type,Report Type,Reporting Period,Statement Date,Total Enrollees,Medi-Cal Managed Care,TNE,Required TNE,Excess TNE,% TNE to Required,Total Assets,Total Current Assets,Total Current Liabilities,Total Revenue,Net Income-Loss,Total Administrative Expenses,Administrative Cost Ratio,Total Medical Expenses,Health Expense Ratio
"Health Net Community Solutions, Inc.",933 0426,Full Service,Quarterly DMHC Financial Reporting Form,"October 1 - December 31, 2019",12/31/2019,1732409,1359725,1261970051,161693059,"1,100,276,992.00",780.4700,2400578215,1385775906,1099323128,1754971611,120379770,152749488,8.7000,1447294856,85.2800
"Health Net Community Solutions, Inc.",933 0426,Full Service,Quarterly DMHC Financial Reporting Form,"July 1 - September 30, 2019",09/30/2019,1751497,1374957,1341347651,161105189,"1,180,242,462.00",832.5900,2850261977,1844392467,1445611303,2024225942,124079035,138456389,6.8300,1722858313,87.1500
"Health Net Community Solutions, Inc.",933 0426,Full Service,Quarterly DMHC Financial Reporting Form,"April 1 - June 30, 2019",06/30/2019,1763941,1384692,1311920720,138125349,"1,173,795,371.00",949.8000,2415760107,1470993043,1039893258,1865721550,99069369,362813397,19.4400,1375685246,87.0400
"Health Net Community Solutions, Inc.",933 0426,Full Service,Quarterly DMHC Financial Reporting Form,"January 1 - March 31, 2019",03/31/2019,1774626,1396177,1203517359,137790742,"1,065,726,617.00",873.4300,2833438684,1865170446,1578677027,2073754918,110550525,543507056,26.2000,1388669244,85.5800
"Health Net Community Solutions, Inc.",933 0426,Full Service,Annual DMHC Financial Reporting Form,2019,12/31/2019,1732409,1359725,1261970051,161693059,"1,100,276,992.00",780.4700,2400578215,1385775906,1099323128,7718674019,454078698,1197526325,15.5100,5934507663,86.2900
"Health Net Community Solutions, Inc.",933 0426,Full Service,Quarterly DMHC Financial Reporting Form,"October 1 - December 31, 2018",12/31/2018,1792464,1411641,1077697694,133467944,"944,229,750.00",807.4500,2394526841,1393816172,1264941143,1721269206,96389497,170736652,9.9100,1431154943,86.6600
"Health Net Community Solutions, Inc.",933 0426,Full Service,Quarterly DMHC Financial Reporting Form,"July 1 - September 30, 2018",09/30/2018,1821731,1438873,1179414525,140199635,"1,039,214,890.00",841.2300,2562594957,1547065135,1331630220,1518916999,149205602,155826491,10.2500,1160324508,79.9800
"Health Net Community Solutions, Inc.",933 0426,Full Service,Quarterly DMHC Financial Reporting Form,"April 1 - June 30, 2018",06/30/2018,1840947,1457167,1033257225,156253184,"877,004,041.00",661.2700,2517232129,1480082143,1428407917,2086941370,101281318,606441261,29.0500,1345781320,86.6000
"Health Net Community Solutions, Inc.",933 0426,Full Service,Quarterly DMHC Financial Reporting Form,"January 1 - March 31, 2018",03/31/2018,1862132,1480098,933365085,163434191,"769,930,894.00",571.0900,3247377570,2197914863,2278484056,1655294933,147004329,153345581,9.2600,1308572294,82.3700
"Health Net Community Solutions, Inc.",933 0426,Full Service,Annual DMHC Financial Reporting Form,2018,12/31/2018,1792464,1411641,1077697694,133467944,"944,229,750.00",807.4500,2394526841,1393816172,1264941143,6982422508,493880746,1086349982,15.5500,5245833067,84.0000
"Health Net Community Solutions, Inc.",933 0426,Full Service,Quarterly DMHC Financial Reporting Form,"October 1 - December 31, 2017",12/31/2017,1879340,1494349,998986041,172722228,"826,263,813.00",578.3700,3106979380,2045870322,2072199690,2581596851,85646260,792334480,30.6900,1646529756,86.3900
"Health Net Community Solutions, Inc.",933 0426,Full Service,Quarterly DMHC Financial Reporting Form,"July 1 - September 30, 2017",09/30/2017,1887901,1500874,914715378,172040454,"742,674,924.00",531.6800,3146954604,2113882147,2199002216,1916304289,76722511,180318287,9.4000,1616888195,86.6200
"Health Net Community Solutions, Inc.",933 0426,Full Service,Quarterly DMHC Financial Reporting Form,"April 1 - June 30, 2017",06/30/2017,1878315,1483897,836337746,166177623,"670,160,123.00",503.2700,3071339240,2045144860,2201764484,1961447342,144170022,135023085,6.8800,1603227568,83.9500
"Health Net Community Solutions, Inc.",933 0426,Full Service,Quarterly DMHC Financial Reporting Form,"January 1 - March 31, 2017",03/31/2017,1870500,1477602,686403165,170934555,"515,468,610.00",401.5500,3012637327,2026744779,2292977658,1978502902,126689798,219402747,11.0800,1571622377,85.5700
"Health Net Community Solutions, Inc.",933 0426,Full Service,Annual DMHC Financial Reporting Form,2017,12/31/2017,1879340,1494349,998986041,172722228,"826,263,813.00",578.3700,3106979380,2045870322,2072199690,8437851384,433228589,1327078599,15.7200,6438267898,85.6200
"Health Net Community Solutions, Inc.",933 0426,Full Service,Quarterly DMHC Financial Reporting Form,"October 1 - December 31, 2016",12/31/2016,1873457,1480850,707150355,169553881,"537,596,474.00",417.0600,3042987730,2103277544,2302961215,2827656548,272079224,778467992,27.5300,1621484433,75.1400
"Health Net Community Solutions, Inc.",933 0426,Full Service,Quarterly DMHC Financial Reporting Form,"July 1 - September 30, 2016",09/30/2016,1849889,1459620,456885445,160107420,"296,778,025.00",285.3600,2533011965,2472130453,1840209462,1778022673,124737812,165300617,9.2900,1411387668,82.2700
"Health Net Community Solutions, Inc.",933 0426,Full Service,Quarterly DMHC Financial Reporting Form,"April 1 - June 30, 2016",06/30/2016,1910906,1524529,528718195,156933613,"371,784,582.00",336.9000,2447677547,2379807452,1707699669,1939314286,67592816,173849814,8.9600,1638627948,87.5800
"Health Net Community Solutions, Inc.",933 0426,Full Service,Quarterly DMHC Financial Reporting Form,"January 1 - March 31, 2016",03/31/2016,1894070,1515341,553400260,145139397,"408,260,863.00",381.2800,2365930467,2258679960,1686401214,1807691165,77506528,175815525,9.7200,1490974595,85.7400
"Health Net Community Solutions, Inc.",933 0426,Full Service,Annual DMHC Financial Reporting Form,2016,12/31/2016,1873457,1480850,707150355,169553881,"537,596,474.00",417.0600,3042987730,2103277544,2302961215,8352684672,541916380,1293433948,15.4800,6162474644,82.3500
"Health Net Community Solutions, Inc.",933 0426,Full Service,Quarterly DMHC Financial Reporting Form,"October 1 - December 31, 2015",12/31/2015,1848395,1480265,519065940,137752441,"381,313,499.00",376.8100,2321802987,2264001759,1767213947,1684915547,177541387,161802529,9.6000,1214753820,74.9000
"Health Net Community Solutions, Inc.",933 0426,Full Service,Quarterly DMHC Financial Reporting Form,"July 1 - September 30, 2015",09/30/2015,1800934,1441976,488257594,129451968,"358,805,626.00",377.1700,2163945677,2125671588,1639463426,1740003665,149653383,158594426,9.1100,1320269931,78.8900
"Health Net Community Solutions, Inc.",933 0426,Full Service,Quarterly DMHC Financial Reporting Form,"April 1 - June 30, 2015",06/30/2015,1739240,1387746,500252577,120772482,"379,480,095.00",414.2100,1770984018,1739612112,1234704643,1741437206,140021021,158797188,9.1100,1337484711,79.7600
"Health Net Community Solutions, Inc.",933 0426,Full Service,Quarterly DMHC Financial Reporting Form,"January 1 - March 31, 2015",03/31/2015,1650546,1306218,407953435,105626126,"302,327,309.00",386.2200,1898056175,1866333598,1453981707,1546445607,66032095,143818907,9.2900,1281913587,85.7400
"Health Net Community Solutions, Inc.",933 0426,Full Service,Annual DMHC Financial Reporting Form,2015,12/31/2015,1848395,1480265,519065940,137752441,"381,313,499.00",376.8100,2321802987,2264001759,1709153112,6712802025,533247886,623013050,9.2800,5154422049,79.7000
