2026 Disenrollment Reasons View: Medicare Report Card Master Table,,,,,,,,
Contract Number,Organization Marketing Name,Contract Name,Parent Organization,Problems Getting the Plan to Provide and Pay for Needed Care,Problems with Coverage of Doctors and Hospitals,Financial Reasons for Disenrollment,Problems with Prescription Drug Benefits and Coverage,Problems Getting Information and Help from the Plan
H0628 ,Aetna Medicare ,AETNA HEALTH OF OHIO INC. ,CVS Health Corporation ,11%,14%,14%,9%,8%
H0629 ,Anthem Blue Cross and Blue Shield ,"ANTHEM INSURANCE COMPANIES, INC. ","Elevance Health, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H0630 ,Kaiser Permanente ,KAISER FOUNDATION HP OF CO ,"Kaiser Foundation Health Plan, Inc. ",33%,24%,14%,8%,18%
H0672 ,Cigna HealthCare ,"CIGNA HEALTHCARE OF COLORADO, INC. ",Health Care Service Corporation ,Not Available ,36%,13%,Not Available ,14%
H0710 ,UnitedHealthcare ,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO. ,"UnitedHealth Group, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H0712 ,Wellcare ,"WELLCARE OF CONNECTICUT, INC. ",Centene Corporation ,28%,28%,11%,Not Available ,10%
H0724 ,Wellcare By Allwell ,"BUCKEYE HEALTH PLAN COMMUNITY SOLUTIONS, Inc. ",Centene Corporation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H0738 ,AmeriHealth Caritas VIP Care (HMO-D-SNP) ,"AmeriHealth Caritas VIP Next, Inc. ","Independence Health Group, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H0755 ,UnitedHealthcare ,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO. ,"UnitedHealth Group, Inc. ",14%,12%,29%,5%,9%
H0764 ,UnitedHealthcare ,"UNITEDHEALTHCARE OF NEW ENGLAND, INC. ","UnitedHealth Group, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H0777 ,Mass General Brigham Health Plan ,"MASS GENERAL BRIGHAM HEALTH PLAN, INC ",Mass General Brigham Incorporated ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H0783 ,Humana ,"HUMANA BENEFIT PLAN OF TEXAS, INC. ",Humana Inc. ,15%,39%,15%,Not Available ,Not Available
H0816 ,MyAdvocate Medicare Advantage ,"BESHP, INC. ",Sanford Health ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H0885 ,Braven Health ,HEALTHIER NEW JERSEY INSURANCE COMPANY ,"Horizon Mutual Holdings, Inc ",18%,18%,29%,18%,14%
H0907 ,Wellpoint ,"WELLPOINT IOWA, INC. ","Elevance Health, Inc. ",22%,28%,14%,Not Available ,15%
H0908 ,Wellcare By Allwell ,"BUCKEYE COMMUNITY HEALTH PLAN, INC. ",Centene Corporation ,19%,26%,18%,Not Available ,16%
H0913 ,Wellcare ,"WELLCARE HEALTH PLANS OF NEW JERSEY, INC. ",Centene Corporation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
