Month,Measure Category,Measure Type,Age Group,Count
202312,Utilization,Emergency Room Visits,Ages 40-64,"142,217"
202312,Utilization,Emergency Room Visits with an Inpatient Admission,Ages 40-64,"13,291"
202312,Utilization,Inpatient Admissions,Ages 40-64,"28,198"
202312,Utilization,Mild to Moderate Mental Health Visits,Ages 40-64,"121,209"
202312,Utilization,Outpatient Visits,Ages 40-64,"3,431,056"
202312,Utilization,Prescriptions,Ages 40-64,"4,666,691"
202312,Eligibility,Member Months,Ages 65+,"1,504,729"
202312,New Enrollments,New Enrollments,Ages 65+,0
202312,State Fair Hearings,State Fair Hearings,Ages 65+,7
202312,Utilization,Emergency Room Visits,Ages 65+,"39,402"
202312,Utilization,Emergency Room Visits with an Inpatient Admission,Ages 65+,"6,181"
202312,Utilization,Inpatient Admissions,Ages 65+,"34,159"
202312,Utilization,Mild to Moderate Mental Health Visits,Ages 65+,"15,192"
202312,Utilization,Outpatient Visits,Ages 65+,"2,370,903"
202312,Utilization,Prescriptions,Ages 65+,"1,102,279"
