HEDIS Reporting Year,Reporting Unit,AQFS
2018,Kaiser - San Diego,98.10%
2018,Kern - Kern,61.90%
2018,LA Care - Los Angeles,66.67%
2018,Molina - Imperial,56.19%
2018,Molina - Riverside/San Bernardino,55.71%
2018,Molina - Sacramento,59.52%
2018,Molina - San Diego,75.24%
2018,Partnership - Northeast,47.62%
2018,Partnership - Northwest,49.52%
2018,Partnership - Southeast,78.57%
2018,Partnership - Southwest,67.62%
2018,SCFHP - Santa Clara,68.10%
2018,SFHP - San Francisco,89.52%
2019,AAH - Alameda,72.11%
2019,Anthem - Alameda,54.21%
2019,Anthem - Contra Costa,53.16%
2019,Anthem - Fresno,47.37%
2019,Anthem - Kings,56.84%
2019,Anthem - Madera,66.32%
2019,Anthem - Region 1,43.68%
2019,Anthem - Region 2,44.21%
2019,Anthem - Sacramento,55.26%
2019,Anthem - San Benito,43.16%
2019,Anthem - San Francisco,68.42%
2019,Anthem - Santa Clara,60.00%
2019,Anthem - Tulare,67.89%
2019,Blue Shield - San Diego,58.95%
2019,CalOptima - Orange,74.21%
2019,CalViva - Fresno,50.00%
2019,CalViva - Kings,63.16%
2019,CalViva - Madera,73.68%
2019,CCAH - Merced,54.21%
2019,CCAH - Monterey/Santa Cruz,80.53%
2019,CCHP - Contra Costa,75.26%
2019,CenCal - San Luis Obispo,75.79%
2019,CenCal - Santa Barbara,80.00%
2019,CH&W - Imperial,68.42%
2019,CH&W - Region 1,39.47%
2019,CH&W - Region 2,37.89%
2019,CHG - San Diego,85.79%
2019,GCHP - Ventura,67.37%
2019,Health Net - Kern,50.00%
2019,Health Net - Los Angeles,62.63%
2019,Health Net - Sacramento,53.16%
2019,Health Net - San Diego,59.47%
2019,Health Net - San Joaquin,37.89%
2019,Health Net - Stanislaus,50.00%
2019,Health Net - Tulare,71.58%
2019,HPSJ - San Joaquin,49.47%
2019,HPSJ - Stanislaus,48.42%
2019,HPSM - San Mateo,76.32%
2019,IEHP - Riverside/San Bernardino,66.84%
2019,Kaiser - KP North,94.74%
2019,Kaiser - San Diego,92.63%
2019,Kern - Kern,57.37%
2019,LA Care - Los Angeles,66.84%
2019,Molina - Imperial,61.58%
2019,Molina - Riverside/San Bernardino,52.11%
2019,Molina - Sacramento,46.84%
2019,Molina - San Diego,68.95%
2019,Partnership - Northeast,51.05%
2019,Partnership - Northwest,45.79%
2019,Partnership - Southeast,78.42%
2019,Partnership - Southwest,73.16%
2019,SCFHP - Santa Clara,65.79%
2019,SFHP - San Francisco,86.32%
2020,AAH - Alameda,78.89%
2020,Aetna - Sacramento,31.33%
2020,Aetna - San Diego,31.88%
2020,Anthem - Alameda,53.89%
2020,Anthem - Contra Costa,53.89%
2020,Anthem - Fresno,42.22%
2020,Anthem - Kings,52.22%
2020,Anthem - Madera,54.44%
2020,Anthem - Region 1,46.67%
2020,Anthem - Region 2,47.22%
2020,Anthem - Sacramento,55.56%
2020,Anthem - San Benito,40.56%
2020,Anthem - San Francisco,60.00%
2020,Anthem - Santa Clara,54.44%
2020,Anthem - Tulare,61.11%
2020,Blue Shield - San Diego,66.67%
2020,CalOptima - Orange,83.89%
2020,CalViva - Fresno,58.33%
2020,CalViva - Kings,67.78%
2020,CalViva - Madera,76.67%
2020,CCAH - Merced,58.89%
2020,CCAH - Monterey/Santa Cruz,78.89%
2020,CCHP - Contra Costa,82.78%
2020,CenCal - San Luis Obispo,80.00%
2020,CenCal - Santa Barbara,80.00%
2020,CH&W - Imperial,70.00%
2020,CH&W - Region 1,51.11%
2020,CH&W - Region 2,49.44%
2020,CHG - San Diego,82.22%
2020,GCHP - Ventura,70.56%
2020,Health Net - Kern,42.78%
2020,Health Net - Los Angeles,60.00%
2020,Health Net - Sacramento,59.44%
