Plan Parent Reporting Name,Month,"PCPs per 2,000 Members","Physicians per 1,200 Members"
Kern,202302,15,43
Kern,202303,15,43
Kern,202304,15,43
Kern,202305,15,43
Kern,202306,15,43
Kern,202307,15,43
Kern,202308,15,44
Kern,202309,15,45
Kern,202310,16,46
Kern,202311,16,47
Kern,202312,16,47
Kern,202401,1,8
LA Care,202302,4,12
LA Care,202303,4,12
LA Care,202304,4,12
LA Care,202305,4,12
LA Care,202306,1,3
LA Care,202307,4,12
LA Care,202308,4,12
LA Care,202309,4,12
LA Care,202310,4,12
LA Care,202311,4,13
LA Care,202312,5,13
LA Care,202401,3,9
Molina,202302,4,14
Molina,202303,4,15
Molina,202304,4,15
Molina,202305,4,15
Molina,202306,5,19
Molina,202307,5,19
Molina,202308,4,13
Molina,202309,5,19
Molina,202310,5,19
Molina,202311,5,19
Molina,202312,5,19
Molina,202401,0,17
MVHP,202302,0,0
MVHP,202303,0,0
MVHP,202304,0,0
MVHP,202305,0,0
MVHP,202306,0,0
MVHP,202307,0,0
MVHP,202308,0,0
MVHP,202309,0,0
MVHP,202310,0,0
MVHP,202311,0,0
MVHP,202312,0,0
MVHP,202401,95,231
Partnership,202302,11,39
Partnership,202303,11,40
Partnership,202304,11,39
Partnership,202305,11,39
Partnership,202306,11,39
Partnership,202307,11,40
Partnership,202308,11,40
Partnership,202309,10,41
Partnership,202310,12,42
Partnership,202311,12,43
Partnership,202312,13,43
Partnership,202401,2,19
Rady Childrens Hosp,202302,0,0
Rady Childrens Hosp,202303,0,0
Rady Childrens Hosp,202304,0,0
Rady Childrens Hosp,202305,0,0
Rady Childrens Hosp,202306,0,0
Rady Childrens Hosp,202307,0,0
Rady Childrens Hosp,202308,0,0
Rady Childrens Hosp,202309,0,0
Rady Childrens Hosp,202310,0,0
Rady Childrens Hosp,202311,0,0
Rady Childrens Hosp,202312,0,0
Rady Childrens Hosp,202401,0,0
SCAN Health Plan,202302,368,608
SCAN Health Plan,202303,368,615
SCAN Health Plan,202304,380,632
SCAN Health Plan,202305,383,639
SCAN Health Plan,202306,376,624
SCAN Health Plan,202307,378,624
SCAN Health Plan,202308,381,625
SCAN Health Plan,202309,383,645
SCAN Health Plan,202310,388,653
SCAN Health Plan,202311,384,650
SCAN Health Plan,202312,369,615
SCAN Health Plan,202401,364,613
SCFHP,202302,23,56
SCFHP,202303,23,56
SCFHP,202304,22,56
SCFHP,202305,22,56
SCFHP,202306,22,56
SCFHP,202307,21,56
SCFHP,202308,21,57
SCFHP,202309,21,58
SCFHP,202310,24,59
SCFHP,202311,25,60
SCFHP,202312,25,61
SCFHP,202401,5,23
SFHP,202302,37,96
SFHP,202303,37,95
SFHP,202304,36,95
SFHP,202305,34,89
SFHP,202306,35,94
SFHP,202307,35,95
SFHP,202308,34,96
SFHP,202309,34,97
SFHP,202310,39,99
SFHP,202311,40,99
SFHP,202312,41,101
SFHP,202401,6,30
United,202302,0,0
United,202303,0,0
United,202304,0,0
United,202305,0,0
United,202306,0,0
United,202307,0,0
United,202308,0,0
United,202309,0,0
United,202310,0,0
United,202311,0,0
United,202312,0,0
United,202401,0,0
