Health Plan Name,Plan,Health Plan ID,Health Plan Type,Report Type,Reporting Period,Statement Date,Total Enrollees,Medi-Cal Managed Care,TNE,Required TNE,Excess TNE,% TNE to Required,Total Assets,Total Current Assets,Total Current Liabilities,Total Revenue,Net Income-Loss,Total Administrative Expenses,Administrative Cost Ratio,Total Medical Expenses,Health Expense Ratio,Period End Date,Period Type,Year,Quarter,Quarter Label
Local Initiative Health Authority for Los Angeles County,L.A. Care,933 0355,Full Service,Quarterly DMHC Financial Reporting Form,"October 1 - December 31, 2019",12/31/2019,2133525.0,2008825.0,1083273051.0,132793873.0,950479178.0,815.75,4550650522.0,4436111734.0,3463879219.0,2126067059.0,29157717.0,111372696.0,5.23,1985533106.0,93.85,2019-12-31,Quarterly,2019,4,2019 Q4
Local Initiative Health Authority for Los Angeles County,L.A. Care,933 0355,Full Service,Quarterly DMHC Financial Reporting Form,"July 1 - September 30, 2019",09/30/2019,2143890.0,2015665.0,1054115334.0,129412148.0,924703186.0,814.54,5098007318.0,4982968903.0,4040311049.0,2009428432.0,-6735129.0,105047522.0,5.22,1911124118.0,96.09,2019-09-30,Quarterly,2019,3,2019 Q3
Local Initiative Health Authority for Los Angeles County,L.A. Care,933 0355,Full Service,Quarterly DMHC Financial Reporting Form,"April 1 - June 30, 2019",06/30/2019,2152282.0,2021208.0,1060850463.0,123563811.0,937286652.0,858.54,4412551928.0,4300236154.0,3348125888.0,2002626286.0,43816222.0,106300973.0,5.3,1813770638.0,93.27,2019-06-30,Quarterly,2019,2,2019 Q2
Local Initiative Health Authority for Los Angeles County,L.A. Care,933 0355,Full Service,Quarterly DMHC Financial Reporting Form,"January 1 - March 31, 2019",03/31/2019,2157912.0,2024444.0,1017034241.0,124469662.0,892564579.0,817.09,4858170242.0,4745141453.0,3838393899.0,2099941506.0,141223778.0,98834050.0,4.7,1821290405.0,88.98,2019-03-31,Quarterly,2019,1,2019 Q1
Local Initiative Health Authority for Los Angeles County,L.A. Care,933 0355,Full Service,Annual DMHC Financial Reporting Form,2019,09/30/2019,2143890.0,2015665.0,1054115334.0,129412148.0,924703186.0,814.54,5098007318.0,4982968903.0,4040311049.0,8080711949.0,236629351.0,415719265.0,5.14,7312411828.0,92.53,2019-09-30,Annual,2019,,2019 Annual
Local Initiative Health Authority for Los Angeles County,L.A. Care,933 0355,Full Service,Quarterly DMHC Financial Reporting Form,"October 1 - December 31, 2018",12/31/2018,2170343.0,2051959.0,875810463.0,126374541.0,749435922.0,693.02,3938137757.0,3828180684.0,3059560368.0,1968715723.0,58324480.0,105536721.0,5.36,1766226665.0,91.91,2018-12-31,Quarterly,2018,4,2018 Q4
Local Initiative Health Authority for Los Angeles County,L.A. Care,933 0355,Full Service,Quarterly DMHC Financial Reporting Form,"July 1 - September 30, 2018",09/30/2018,2187392.0,2067037.0,817485983.0,133914228.0,683571755.0,610.45,4123275518.0,4015954785.0,3302934412.0,1937134180.0,38912707.0,106829573.0,5.51,1754014663.0,92.74,2018-09-30,Quarterly,2018,3,2018 Q3
Local Initiative Health Authority for Los Angeles County,L.A. Care,933 0355,Full Service,Quarterly DMHC Financial Reporting Form,"April 1 - June 30, 2018",06/30/2018,2191364.0,2069863.0,778573276.0,143706773.0,634866503.0,541.77,4461476415.0,4357889293.0,3679922991.0,1870329363.0,-27009660.0,96290773.0,5.14,1763953023.0,96.54,2018-06-30,Quarterly,2018,2,2018 Q2
Local Initiative Health Authority for Los Angeles County,L.A. Care,933 0355,Full Service,Quarterly DMHC Financial Reporting Form,"January 1 - March 31, 2018",03/31/2018,2194400.0,2072919.0,805582936.0,150008802.0,655574134.0,537.02,4519913417.0,4422273007.0,3711163924.0,1993966196.0,109873681.0,100620053.0,5.04,1746751718.0,89.31,2018-03-31,Quarterly,2018,1,2018 Q1
Local Initiative Health Authority for Los Angeles County,L.A. Care,933 0355,Full Service,Annual DMHC Financial Reporting Form,2018,09/30/2018,2187392.0,2067037.0,817485983.0,133914228.0,683571755.0,610.45,4123275518.0,4015954785.0,3302934412.0,8038903244.0,140531444.0,394667961.0,4.9,7355120029.0,93.44,2018-09-30,Annual,2018,,2018 Annual
Local Initiative Health Authority for Los Angeles County,L.A. Care,933 0355,Full Service,Quarterly DMHC Financial Reporting Form,"October 1 - December 31, 2017",12/31/2017,2135218.0,2061054.0,695709255.0,157478668.0,538230587.0,441.77,4623275357.0,4521990142.0,3924288348.0,2237473505.0,18754716.0,90927562.0,4.06,2090400625.0,95.15,2017-12-31,Quarterly,2017,4,2017 Q4
