Health Plan Name,Plan,Health Plan ID,Health Plan Type,Report Type,Reporting Period,Statement Date,Total Enrollees,Medi-Cal Managed Care,TNE,Required TNE,Excess TNE,% TNE to Required,Total Assets,Total Current Assets,Total Current Liabilities,Total Revenue,Net Income-Loss,Total Administrative Expenses,Administrative Cost Ratio,Total Medical Expenses,Health Expense Ratio,Period End Date,Period Type,Year,Quarter,Quarter Label
"Health Net Community Solutions, Inc.",Health Net Community Solutions,933 0426,Full Service,Quarterly DMHC Financial Reporting Form,"January 1 - March 31, 2026",03/31/2026,2457720.0,1494680.0,698357432.0,201880522.0,496476910.0,345.92,4329080898.0,2420004588.0,3477570420.0,3610424847.0,110999890.0,457497714.0,12.67,3008863173.0,91.62,2026-03-31,Quarterly,2026,1,2026 Q1
"Health Net Community Solutions, Inc.",Health Net Community Solutions,933 0426,Full Service,Quarterly DMHC Financial Reporting Form,"October 1 - December 31, 2025",12/31/2025,2121017.0,1546268.0,801257143.0,198305765.0,602951378.0,404.05,4028562602.0,2041277372.0,3083905253.0,3024896785.0,-18854385.0,741198126.0,24.5,2301726060.0,93.71,2025-12-31,Quarterly,2025,4,2025 Q4
"Health Net Community Solutions, Inc.",Health Net Community Solutions,933 0426,Full Service,Quarterly DMHC Financial Reporting Form,"July 1 - September 30, 2025",09/30/2025,2152010.0,1572707.0,832912492.0,196480946.0,636431546.0,423.91,3682284175.0,1464039457.0,2670626812.0,3342018475.0,83928840.0,348369576.0,10.42,2883876156.0,92.47,2025-09-30,Quarterly,2025,3,2025 Q3
"Health Net Community Solutions, Inc.",Health Net Community Solutions,933 0426,Full Service,Quarterly DMHC Financial Reporting Form,"April 1 - June 30, 2025",06/30/2025,2180371.0,1593402.0,833935075.0,193502301.0,640432774.0,430.96,3743356112.0,1443148163.0,2730943000.0,2916925051.0,77951976.0,475247879.0,16.29,2339778415.0,91.69,2025-06-30,Quarterly,2025,2,2025 Q2
"Health Net Community Solutions, Inc.",Health Net Community Solutions,933 0426,Full Service,Quarterly DMHC Financial Reporting Form,"January 1 - March 31, 2025",03/31/2025,2183818.0,1596280.0,895141973.0,183993453.0,711148520.0,486.5,4189245311.0,1915144730.0,3120128120.0,3733220598.0,65871046.0,667998003.0,17.89,2979112776.0,93.25,2025-03-31,Quarterly,2025,1,2025 Q1
"Health Net Community Solutions, Inc.",Health Net Community Solutions,933 0426,Full Service,Annual DMHC Financial Reporting Form,2025,12/31/2025,2121017.0,1546268.0,801257143.0,198305765.0,602951378.0,404.05,4028562602.0,2041277372.0,3083905253.0,13017060910.0,208897478.0,2232813585.0,17.15,10504493407.0,92.78,2025-12-31,Annual,2025,,2025 Annual
"Health Net Community Solutions, Inc.",Health Net Community Solutions,933 0426,Full Service,Quarterly DMHC Financial Reporting Form,"October 1 - December 31, 2024",12/31/2024,2178016.0,1586821.0,1008460826.0,181668235.0,826792591.0,555.11,3859611837.0,1708818933.0,2704065713.0,2892501042.0,53108211.0,595731181.0,20.59,2227900555.0,91.58,2024-12-31,Quarterly,2024,4,2024 Q4
"Health Net Community Solutions, Inc.",Health Net Community Solutions,933 0426,Full Service,Quarterly DMHC Financial Reporting Form,"July 1 - September 30, 2024",09/30/2024,2174335.0,1579059.0,1095591189.0,181111427.0,914479762.0,604.92,3628992686.0,1500754245.0,2351396813.0,2806363838.0,10392280.0,291851763.0,10.39,2501967972.0,94.82,2024-09-30,Quarterly,2024,3,2024 Q3
"Health Net Community Solutions, Inc.",Health Net Community Solutions,933 0426,Full Service,Quarterly DMHC Financial Reporting Form,"April 1 - June 30, 2024",06/30/2024,2176694.0,1581784.0,1135603454.0,179339879.0,956263575.0,633.21,3952659906.0,1918196402.0,2619581160.0,2620360698.0,70080991.0,487489938.0,18.6,2041258594.0,90.51,2024-06-30,Quarterly,2024,2,2024 Q2
"Health Net Community Solutions, Inc.",Health Net Community Solutions,933 0426,Full Service,Quarterly DMHC Financial Reporting Form,"January 1 - March 31, 2024",03/31/2024,2204541.0,1606543.0,1221611923.0,171865524.0,1049746399.0,710.79,4309515075.0,2360624627.0,2858188884.0,3374672780.0,105090859.0,558183821.0,16.54,2679194616.0,91.14,2024-03-31,Quarterly,2024,1,2024 Q1
"Health Net Community Solutions, Inc.",Health Net Community Solutions,933 0426,Full Service,Annual DMHC Financial Reporting Form,2024,12/31/2024,2178016.0,1586821.0,1008460826.0,181668234.0,826792592.0,555.11,3859611837.0,1708818933.0,2704065713.0,11693898357.0,238672344.0,1933256704.0,16.53,9450321735.0,92.05,2024-12-31,Annual,2024,,2024 Annual
