Health Plan Name,Plan,Health Plan ID,Health Plan Type,Report Type,Reporting Period,Statement Date,Total Enrollees,Medi-Cal Managed Care,TNE,Required TNE,Excess TNE,% TNE to Required,Total Assets,Total Current Assets,Total Current Liabilities,Total Revenue,Net Income-Loss,Total Administrative Expenses,Administrative Cost Ratio,Total Medical Expenses,Health Expense Ratio,Period End Date,Period Type,Year,Quarter,Quarter Label
Local Initiative Health Authority for Los Angeles County,L.A. Care,933 0355,Full Service,Quarterly DMHC Financial Reporting Form,"January 1 - March 31, 2026",03/31/2026,2389108.0,2182587.0,2783981808.0,242245450.0,2541736358.0,1149.24,8972411675.0,8638657330.0,5971471451.0,3235767623.0,170854137.0,182817185.0,5.64,2692003667.0,89.66,2026-03-31,Quarterly,2026,1,2026 Q1
Local Initiative Health Authority for Los Angeles County,L.A. Care,933 0355,Full Service,Quarterly DMHC Financial Reporting Form,"October 1 - December 31, 2025",12/31/2025,2497633.0,2274461.0,2613127671.0,240133704.0,2372993967.0,1088.19,7915222469.0,7596981826.0,5069693413.0,3188919090.0,-29827386.0,170062855.0,5.33,2854064791.0,96.68,2025-12-31,Quarterly,2025,4,2025 Q4
Local Initiative Health Authority for Los Angeles County,L.A. Care,933 0355,Full Service,Quarterly DMHC Financial Reporting Form,"July 1 - September 30, 2025",09/30/2025,2547127.0,2320808.0,2642955057.0,229966567.0,2412988490.0,1149.27,7743229858.0,7398480563.0,4944163240.0,3165696493.0,69806638.0,171424647.0,5.41,2733096490.0,93.56,2025-09-30,Quarterly,2025,3,2025 Q3
Local Initiative Health Authority for Los Angeles County,L.A. Care,933 0355,Full Service,Quarterly DMHC Financial Reporting Form,"April 1 - June 30, 2025",06/30/2025,2587717.0,2363967.0,2573148419.0,226778621.0,2346369798.0,1134.65,7448732107.0,7107362426.0,4680472866.0,3223241447.0,170333579.0,167213593.0,5.18,2688917179.0,90.38,2025-06-30,Quarterly,2025,2,2025 Q2
Local Initiative Health Authority for Los Angeles County,L.A. Care,933 0355,Full Service,Quarterly DMHC Financial Reporting Form,"January 1 - March 31, 2025",03/31/2025,2594383.0,2371917.0,2402814840.0,212286468.0,2190528372.0,1131.87,7870724489.0,7509123779.0,5287293739.0,3090519945.0,101237818.0,181992865.0,5.88,2623321412.0,92.45,2025-03-31,Quarterly,2025,1,2025 Q1
Local Initiative Health Authority for Los Angeles County,L.A. Care,933 0355,Full Service,Annual DMHC Financial Reporting Form,2025,12/31/2025,2497633.0,2274461.0,2613127671.0,292593750.0,2320533921.0,893.09,7915222469.0,7596981826.0,5069693413.0,15800808336.0,400400706.0,854179016.0,5.4,13587708758.0,93.11,2025-12-31,Annual,2025,,2025 Annual
Local Initiative Health Authority for Los Angeles County,L.A. Care,933 0355,Full Service,Quarterly DMHC Financial Reporting Form,"October 1 - December 31, 2024",12/31/2024,2570226.0,2372431.0,2301577022.0,202193429.0,2099383593.0,1138.3,7461226631.0,7166412072.0,5003496917.0,3132431364.0,88850057.0,163485060.0,5.21,2688308885.0,92.46,2024-12-31,Quarterly,2024,4,2024 Q4
Local Initiative Health Authority for Los Angeles County,L.A. Care,933 0355,Full Service,Quarterly DMHC Financial Reporting Form,"July 1 - September 30, 2024",09/30/2024,2550170.0,2354467.0,2212726965.0,190223869.0,2022503096.0,1163.22,6775249528.0,6479205599.0,4435720017.0,3063457128.0,28546014.0,174064582.0,5.68,2546529397.0,94.36,2024-09-30,Quarterly,2024,3,2024 Q3
Local Initiative Health Authority for Los Angeles County,L.A. Care,933 0355,Full Service,Quarterly DMHC Financial Reporting Form,"April 1 - June 30, 2024",06/30/2024,2527933.0,2341702.0,2184180951.0,176055047.0,2008125904.0,1240.62,6632624328.0,6448271461.0,4403810167.0,2855877881.0,133825772.0,173520264.0,6.07,2423010809.0,90.74,2024-06-30,Quarterly,2024,2,2024 Q2
Local Initiative Health Authority for Los Angeles County,L.A. Care,933 0355,Full Service,Quarterly DMHC Financial Reporting Form,"January 1 - March 31, 2024",03/31/2024,2538815.0,2365296.0,2050355179.0,178515909.0,1871839270.0,1148.55,7832706071.0,7662639797.0,5743917119.0,2709496868.0,120131167.0,152041695.0,5.61,2311802970.0,91.24,2024-03-31,Quarterly,2024,1,2024 Q1
Local Initiative Health Authority for Los Angeles County,L.A. Care,933 0355,Full Service,Annual DMHC Financial Reporting Form,2024,09/30/2024,2550170.0,2354467.0,2212726965.0,190223869.0,2022503096.0,1163.22,6775249528.0,6479205599.0,4435720017.0,11895471042.0,538242750.0,646379176.0,5.43,9768926800.0,91.05,2024-09-30,Annual,2024,,2024 Annual
