Health Plan Name,Plan,Health Plan ID,Health Plan Type,Report Type,Reporting Period,Statement Date,Total Enrollees,Medi-Cal Managed Care,TNE,Required TNE,Excess TNE,% TNE to Required,Total Assets,Total Current Assets,Total Current Liabilities,Total Revenue,Net Income-Loss,Total Administrative Expenses,Administrative Cost Ratio,Total Medical Expenses,Health Expense Ratio,Period End Date,Period Type,Year,Quarter,Quarter Label
"Health Net Community Solutions, Inc.",Health Net Community Solutions,933 0426,Full Service,Quarterly DMHC Financial Reporting Form,"October 1 - December 31, 2019",12/31/2019,1732409.0,1359725.0,1261970051.0,161693059.0,1100276992.0,780.47,2400578215.0,1385775906.0,1099323128.0,1754971611.0,120379770.0,152749488.0,8.7,1447294856.0,85.28,2019-12-31,Quarterly,2019,4,2019 Q4
"Health Net Community Solutions, Inc.",Health Net Community Solutions,933 0426,Full Service,Quarterly DMHC Financial Reporting Form,"July 1 - September 30, 2019",09/30/2019,1751497.0,1374957.0,1341347651.0,161105189.0,1180242462.0,832.59,2850261977.0,1844392467.0,1445611303.0,2024225942.0,124079035.0,138456389.0,6.83,1722858313.0,87.15,2019-09-30,Quarterly,2019,3,2019 Q3
"Health Net Community Solutions, Inc.",Health Net Community Solutions,933 0426,Full Service,Quarterly DMHC Financial Reporting Form,"April 1 - June 30, 2019",06/30/2019,1763941.0,1384692.0,1311920720.0,138125349.0,1173795371.0,949.8,2415760107.0,1470993043.0,1039893258.0,1865721550.0,99069369.0,362813397.0,19.44,1375685246.0,87.04,2019-06-30,Quarterly,2019,2,2019 Q2
"Health Net Community Solutions, Inc.",Health Net Community Solutions,933 0426,Full Service,Quarterly DMHC Financial Reporting Form,"January 1 - March 31, 2019",03/31/2019,1774626.0,1396177.0,1203517359.0,137790742.0,1065726617.0,873.43,2833438684.0,1865170446.0,1578677027.0,2073754918.0,110550525.0,543507056.0,26.2,1388669244.0,85.58,2019-03-31,Quarterly,2019,1,2019 Q1
"Health Net Community Solutions, Inc.",Health Net Community Solutions,933 0426,Full Service,Annual DMHC Financial Reporting Form,2019,12/31/2019,1732409.0,1359725.0,1261970051.0,161693059.0,1100276992.0,780.47,2400578215.0,1385775906.0,1099323128.0,7718674019.0,454078698.0,1197526325.0,15.51,5934507663.0,86.29,2019-12-31,Annual,2019,,2019 Annual
"Health Net Community Solutions, Inc.",Health Net Community Solutions,933 0426,Full Service,Quarterly DMHC Financial Reporting Form,"October 1 - December 31, 2018",12/31/2018,1792464.0,1411641.0,1077697694.0,133467944.0,944229750.0,807.45,2394526841.0,1393816172.0,1264941143.0,1721269206.0,96389497.0,170736652.0,9.91,1431154943.0,86.66,2018-12-31,Quarterly,2018,4,2018 Q4
"Health Net Community Solutions, Inc.",Health Net Community Solutions,933 0426,Full Service,Quarterly DMHC Financial Reporting Form,"July 1 - September 30, 2018",09/30/2018,1821731.0,1438873.0,1179414525.0,140199635.0,1039214890.0,841.23,2562594957.0,1547065135.0,1331630220.0,1518916999.0,149205602.0,155826491.0,10.25,1160324508.0,79.98,2018-09-30,Quarterly,2018,3,2018 Q3
"Health Net Community Solutions, Inc.",Health Net Community Solutions,933 0426,Full Service,Quarterly DMHC Financial Reporting Form,"April 1 - June 30, 2018",06/30/2018,1840947.0,1457167.0,1033257225.0,156253184.0,877004041.0,661.27,2517232129.0,1480082143.0,1428407917.0,2086941370.0,101281318.0,606441261.0,29.05,1345781320.0,86.6,2018-06-30,Quarterly,2018,2,2018 Q2
"Health Net Community Solutions, Inc.",Health Net Community Solutions,933 0426,Full Service,Quarterly DMHC Financial Reporting Form,"January 1 - March 31, 2018",03/31/2018,1862132.0,1480098.0,933365085.0,163434191.0,769930894.0,571.09,3247377570.0,2197914863.0,2278484056.0,1655294933.0,147004329.0,153345581.0,9.26,1308572294.0,82.37,2018-03-31,Quarterly,2018,1,2018 Q1
"Health Net Community Solutions, Inc.",Health Net Community Solutions,933 0426,Full Service,Annual DMHC Financial Reporting Form,2018,12/31/2018,1792464.0,1411641.0,1077697694.0,133467944.0,944229750.0,807.45,2394526841.0,1393816172.0,1264941143.0,6982422508.0,493880746.0,1086349982.0,15.55,5245833067.0,84.0,2018-12-31,Annual,2018,,2018 Annual
