Health Plan Name,Plan,Health Plan ID,Health Plan Type,Report Type,Reporting Period,Statement Date,Total Enrollees,Medi-Cal Managed Care,TNE,Required TNE,Excess TNE,% TNE to Required,Total Assets,Total Current Assets,Total Current Liabilities,Total Revenue,Net Income-Loss,Total Administrative Expenses,Administrative Cost Ratio,Total Medical Expenses,Health Expense Ratio,Period End Date,Period Type,Year,Quarter,Quarter Label
"Health Net Community Solutions, Inc.",Health Net Community Solutions,933 0426,Full Service,Quarterly DMHC Financial Reporting Form,"October 1 - December 31, 2023",12/31/2023,2114291.0,1666955.0,1277264942.0,169788337.0,1107476605.0,752.26,3934233117.0,2102261761.0,2112084977.0,2048962744.0,61496999.0,226851010.0,11.07,1734042896.0,91.24,2023-12-31,Quarterly,2023,4,2023 Q4
"Health Net Community Solutions, Inc.",Health Net Community Solutions,933 0426,Full Service,Quarterly DMHC Financial Reporting Form,"July 1 - September 30, 2023",09/30/2023,2200337.0,1749449.0,1261908213.0,159068124.0,1102840089.0,793.31,4010856965.0,2423571984.0,2235411889.0,2637400427.0,159774361.0,417934024.0,15.84,2011461500.0,86.22,2023-09-30,Quarterly,2023,3,2023 Q3
"Health Net Community Solutions, Inc.",Health Net Community Solutions,933 0426,Full Service,Quarterly DMHC Financial Reporting Form,"April 1 - June 30, 2023",06/30/2023,2252795.0,1789239.0,1221520724.0,150537507.0,1070983217.0,811.43,3682132356.0,2075141403.0,1968082420.0,1942138375.0,225358573.0,242481786.0,12.48,1407135434.0,78.0,2023-06-30,Quarterly,2023,2,2023 Q2
"Health Net Community Solutions, Inc.",Health Net Community Solutions,933 0426,Full Service,Quarterly DMHC Financial Reporting Form,"January 1 - March 31, 2023",03/31/2023,2211679.0,1756499.0,1157504424.0,150036157.0,1007468267.0,771.48,4050357400.0,2443972836.0,2465992270.0,2570554821.0,151928585.0,338563372.0,13.17,2034604738.0,87.74,2023-03-31,Quarterly,2023,1,2023 Q1
"Health Net Community Solutions, Inc.",Health Net Community Solutions,933 0426,Full Service,Annual DMHC Financial Reporting Form,2023,12/31/2023,2114291.0,1666955.0,1277264942.0,169788337.0,1107476605.0,752.26,3934233117.0,2102261761.0,2112084977.0,9199056369.0,598558520.0,1225830191.0,13.32,7187244568.0,86.01,2023-12-31,Annual,2023,,2023 Annual
"Health Net Community Solutions, Inc.",Health Net Community Solutions,933 0426,Full Service,Quarterly DMHC Financial Reporting Form,"October 1 - December 31, 2022",12/31/2022,2107070.0,1659176.0,1140180304.0,145478994.0,994701310.0,783.74,3160282473.0,1735550948.0,1602690303.0,1855538129.0,129170245.0,181784740.0,9.79,1505951682.0,83.78,2022-12-31,Quarterly,2022,4,2022 Q4
"Health Net Community Solutions, Inc.",Health Net Community Solutions,933 0426,Full Service,Quarterly DMHC Financial Reporting Form,"July 1 - September 30, 2022",09/30/2022,2073861.0,1630855.0,1096378315.0,149110616.0,947267699.0,735.27,3170004370.0,1792512971.0,1676591727.0,2024095420.0,67985728.0,162905794.0,8.04,1774059688.0,90.05,2022-09-30,Quarterly,2022,3,2022 Q3
"Health Net Community Solutions, Inc.",Health Net Community Solutions,933 0426,Full Service,Quarterly DMHC Financial Reporting Form,"April 1 - June 30, 2022",06/30/2022,2006004.0,1570196.0,1161903995.0,153467406.0,1008436589.0,757.1,3134478878.0,1903152445.0,1591853288.0,1718685938.0,145143292.0,139034508.0,8.08,1390468510.0,83.08,2022-06-30,Quarterly,2022,2,2022 Q2
"Health Net Community Solutions, Inc.",Health Net Community Solutions,933 0426,Full Service,Quarterly DMHC Financial Reporting Form,"January 1 - March 31, 2022",03/31/2022,1966701.0,1536661.0,1193363853.0,163269137.0,1030094716.0,730.91,3147871796.0,1937440273.0,1593025276.0,2360330460.0,126379402.0,337895656.0,14.31,1858355276.0,87.68,2022-03-31,Quarterly,2022,1,2022 Q1
"Health Net Community Solutions, Inc.",Health Net Community Solutions,933 0426,Full Service,Annual DMHC Financial Reporting Form,2022,12/31/2022,2107070.0,1659176.0,1140180304.0,145478994.0,994701310.0,783.74,3160282473.0,1735550948.0,1602690303.0,7958649950.0,468678664.0,821620701.0,10.32,6528835159.0,86.35,2022-12-31,Annual,2022,,2022 Annual
