Health Plan Name,Plan,Health Plan ID,Health Plan Type,Report Type,Reporting Period,Statement Date,Total Enrollees,Medi-Cal Managed Care,TNE,Required TNE,Excess TNE,% TNE to Required,Total Assets,Total Current Assets,Total Current Liabilities,Total Revenue,Net Income-Loss,Total Administrative Expenses,Administrative Cost Ratio,Total Medical Expenses,Health Expense Ratio,Period End Date,Period Type,Year,Quarter,Quarter Label
"Health Net Community Solutions, Inc.",Health Net Community Solutions,933 0426,Full Service,Quarterly DMHC Financial Reporting Form,"October 1 - December 31, 2021",12/31/2021,1918269.0,1495990.0,1258629233.0,173789541.0,1084839692.0,724.22,3119396749.0,1957285900.0,1502479169.0,1957356840.0,126819141.0,267520544.0,13.66,1527099896.0,84.82,2021-12-31,Quarterly,2021,4,2021 Q4
"Health Net Community Solutions, Inc.",Health Net Community Solutions,933 0426,Full Service,Quarterly DMHC Financial Reporting Form,"July 1 - September 30, 2021",09/30/2021,1900986.0,1482714.0,1237586623.0,172715930.0,1064870693.0,716.54,2939563631.0,1878497066.0,1432934325.0,2126074834.0,171355124.0,157388376.0,7.4,1747727538.0,84.49,2021-09-30,Quarterly,2021,3,2021 Q3
"Health Net Community Solutions, Inc.",Health Net Community Solutions,933 0426,Full Service,Quarterly DMHC Financial Reporting Form,"April 1 - June 30, 2021",06/30/2021,1881551.0,1468258.0,1170013270.0,188807774.0,981205496.0,619.68,2663061215.0,1599850309.0,1231486246.0,2175798477.0,193540582.0,336476157.0,15.46,1587201106.0,82.69,2021-06-30,Quarterly,2021,2,2021 Q2
"Health Net Community Solutions, Inc.",Health Net Community Solutions,933 0426,Full Service,Quarterly DMHC Financial Reporting Form,"January 1 - March 31, 2021",03/31/2021,1854514.0,1447465.0,1221180688.0,183475867.0,1037704821.0,665.58,3043033141.0,1989481044.0,1588811155.0,2345394720.0,159629493.0,426521776.0,18.18,1711000389.0,85.69,2021-03-31,Quarterly,2021,1,2021 Q1
"Health Net Community Solutions, Inc.",Health Net Community Solutions,933 0426,Full Service,Annual DMHC Financial Reporting Form,2021,12/31/2021,1918269.0,1495990.0,1258629233.0,173789541.0,1084839692.0,724.22,3119396749.0,1957285900.0,1502479169.0,8604624873.0,651344341.0,1187906852.0,13.8,6573028931.0,84.43,2021-12-31,Annual,2021,,2021 Annual
"Health Net Community Solutions, Inc.",Health Net Community Solutions,933 0426,Full Service,Quarterly DMHC Financial Reporting Form,"October 1 - December 31, 2020",12/31/2020,1827173.0,1425909.0,1224075665.0,179424122.0,1044651543.0,682.22,2749152752.0,1671784873.0,1301200860.0,1644589914.0,-419604.0,194386588.0,11.81,1446340766.0,91.91,2020-12-31,Quarterly,2020,4,2020 Q4
"Health Net Community Solutions, Inc.",Health Net Community Solutions,933 0426,Full Service,Quarterly DMHC Financial Reporting Form,"July 1 - September 30, 2020",09/30/2020,1795606.0,1401480.0,1295956911.0,179509279.0,1116447632.0,721.94,3085360590.0,2127601977.0,1751904327.0,2044677480.0,8089504.0,122823870.0,6.0,1904662121.0,94.27,2020-09-30,Quarterly,2020,3,2020 Q3
"Health Net Community Solutions, Inc.",Health Net Community Solutions,933 0426,Full Service,Quarterly DMHC Financial Reporting Form,"April 1 - June 30, 2020",06/30/2020,1752481.0,1368246.0,1358276584.0,172693101.0,1185583483.0,786.52,2783839211.0,1782040825.0,1387886974.0,1928414493.0,113881499.0,351017335.0,18.2,1422467319.0,85.07,2020-06-30,Quarterly,2020,2,2020 Q2
"Health Net Community Solutions, Inc.",Health Net Community Solutions,933 0426,Full Service,Quarterly DMHC Financial Reporting Form,"January 1 - March 31, 2020",03/31/2020,1699335.0,1330109.0,1225830640.0,169269413.0,1056561227.0,724.18,2532802418.0,1525356282.0,1269241806.0,2057221779.0,76312708.0,369711343.0,17.97,1581546535.0,88.39,2020-03-31,Quarterly,2020,1,2020 Q1
"Health Net Community Solutions, Inc.",Health Net Community Solutions,933 0426,Full Service,Annual DMHC Financial Reporting Form,2020,12/31/2020,1827173.0,1425909.0,1224075665.0,179424122.0,1044651543.0,682.22,2749152752.0,1671784873.0,1301200860.0,7674903666.0,197864108.0,1037939138.0,13.52,6355016738.0,90.07,2020-12-31,Annual,2020,,2020 Annual
