Health Plan Name,Plan,Health Plan ID,Health Plan Type,Report Type,Reporting Period,Statement Date,Total Enrollees,Medi-Cal Managed Care,TNE,Required TNE,Excess TNE,% TNE to Required,Total Assets,Total Current Assets,Total Current Liabilities,Total Revenue,Net Income-Loss,Total Administrative Expenses,Administrative Cost Ratio,Total Medical Expenses,Health Expense Ratio,Period End Date,Period Type,Year,Quarter,Quarter Label
Local Initiative Health Authority for Los Angeles County,L.A. Care,933 0355,Full Service,Quarterly DMHC Financial Reporting Form,"October 1 - December 31, 2023",12/31/2023,2682058.0,2543485.0,1930224012.0,177082171.0,1753141841.0,1090.01,7045091873.0,6879383456.0,5069357036.0,3266639168.0,255739797.0,146752641.0,4.49,2487583622.0,88.01,2023-12-31,Quarterly,2023,4,2023 Q4
Local Initiative Health Authority for Los Angeles County,L.A. Care,933 0355,Full Service,Quarterly DMHC Financial Reporting Form,"July 1 - September 30, 2023",09/30/2023,2839647.0,2707676.0,1674484215.0,175577480.0,1498906735.0,953.7,6634607731.0,6462411681.0,4899246549.0,2849673883.0,294996702.0,147860211.0,5.18,2435757028.0,86.32,2023-09-30,Quarterly,2023,3,2023 Q3
Local Initiative Health Authority for Los Angeles County,L.A. Care,933 0355,Full Service,Quarterly DMHC Financial Reporting Form,"April 1 - June 30, 2023",06/30/2023,2881499.0,2753393.0,1379487513.0,174934726.0,1204552787.0,788.57,5932934384.0,5768489003.0,4480845672.0,3003993531.0,148503153.0,134567962.0,4.47,2720922564.0,90.97,2023-06-30,Quarterly,2023,2,2023 Q2
Local Initiative Health Authority for Los Angeles County,L.A. Care,933 0355,Full Service,Quarterly DMHC Financial Reporting Form,"January 1 - March 31, 2023",03/31/2023,2837052.0,2709463.0,1230984360.0,162956563.0,1068027797.0,755.4,7121267972.0,6903588878.0,5836614733.0,2866032467.0,160898294.0,131306771.0,4.58,2573827402.0,90.78,2023-03-31,Quarterly,2023,1,2023 Q1
Local Initiative Health Authority for Los Angeles County,L.A. Care,933 0355,Full Service,Annual DMHC Financial Reporting Form,2023,09/30/2023,2839647.0,2707676.0,1674484215.0,175577480.0,1498906735.0,953.7,6634607731.0,6462411681.0,4899246549.0,11249637333.0,641204866.0,538759163.0,4.78,10052697922.0,90.53,2023-09-30,Annual,2023,,2023 Annual
Local Initiative Health Authority for Los Angeles County,L.A. Care,933 0355,Full Service,Quarterly DMHC Financial Reporting Form,"October 1 - December 31, 2022",12/31/2022,2715972.0,2603252.0,1070086066.0,155189679.0,914896387.0,689.53,5303799673.0,5088401501.0,4179309767.0,2529937455.0,36806717.0,125024222.0,4.94,2322190928.0,94.53,2022-12-31,Quarterly,2022,4,2022 Q4
Local Initiative Health Authority for Los Angeles County,L.A. Care,933 0355,Full Service,Quarterly DMHC Financial Reporting Form,"July 1 - September 30, 2022",09/30/2022,2674770.0,2561157.0,1033279349.0,154348241.0,878931108.0,669.44,5763978775.0,5547573718.0,4672692426.0,2183911035.0,-52164587.0,124542471.0,5.7,2065623330.0,96.62,2022-09-30,Quarterly,2022,3,2022 Q3
Local Initiative Health Authority for Los Angeles County,L.A. Care,933 0355,Full Service,Quarterly DMHC Financial Reporting Form,"April 1 - June 30, 2022",06/30/2022,2574782.0,2459789.0,1085443936.0,151589240.0,933854696.0,716.04,4957502345.0,4810313187.0,3869732395.0,2348426609.0,14741764.0,114533836.0,4.87,2177511095.0,94.44,2022-06-30,Quarterly,2022,2,2022 Q2
Local Initiative Health Authority for Los Angeles County,L.A. Care,933 0355,Full Service,Quarterly DMHC Financial Reporting Form,"January 1 - March 31, 2022",03/31/2022,2514995.0,2400470.0,1070702172.0,152859593.0,917842579.0,700.44,5551536800.0,5402958580.0,4477776812.0,2032243457.0,-6308722.0,161105142.0,7.92,1835687248.0,91.77,2022-03-31,Quarterly,2022,1,2022 Q1
Local Initiative Health Authority for Los Angeles County,L.A. Care,933 0355,Full Service,Annual DMHC Financial Reporting Form,2022,09/30/2022,2674770.0,2561157.0,1033279349.0,154348241.0,878931108.0,669.44,5763978775.0,5547573718.0,4672692426.0,8994183976.0,-8154672.0,517310102.0,5.75,8313967315.0,94.24,2022-09-30,Annual,2022,,2022 Annual
