Month,County,Plan Type,Plan Category,Plan,Plan Name Raw,Enrollees,Suppressed
2023-01-01,Kings,Commercial Plan (2 Plan),Medical,Anthem Blue Cross Partnership Plan,Anthem Blue Cross Partnership Plan/Kings,24343.0,False
2023-01-01,Kings,Local Initiative (2 Plan),Medical,CalViva Health Kings,CalViva Health Kings,36383.0,False
2023-01-01,Kings,PACE,PACE,Sequioa PACE Kings,Sequioa PACE Kings,,True
2023-01-01,Lake,County Organized Health Systems,Medical,Partnership HealthPlan of California,Partnership HealthPlan of CA/Lake,35536.0,False
2023-01-01,Lassen,County Organized Health Systems,Medical,Partnership HealthPlan of California,Partnership HealthPlan of CA/Lassen,9049.0,False
2023-01-01,Los Angeles,Commercial Plan (2 Plan),Medical,Health Net Community Solutions,Health Net / LA,1135834.0,False
2023-01-01,Los Angeles,Dental,Dental,Access Dental Plan,Access Dental Plan/LA,138258.0,False
2023-01-01,Los Angeles,Dental,Dental,Health Net of California,Health Net of California,228181.0,False
2023-01-01,Los Angeles,Dental,Dental,Liberty Dental Plan of CA (LA),Liberty Dental Plan of CA (LA),87974.0,False
2023-01-01,Los Angeles,Local Initiative (2 Plan),Medical,L.A. Care Health Plan,LA CARE,2633339.0,False
2023-01-01,Los Angeles,PACE,PACE,ConcertoHealth PACE of Los Angeles,ConcertoHealth PACE of Los Angeles,,True
2023-01-01,Los Angeles,PACE,PACE,LA Coast PACE,LA Coast PACE,365.0,False
2023-01-01,Los Angeles,PACE,PACE,Pacific PACE,Pacific PACE,392.0,False
2023-01-01,Los Angeles,Primary Care Case Management,Medical,AIDS Healthcare Foundation,AIDS HlthCare Found/ LA,802.0,False
2023-01-01,Los Angeles,SCAN,Medical,SCAN Health Plan,SCAN (Nurs hm cert) / LA + SCAN Hlth Plan / LA,13506.0,False
2023-01-01,Los Angeles,Special Project,Medical,AltaMed Health Sr. Buena Care,AltaMed Hlth Sr. Buena Care/LA,3979.0,False
2023-01-01,Los Angeles,Special Project,Medical,Brandman Ctrs for Senior Care,Brandman Ctrs for Senior Care,319.0,False
2023-01-01,Madera,Commercial Plan (2 Plan),Medical,Anthem Blue Cross Partnership Plan,Anthem Blue Cross Partnership Plan/Madera,27916.0,False
2023-01-01,Madera,Local Initiative (2 Plan),Medical,CalViva Health Madera,CalViva Health Madera,45839.0,False
2023-01-01,Madera,PACE,PACE,Sequioa PACE Madera,Sequioa PACE Madera,18.0,False
2023-01-01,Marin,County Organized Health Systems,Medical,Partnership HealthPlan of California,Partnership HealthPlan of CA/Marin,50954.0,False
2023-01-01,Mariposa,Regional Model,Medical,Anthem Blue Cross Partnership Plan,Anthem Blue Cross Partnership Plan/Mariposa,4209.0,False
2023-01-01,Mariposa,Regional Model,Medical,California Health & Wellness,California Health & Wellness/Mariposa,1080.0,False
2023-01-01,Mendocino,County Organized Health Systems,Medical,Partnership HealthPlan of California,Partnership HealthPlan of CA/Mendocino,41833.0,False
2023-01-01,Merced,County Organized Health Systems,Medical,Central California Alliance for Health Merced,Central California Alliance for Health Merced,151406.0,False
2023-01-01,Modoc,County Organized Health Systems,Medical,Partnership HealthPlan of California,Partnership HealthPlan of CA/Modoc,4242.0,False
2023-01-01,Mono,Regional Model,Medical,Anthem Blue Cross Partnership Plan,Anthem Blue Cross Partnership Plan/Mono,2129.0,False
2023-01-01,Mono,Regional Model,Medical,California Health & Wellness,California Health & Wellness/Mono,1081.0,False
2023-01-01,Monterey,County Organized Health Systems,Medical,Central California Alliance for Health,Central California Alliance for Health/Montery,187943.0,False
2023-01-01,Napa,County Organized Health Systems,Medical,Partnership HP of CA,Partnership HP of CA/Napa,35354.0,False
2023-01-01,Nevada,Regional Model,Medical,Anthem Blue Cross Partnership Plan,Anthem Blue Cross Partnership Plan/Nevada,14882.0,False
2023-01-01,Nevada,Regional Model,Medical,California Health & Wellness,California Health & Wellness/Nevada,10229.0,False
2023-01-01,Orange,County Organized Health Systems,Medical,CalOPTIMA,CalOPTIMA / Orange,952771.0,False
2023-01-01,Orange,PACE,PACE,AltaMed Senior Buena Care,AltaMed Senior Buena Care/Orange,294.0,False
2023-01-01,Orange,PACE,PACE,CalOPTIMA PACE,CalOPTIMA PACE,431.0,False
2023-01-01,Orange,PACE,PACE,Innovative Intergrated Health PACE,Innovative Intergrated Health PACE/Orange,54.0,False
2023-01-01,Placer,PACE,PACE,InnovAge,InnovAge/Placer,13.0,False
2023-01-01,Placer,Regional Model,Medical,Anthem Blue Cross Partnership Plan,Anthem Blue Cross Partnership Plan/Placer,39549.0,False
2023-01-01,Placer,Regional Model,Medical,California Health & Wellness,California Health & Wellness/Placer,13647.0,False
2023-01-01,Placer,Regional Model,Medical,Kaiser,Kaiser/Placer,13266.0,False
2023-01-01,Plumas,Regional Model,Medical,Anthem Blue Cross Partnership Plan,Anthem Blue Cross Partnership Plan/Plumas,3041.0,False
2023-01-01,Plumas,Regional Model,Medical,California Health & Wellness,California Health & Wellness/Plumas,2732.0,False
2023-01-01,Riverside,Commercial Plan (2 Plan),Medical,Molina Healthcare of California,Molina Healthcare of California/Riverside,115009.0,False
2023-01-01,Riverside,Local Initiative (2 Plan),Medical,Inland Emp Hlth Plan,Inland Emp Hlth Plan/Rvrsd,813867.0,False
2023-01-01,Riverside,PACE,PACE,InnovAge PACE,InnovAge PACE/Riverside,396.0,False
2023-01-01,Riverside,PACE,PACE,Neighborhood Healthcare PACE,Neighborhood Healthcare PACE/Riverside,97.0,False
2023-01-01,Riverside,SCAN,Medical,SCAN Health Plan,SCAN (Nurs hm cert)/Rvrsd + SCAN Hlth Plan/Rvrsd,3564.0,False
2023-01-01,Sacramento,Dental,Dental,Access Dental Plan,Access Dental Plan/Sacto,158095.0,False
2023-01-01,Sacramento,Dental,Dental,Health Net of California Dental,Health Net of California Dental,180219.0,False
2023-01-01,Sacramento,Dental,Dental,Liberty Dental Plan of CA,Liberty Dental Plan of CA/Sacto,214746.0,False
2023-01-01,Sacramento,Geographic Managed Care,Medical,Aetna Better Health,Aetna Better Health / Sacramento,23157.0,False
2023-01-01,Sacramento,Geographic Managed Care,Medical,Anthem Blue Cross Partnership Plan,Anthem Blue Cross Partnership Plan/Sac,225659.0,False
2023-01-01,Sacramento,Geographic Managed Care,Medical,Health Net Community Solutions,Health Net/Sac,136563.0,False
2023-01-01,Sacramento,Geographic Managed Care,Medical,Kaiser Foundation,Kaiser Foundation/Sac,127238.0,False
2023-01-01,Sacramento,Geographic Managed Care,Medical,Molina Healthcare of California,Molina Healthcare of California/Sacramento,58452.0,False
2023-01-01,Sacramento,PACE,PACE,InnovAge,InnovAge/Sacramento,123.0,False
2023-01-01,Sacramento,Special Project,Medical,Sutter SeniorCare,Sutter SeniorCare/Sacramento,430.0,False
2023-01-01,San Benito,San Benito Model,Medical,Anthem Blue Cross,Anthem Blue Cross/San Benito,11329.0,False
2023-01-01,San Bernardino,Commercial Plan (2 Plan),Medical,Molina Healthcare of California,Molina Healthcare of California/San Bernardino,110277.0,False
2023-01-01,San Bernardino,Local Initiative (2 Plan),Medical,Inland Emp Hlth Plan,Inland Emp Hlth Plan/S Ber,804421.0,False
2023-01-01,San Bernardino,PACE,PACE,InnovAge PACE,InnovAge PACE/San Bernardino,904.0,False
2023-01-01,San Bernardino,PACE,PACE,Neighborhood Healthcare PACE,Neighborhood Healthcare PACE/San Bernardino,41.0,False
2023-01-01,San Bernardino,SCAN,Medical,SCAN Health Plan,SCAN (Nurs hm cert)/S Ber + SCAN Hlth Plan/San Bern,2535.0,False
2023-01-01,San Diego ,Geographic Managed Care,Medical,Aetna Better Health,Aetna Better Health / San Diego,34109.0,False
2023-01-01,San Diego ,Geographic Managed Care,Medical,Blue Shield of California Promise,Blue Shield of California Promise/San Diego,139075.0,False
2023-01-01,San Diego ,Geographic Managed Care,Medical,Comm Hlth Grp,Comm Hlth Grp/San Diego,349113.0,False
2023-01-01,San Diego ,Geographic Managed Care,Medical,Health Net Community Solutions,Health Net/San Diego,97240.0,False
2023-01-01,San Diego ,Geographic Managed Care,Medical,Kaiser,Kaiser/San Diego,70499.0,False
2023-01-01,San Diego ,Geographic Managed Care,Medical,Molina Healthcare of California,Molina Healthcare of California/San Diego,255746.0,False
2023-01-01,San Diego ,PACE,PACE,Family Health Centers,Family Health Centers/San Diego,249.0,False
2023-01-01,San Diego ,PACE,PACE,Gary and Mary West PACE of Northern San Diego,Gary and Mary West PACE of Northern San Diego,308.0,False
2023-01-01,San Diego ,PACE,PACE,San Diego PACE,San Diego PACE/San Diego,2346.0,False
2023-01-01,San Diego ,PACE,PACE,St. Paul's PACE,St. Paul's PACE,1312.0,False
2023-01-01,San Diego ,SCAN,Medical,SCAN Health Plan,SCAN Hlth Plan/San Diego,1248.0,False
2023-01-01,San Francisco,Commercial Plan (2 Plan),Medical,Anthem Blue Cross Partnership Plan,Anthem Blue Cross Partnership Plan/SF,28378.0,False
2023-01-01,San Francisco,Local Initiative (2 Plan),Medical,San Francisco Hlth Plan,San Francisco Hlth Plan,171912.0,False
2023-01-01,San Francisco,PACE,PACE,North East Medical Services PACE,North East Medical Services PACE,92.0,False
2023-01-01,San Francisco,PACE,PACE,OnLok Senior Hlth dba OnLok Lifeways,OnLok Senior Hlth dba OnLok Lifeways/San Fran,1037.0,False
2023-01-01,San Francisco,Special Project,Medical,Family Mosaic Prj,Family Mosaic Prj / SF,,True
2023-01-01,San Joaquin,Commercial Plan (2 Plan),Medical,Health Net Community Solutions,Health Net/San Joaquin,26947.0,False
2023-01-01,San Joaquin,Local Initiative (2 Plan),Medical,Hlth Plan of San Joaquin,Hlth Plan of San Joaquin,261536.0,False
2023-01-01,San Joaquin,PACE,PACE,Central PACE San Joaquin,Central PACE San Joaquin,,True
2023-01-01,San Joaquin,PACE,PACE,Stockton PACE,Stockton PACE/San Joaquin,469.0,False
2023-01-01,San Luis Obispo,County Organized Health Systems,Medical,CenCal - San Luis Obispo,CenCal - San Luis Obispo,68635.0,False
2023-01-01,San Mateo,County Organized Health Systems,Medical,Health Plan of San Mateo,Hlth Plan of San Mateo,149035.0,False
2023-01-01,Santa Barbara,County Organized Health Systems,Medical,CenCal - Santa Barbara,CenCal - Santa Barbara,161338.0,False
2023-01-01,Santa Clara,Commercial Plan (2 Plan),Medical,Anthem Blue Cross Partnership Plan,Anthem Blue Cross Partnership Plan/SC,90507.0,False
2023-01-01,Santa Clara,Local Initiative (2 Plan),Medical,Santa Clara Family Hlth,Santa Clara Family Hlth,324549.0,False
2023-01-01,Santa Clara,PACE,PACE,OnLok Lifeways,OnLok Lifeways,393.0,False
2023-01-01,Santa Cruz,County Organized Health Systems,Medical,Central California Alliance for Health,Central California Alliance for Health/Santa Cruz,80950.0,False
2023-01-01,Shasta,County Organized Health Systems,Medical,Partnership HealthPlan of California,Partnership HealthPlan of CA/Shasta,72075.0,False
2023-01-01,Sierra,Regional Model,Medical,Anthem Blue Cross Partnership Plan,Anthem Blue Cross Partnership Plan/Sierra,385.0,False
2023-01-01,Sierra,Regional Model,Medical,California Health & Wellness,California Health & Wellness/Sierra,277.0,False
2023-01-01,Siskiyou,County Organized Health Systems,Medical,Partnership HealthPlan of California,Partnership HealthPlan of CA/Siskiyou,19673.0,False
2023-01-01,Solano,County Organized Health Systems,Medical,Partnership HP of CA,Partnership HP of CA/Solano,138520.0,False
2023-01-01,Sonoma,County Organized Health Systems,Medical,Partnership HealthPlan of California,Partnership HealthPlan of CA/Sonoma,131872.0,False
2023-01-01,Stanislaus,Commercial Plan (2 Plan),Medical,Health Net Community Solutions,Health Net/Stanislaus,67920.0,False
