2024 Data View: Medicare Report Card Master Table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONTRACT_ID,Organization Type,Contract Name,Organization Marketing Name,Parent Organization,"HD1: Staying Healthy: Screenings, Tests and Vaccines",,,,HD2: Managing Chronic (Long Term) Conditions,,,,,,,,,,,,,,HD3: Member Experience with Health Plan,,,,,,HD4: Member Complaints and Changes in the Health Plan's Performance,,,HD5: Health Plan Customer Service,,,DD1: Drug Plan Customer Service,DD2: Member Complaints and Changes in the Drug Plan’s Performance,,,DD3: Member Experience with the Drug Plan,,DD4: Drug Safety and Accuracy of Drug Pricing,,,,,
H0104 ,Local CCP ,BLUE CROSS AND BLUE SHIELD OF ALABAMA ,Blue Cross and Blue Shield of Alabama ,BlueCross BlueShield of Alabama ,75%,72%,71%,48%,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,35%,76%,88%,75%,50%,47%,88%,11%,81%,72%,52%,85,76,92,87,90,86,0.04,5%,Medicare shows only a Star Rating for this topic ,100%,98%,97%,98%,0.04,5%,Medicare shows only a Star Rating for this topic ,86,91,98,83%,88%,85%,81%,82%
H0107 ,Local CCP ,HEALTH CARE SERVICE CORPORATION ,Blue Cross and Blue Shield of Montana ,Health Care Service Corporation ,76%,76%,77%,48%,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,22%,74%,82%,75%,50%,47%,73%,9%,82%,66%,55%,82,77,90,86,86,87,0.1,6%,Medicare shows only a Star Rating for this topic ,98%,88%,98%,97%,0.1,6%,Medicare shows only a Star Rating for this topic ,84,88,98,86%,88%,87%,91%,84%
H0111 ,Local CCP ,"WELLCARE OF GEORGIA, INC. ",Wellcare ,Centene Corporation ,70%,57%,66%,47%,64%,85%,85%,29%,55%,66%,54%,56%,Not enough data available ,35%,10%,82%,36%,53%,81,76,89,84,85,85,0.72,42%,Medicare shows only a Star Rating for this topic ,50%,79%,98%,100%,0.72,42%,Medicare shows only a Star Rating for this topic ,87,89,98,82%,86%,85%,84%,81%
H0137 ,Demo ,"COMMONWEALTH CARE ALLIANCE, INC. ",Commonwealth Care Alliance Massachusetts ,"Commonwealth Care Alliance, Inc. ",No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available
H0154 ,Local CCP ,"VIVA HEALTH, INC. ",VIVA Medicare ,"Triton Health Systems, L.L.C. ",76%,79%,67%,48%,89%,96%,96%,66%,83%,87%,82%,58%,46%,87%,10%,83%,78%,54%,86,78,94,88,93,86,0.06,8%,Medicare shows only a Star Rating for this topic ,99%,96%,95%,97%,0.06,8%,Medicare shows only a Star Rating for this topic ,91,94,99,85%,88%,87%,89%,85%
H0169 ,Local CCP ,"UNITEDHEALTHCARE OF WISCONSIN, INC. ",UnitedHealthcare ,"UnitedHealth Group, Inc. ",70%,78%,69%,44%,79%,95%,96%,44%,79%,81%,81%,66%,44%,69%,12%,85%,50%,59%,84,82,90,88,90,88,0.1,15%,Medicare shows only a Star Rating for this topic ,98%,98%,98%,98%,0.1,15%,Medicare shows only a Star Rating for this topic ,91,93,98,88%,88%,89%,87%,86%
H0174 ,Local CCP ,"WELLCARE OF TEXAS, INC. ",Wellcare ,Centene Corporation ,69%,55%,74%,54%,61%,87%,89%,28%,67%,70%,66%,65%,Not enough data available ,45%,10%,85%,35%,48%,78,75,88,86,87,84,0.71,26%,Medicare shows only a Star Rating for this topic ,67%,96%,97%,100%,0.71,26%,Medicare shows only a Star Rating for this topic ,89,89,98,84%,85%,83%,90%,89%
H0192 ,Demo ,"AMERIHEALTH MICHIGAN, INC. ",AmeriHealth Caritas VIP Care Plus ,"Independence Health Group, Inc. ",No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available
H0251 ,Local CCP ,"UNITEDHEALTHCARE PLAN OF THE RIVER VALLEY, INC. ",UnitedHealthcare ,"UnitedHealth Group, Inc. ",63%,74%,60%,38%,76%,95%,96%,46%,81%,81%,72%,65%,39%,58%,13%,85%,40%,53%,83,79,93,88,94,86,0.12,9%,Medicare shows only a Star Rating for this topic ,96%,98%,Not enough data available ,Not enough data available ,0.12,9%,Medicare shows only a Star Rating for this topic ,92,94,98,83%,84%,84%,86%,85%
H0270 ,Local CCP ,WELLCARE HEALTH INSURANCE COMPANY OF AMERICA ,Wellcare ,Centene Corporation ,57%,62%,57%,42%,61%,91%,90%,Not enough data available ,68%,66%,60%,Not enough data available ,Not enough data available ,42%,No data available ,Not enough data available ,38%,55%,81,74,88,86,86,86,1.34,49%,Not enough data available ,Not enough data available ,Not enough data available ,97%,100%,1.34,49%,Medicare shows only a Star Rating for this topic ,85,90,98,89%,82%,81%,87%,89%
