Rating Period,Calendar Year,Model,County,Health Plan,Brand,Category of Aid,Lower Bound,Midpoint,Upper Bound
01/21-12/21,2021,GMC,Sacramento,Health Net of California,Health Net,Health Homes Dual,78.7,82.03,85.69
01/21-12/21,2021,GMC,San Diego,Health Net of California,Health Net,Adult,204.84,211.05,217.57
01/21-12/21,2021,GMC,San Diego,Health Net of California,Health Net,Behavioral Health Treatment 0-6,2517.31,2588.08,2661.42
01/21-12/21,2021,GMC,San Diego,Health Net of California,Health Net,Behavioral Health Treatment 7-20,2164.58,2225.44,2288.5
01/21-12/21,2021,GMC,San Diego,Health Net of California,Health Net,Child,83.9,87.37,91.04
01/21-12/21,2021,GMC,San Diego,Health Net of California,Health Net,Maternity,7512.15,7742.39,7981.33
01/21-12/21,2021,GMC,San Diego,Health Net of California,Health Net,Adult Expansion,260.49,267.93,275.72
01/21-12/21,2021,GMC,San Diego,Health Net of California,Health Net,SPD,679.27,696.13,713.72
01/21-12/21,2021,GMC,San Diego,Health Net of California,Health Net,SPD Dual,124.25,128.53,133.02
01/21-12/21,2021,GMC,San Diego,Health Net of California,Health Net,Health Homes Non-Dual,417.56,423.1,444.38
01/21-12/21,2021,GMC,San Diego,Health Net of California,Health Net,Health Homes Dual,121.06,125.88,131.16
01/21-12/21,2021,GMC,Sacramento,Health Net of California,Health Net,Hep C Non-340B,2184.11,2184.11,2285.16
01/21-12/21,2021,GMC,Sacramento,Health Net of California,Health Net,Hep C 340B,1722.85,1722.85,1759.31
01/21-12/21,2021,GMC,San Diego,Health Net of California,Health Net,Hep C Non-340B,2184.11,2184.11,2285.16
01/21-12/21,2021,GMC,San Diego,Health Net of California,Health Net,Hep C 340B,1722.85,1722.85,1759.31
01/21-12/21,2021,GMC,Sacramento,Kaiser Foundation Health Plan,Kaiser Permanente,Adult,298.5,307.87,317.7
01/21-12/21,2021,GMC,Sacramento,Kaiser Foundation Health Plan,Kaiser Permanente,Behavioral Health Treatment 0-6,4764.97,4898.95,5037.76
01/21-12/21,2021,GMC,Sacramento,Kaiser Foundation Health Plan,Kaiser Permanente,Behavioral Health Treatment 7-20,2313.98,2379.04,2446.45
01/21-12/21,2021,GMC,Sacramento,Kaiser Foundation Health Plan,Kaiser Permanente,Child,79.18,82.67,86.37
01/21-12/21,2021,GMC,Sacramento,Kaiser Foundation Health Plan,Kaiser Permanente,Maternity,8990.4,9265.88,9551.78
01/21-12/21,2021,GMC,Sacramento,Kaiser Foundation Health Plan,Kaiser Permanente,Adult Expansion,356.1,366.71,377.82
01/21-12/21,2021,GMC,Sacramento,Kaiser Foundation Health Plan,Kaiser Permanente,SPD,744.23,763.87,784.37
01/21-12/21,2021,GMC,Sacramento,Kaiser Foundation Health Plan,Kaiser Permanente,SPD Dual,126.2,130.94,135.94
01/21-12/21,2021,GMC,Sacramento,Kaiser Foundation Health Plan,Kaiser Permanente,Health Homes Non-Dual,332.14,336.87,352.93
01/21-12/21,2021,GMC,Sacramento,Kaiser Foundation Health Plan,Kaiser Permanente,Health Homes Dual,81.47,84.68,88.2
01/21-12/21,2021,GMC,San Diego,Kaiser Foundation Health Plan,Kaiser Permanente,Adult,294.97,303.78,313.03
01/21-12/21,2021,GMC,San Diego,Kaiser Foundation Health Plan,Kaiser Permanente,Behavioral Health Treatment 0-6,2996.98,3081.25,3168.56
01/21-12/21,2021,GMC,San Diego,Kaiser Foundation Health Plan,Kaiser Permanente,Behavioral Health Treatment 7-20,2079.82,2138.3,2198.89
01/21-12/21,2021,GMC,San Diego,Kaiser Foundation Health Plan,Kaiser Permanente,Child,89.96,93.75,97.76
01/21-12/21,2021,GMC,San Diego,Kaiser Foundation Health Plan,Kaiser Permanente,Maternity,7512.15,7742.39,7981.33
01/21-12/21,2021,GMC,San Diego,Kaiser Foundation Health Plan,Kaiser Permanente,Adult Expansion,364.75,375.02,385.77
01/21-12/21,2021,GMC,San Diego,Kaiser Foundation Health Plan,Kaiser Permanente,SPD,775.51,794.61,814.54
01/21-12/21,2021,GMC,San Diego,Kaiser Foundation Health Plan,Kaiser Permanente,SPD Dual,121.49,126.03,130.82
01/21-12/21,2021,GMC,San Diego,Kaiser Foundation Health Plan,Kaiser Permanente,Health Homes Non-Dual,435.56,441.22,463.58
01/21-12/21,2021,GMC,San Diego,Kaiser Foundation Health Plan,Kaiser Permanente,Health Homes Dual,120.71,125.65,131.07
01/21-12/21,2021,GMC,Sacramento,Kaiser Foundation Health Plan,Kaiser Permanente,Hep C Non-340B,2184.11,2184.11,2285.16
01/21-12/21,2021,GMC,Sacramento,Kaiser Foundation Health Plan,Kaiser Permanente,Hep C 340B,1722.85,1722.85,1759.31
01/21-12/21,2021,GMC,San Diego,Kaiser Foundation Health Plan,Kaiser Permanente,Hep C Non-340B,2184.11,2184.11,2285.16
01/21-12/21,2021,GMC,San Diego,Kaiser Foundation Health Plan,Kaiser Permanente,Hep C 340B,1722.85,1722.85,1759.31
01/21-12/21,2021,GMC,Sacramento,Molina Healthcare,Molina Healthcare,Adult,253.47,261.61,270.16
01/21-12/21,2021,GMC,Sacramento,Molina Healthcare,Molina Healthcare,Behavioral Health Treatment 0-6,3272.86,3364.89,3460.23
01/21-12/21,2021,GMC,Sacramento,Molina Healthcare,Molina Healthcare,Behavioral Health Treatment 7-20,2302.2,2366.93,2434.0
01/21-12/21,2021,GMC,Sacramento,Molina Healthcare,Molina Healthcare,Child,71.74,74.99,78.44
01/21-12/21,2021,GMC,Sacramento,Molina Healthcare,Molina Healthcare,Maternity,8990.4,9265.88,9551.78
01/21-12/21,2021,GMC,Sacramento,Molina Healthcare,Molina Healthcare,Adult Expansion,319.57,329.25,339.4
01/21-12/21,2021,GMC,Sacramento,Molina Healthcare,Molina Healthcare,SPD,892.81,916.64,941.51
01/21-12/21,2021,GMC,Sacramento,Molina Healthcare,Molina Healthcare,SPD Dual,146.3,151.87,157.74
01/21-12/21,2021,GMC,Sacramento,Molina Healthcare,Molina Healthcare,Health Homes Non-Dual,350.48,355.22,372.91
01/21-12/21,2021,GMC,Sacramento,Molina Healthcare,Molina Healthcare,Health Homes Dual,87.42,90.9,94.71
01/21-12/21,2021,GMC,San Diego,Molina Healthcare,Molina Healthcare,Adult,264.76,272.79,281.21
01/21-12/21,2021,GMC,San Diego,Molina Healthcare,Molina Healthcare,Behavioral Health Treatment 0-6,2256.25,2319.68,2385.41
01/21-12/21,2021,GMC,San Diego,Molina Healthcare,Molina Healthcare,Behavioral Health Treatment 7-20,1972.8,2028.27,2085.74
01/21-12/21,2021,GMC,San Diego,Molina Healthcare,Molina Healthcare,Child,81.44,84.92,88.61
01/21-12/21,2021,GMC,San Diego,Molina Healthcare,Molina Healthcare,Maternity,7512.15,7742.39,7981.33
01/21-12/21,2021,GMC,San Diego,Molina Healthcare,Molina Healthcare,Adult Expansion,341.48,351.19,361.37
01/21-12/21,2021,GMC,San Diego,Molina Healthcare,Molina Healthcare,SPD,979.45,1003.64,1028.88
01/21-12/21,2021,GMC,San Diego,Molina Healthcare,Molina Healthcare,SPD Dual,145.55,150.88,156.49
01/21-12/21,2021,GMC,San Diego,Molina Healthcare,Molina Healthcare,Health Homes Non-Dual,422.89,428.52,449.97
01/21-12/21,2021,GMC,San Diego,Molina Healthcare,Molina Healthcare,Health Homes Dual,128.32,133.48,139.13
01/21-12/21,2021,GMC,Sacramento,Molina Healthcare,Molina Healthcare,Hep C Non-340B,2184.11,2184.11,2285.16
01/21-12/21,2021,GMC,Sacramento,Molina Healthcare,Molina Healthcare,Hep C 340B,1722.85,1722.85,1759.31
01/21-12/21,2021,GMC,San Diego,Molina Healthcare,Molina Healthcare,Hep C Non-340B,2184.11,2184.11,2285.16
01/21-12/21,2021,GMC,San Diego,Molina Healthcare,Molina Healthcare,Hep C 340B,1722.85,1722.85,1759.31
01/21-12/21,2021,GMC,San Diego,United Healthcare,UnitedHealthcare,Behavioral Health Treatment 0-6,2440.65,2509.28,2580.38
01/21-12/21,2021,GMC,San Diego,United Healthcare,UnitedHealthcare,Behavioral Health Treatment 7-20,1973.57,2029.06,2086.55
01/21-12/21,2021,GMC,San Diego,United Healthcare,UnitedHealthcare,Hep C Non-340B,2184.11,2184.11,2285.16
01/21-12/21,2021,GMC,San Diego,United Healthcare,UnitedHealthcare,Hep C 340B,1722.85,1722.85,1759.31
01/21-12/21,2021,GMC,San Diego,United Healthcare,UnitedHealthcare,Adult,266.87,274.98,283.5
01/21-12/21,2021,GMC,San Diego,United Healthcare,UnitedHealthcare,Child,82.74,86.36,90.21
01/21-12/21,2021,GMC,San Diego,United Healthcare,UnitedHealthcare,Maternity,7512.15,7742.39,7981.33
01/21-12/21,2021,GMC,San Diego,United Healthcare,UnitedHealthcare,Adult Expansion,344.51,354.33,364.62
01/21-12/21,2021,GMC,San Diego,United Healthcare,UnitedHealthcare,SPD,946.74,970.05,994.38
01/21-12/21,2021,GMC,San Diego,United Healthcare,UnitedHealthcare,SPD Dual,138.56,143.74,149.2
01/21-12/21,2021,GMC,San Diego,United Healthcare,UnitedHealthcare,Health Homes Non-Dual,413.17,418.63,439.92
01/21-12/21,2021,GMC,San Diego,United Healthcare,UnitedHealthcare,Health Homes Dual,122.49,127.41,132.81
01/21-12/21,2021,GMC,San Diego,Blue Shield Promise Health Plan of California,Blue Shield Promise,Adult,238.06,245.37,253.04
01/21-12/21,2021,GMC,San Diego,Blue Shield Promise Health Plan of California,Blue Shield Promise,Child,79.93,83.42,87.13
01/21-12/21,2021,GMC,San Diego,Blue Shield Promise Health Plan of California,Blue Shield Promise,Maternity,7512.15,7742.39,7981.33
01/21-12/21,2021,GMC,San Diego,Blue Shield Promise Health Plan of California,Blue Shield Promise,Adult Expansion,343.21,353.08,363.41
01/21-12/21,2021,GMC,San Diego,Blue Shield Promise Health Plan of California,Blue Shield Promise,SPD,959.99,983.95,1008.96
01/21-12/21,2021,GMC,San Diego,Blue Shield Promise Health Plan of California,Blue Shield Promise,SPD Dual,149.68,155.33,161.28
01/21-12/21,2021,GMC,San Diego,Blue Shield Promise Health Plan of California,Blue Shield Promise,Hep C 340B,1722.85,1722.85,1759.31
01/21-12/21,2021,GMC,San Diego,Blue Shield Promise Health Plan of California,Blue Shield Promise,Hep C Non-340B,2184.11,2184.11,2285.16
01/21-12/21,2021,GMC,San Diego,Blue Shield Promise Health Plan of California,Blue Shield Promise,Behavioral Health Treatment 0-6,2543.37,2614.88,2688.97
01/21-12/21,2021,GMC,San Diego,Blue Shield Promise Health Plan of California,Blue Shield Promise,Behavioral Health Treatment 7-20,2009.65,2066.15,2124.69
01/21-12/21,2021,GMC,San Diego,Community Health Group,Community Health Group,Hep C Non-340B,2184.11,2184.11,2285.16
01/21-12/21,2021,GMC,San Diego,Community Health Group,Community Health Group,Hep C 340B,1722.85,1722.85,1759.31
01/21-12/21,2021,GMC,San Diego,Community Health Group,Community Health Group,Behavioral Health Treatment 0-6,2223.19,2285.7,2350.47
01/21-12/21,2021,GMC,San Diego,Community Health Group,Community Health Group,Behavioral Health Treatment 7-20,1843.32,1895.15,1948.85
01/21-12/21,2021,GMC,San Diego,Blue Shield Promise Health Plan of California,Blue Shield Promise,Health Homes Non-Dual,419.15,424.48,446.88
01/21-12/21,2021,GMC,San Diego,Blue Shield Promise Health Plan of California,Blue Shield Promise,Health Homes Dual,112.64,117.51,122.87
1/22-12/22,2022,GMC,Sacramento,Anthem Blue Cross,Anthem Blue Cross,Child,75.64,79.34,83.26
1/22-12/22,2022,GMC,Sacramento,Anthem Blue Cross,Anthem Blue Cross,Adult,248.99,258.08,267.63
1/22-12/22,2022,GMC,Sacramento,Anthem Blue Cross,Anthem Blue Cross,ACA Optional Expansion,294.47,304.88,315.79
1/22-12/22,2022,GMC,Sacramento,Anthem Blue Cross,Anthem Blue Cross,SPD,768.25,793.05,818.95
1/22-12/22,2022,GMC,Sacramento,Anthem Blue Cross,Anthem Blue Cross,SPD/Full-Dual,172.83,179.17,185.84
1/22-12/22,2022,GMC,Sacramento,Anthem Blue Cross,Anthem Blue Cross,Maternity,9633.29,9929.33,10236.61
1/22-12/22,2022,GMC,Sacramento,Anthem Blue Cross,Anthem Blue Cross,Behavioral Health Treatment 0-6,4623.0,4777.13,4937.39
1/22-12/22,2022,GMC,Sacramento,Anthem Blue Cross,Anthem Blue Cross,Behavioral Health Treatment 7-20,2498.51,2581.81,2668.42
1/22-12/22,2022,GMC,Sacramento,Health Net of California,Health Net,Child,73.03,76.62,80.43
