Rating Period,Calendar Year,Model,County,Health Plan,Brand,Category of Aid,Lower Bound,Midpoint,Upper Bound,AWOP
01/2023-12/2023,2023,PACE,Sacramento,InnovAge,InnovAge,Full-Dual - UIS Federally Eligible,183.51,192.4,202.06,216.06
01/2023-12/2023,2023,PACE,Sacramento,InnovAge,InnovAge,Non-Dual - UIS Federally Eligible,1356.13,1423.52,1496.77,1643.55
01/2023-12/2023,2023,PACE,Sacramento,InnovAge,InnovAge,Full-Dual - UIS State-Only,5933.54,6220.91,6533.14,6981.37
01/2023-12/2023,2023,PACE,Sacramento,InnovAge,InnovAge,Non-Dual - UIS State-Only,7684.71,8066.63,8481.68,9153.5
01/2023-12/2023,2023,PACE,Sacramento,InnovAge,InnovAge,Full-Dual - SIS,5097.54,5344.42,5612.67,6004.63
01/2023-12/2023,2023,PACE,Sacramento,InnovAge,InnovAge,Non-Dual - SIS,7848.99,8239.07,8662.99,9434.07
01/2023-12/2023,2023,PACE,Fresno,Sequoia,Sequoia,Full-Dual - UIS Federally Eligible,165.42,173.36,181.99,191.89
01/2023-12/2023,2023,PACE,Fresno,Sequoia,Sequoia,Non-Dual - UIS Federally Eligible,1169.83,1227.97,1291.15,1582.74
01/2023-12/2023,2023,PACE,Fresno,Sequoia,Sequoia,Full-Dual - UIS State-Only,5348.51,5605.26,5884.23,6207.61
01/2023-12/2023,2023,PACE,Fresno,Sequoia,Sequoia,Non-Dual - UIS State-Only,6629.02,6958.48,7316.52,8872.41
01/2023-12/2023,2023,PACE,Fresno,Sequoia,Sequoia,Full-Dual - SIS,4580.48,4800.37,5039.27,5332.02
01/2023-12/2023,2023,PACE,Fresno,Sequoia,Sequoia,Non-Dual - SIS,6780.19,7117.16,7483.36,8985.69
01/2023-12/2023,2023,PACE,Kings,Sequoia,Sequoia,Full-Dual - UIS Federally Eligible,165.42,173.36,181.99,191.89
01/2023-12/2023,2023,PACE,Kings,Sequoia,Sequoia,Non-Dual - UIS Federally Eligible,1169.83,1227.97,1291.15,1582.74
01/2023-12/2023,2023,PACE,Kings,Sequoia,Sequoia,Full-Dual - UIS State-Only,5348.51,5605.26,5884.23,6207.61
01/2023-12/2023,2023,PACE,Kings,Sequoia,Sequoia,Non-Dual - UIS State-Only,6629.02,6958.48,7316.52,8872.41
01/2023-12/2023,2023,PACE,Kings,Sequoia,Sequoia,Full-Dual - SIS,4580.48,4800.37,5039.27,5332.02
01/2023-12/2023,2023,PACE,Kings,Sequoia,Sequoia,Non-Dual - SIS,6780.19,7117.16,7483.36,8985.69
01/2023-12/2023,2023,PACE,Madera,Sequoia,Sequoia,Full-Dual - UIS Federally Eligible,165.42,173.36,181.99,191.89
01/2023-12/2023,2023,PACE,Madera,Sequoia,Sequoia,Non-Dual - UIS Federally Eligible,1169.83,1227.97,1291.15,1582.74
01/2023-12/2023,2023,PACE,Madera,Sequoia,Sequoia,Full-Dual - UIS State-Only,5348.51,5605.26,5884.23,6207.61
01/2023-12/2023,2023,PACE,Madera,Sequoia,Sequoia,Non-Dual - UIS State-Only,6629.02,6958.48,7316.52,8872.41
01/2023-12/2023,2023,PACE,Madera,Sequoia,Sequoia,Full-Dual - SIS,4580.48,4800.37,5039.27,5332.02
01/2023-12/2023,2023,PACE,Madera,Sequoia,Sequoia,Non-Dual - SIS,6780.19,7117.16,7483.36,8985.69
01/2023-12/2023,2023,PACE,Tulare,Sequoia,Sequoia,Full-Dual - UIS Federally Eligible,165.42,173.36,181.99,191.89
01/2023-12/2023,2023,PACE,Tulare,Sequoia,Sequoia,Non-Dual - UIS Federally Eligible,1169.83,1227.97,1291.15,1582.74
01/2023-12/2023,2023,PACE,Tulare,Sequoia,Sequoia,Full-Dual - UIS State-Only,5348.51,5605.26,5884.23,6207.61
01/2023-12/2023,2023,PACE,Tulare,Sequoia,Sequoia,Non-Dual - UIS State-Only,6629.02,6958.48,7316.52,8872.41
01/2023-12/2023,2023,PACE,Tulare,Sequoia,Sequoia,Full-Dual - SIS,4580.48,4800.37,5039.27,5332.02
01/2023-12/2023,2023,PACE,Tulare,Sequoia,Sequoia,Non-Dual - SIS,6780.19,7117.16,7483.36,8985.69
01/2023-12/2023,2023,PACE,San Francisco,North East Medical Services,North East Medical Services,Full-Dual - UIS Federally Eligible,298.94,312.94,328.15,310.59
01/2023-12/2023,2023,PACE,San Francisco,North East Medical Services,North East Medical Services,Non-Dual - UIS Federally Eligible,1585.5,1663.46,1748.17,2287.82
01/2023-12/2023,2023,PACE,San Francisco,North East Medical Services,North East Medical Services,Full-Dual - UIS State-Only,9665.86,10118.49,10610.2,10034.55
01/2023-12/2023,2023,PACE,San Francisco,North East Medical Services,North East Medical Services,Non-Dual - UIS State-Only,8984.53,9426.29,9906.32,12419.82
01/2023-12/2023,2023,PACE,San Francisco,North East Medical Services,North East Medical Services,Full-Dual - SIS,8304.01,8692.86,9115.29,8622.89
01/2023-12/2023,2023,PACE,San Francisco,North East Medical Services,North East Medical Services,Non-Dual - SIS,8953.63,9393.86,9872.25,13106.31
01/2023-12/2023,2023,PACE,Orange,AltaMed Senior Care,AltaMed Senior Care,Full-Dual - UIS Federally Eligible,145.76,152.77,160.4,223.12
01/2023-12/2023,2023,PACE,Orange,AltaMed Senior Care,AltaMed Senior Care,Non-Dual - UIS Federally Eligible,1194.42,1253.74,1318.2,1796.36
01/2023-12/2023,2023,PACE,Orange,AltaMed Senior Care,AltaMed Senior Care,Full-Dual - UIS State-Only,4712.86,4939.69,5186.15,7207.44
01/2023-12/2023,2023,PACE,Orange,AltaMed Senior Care,AltaMed Senior Care,Non-Dual - UIS State-Only,6768.4,7104.54,7469.83,10064.63
01/2023-12/2023,2023,PACE,Orange,AltaMed Senior Care,AltaMed Senior Care,Full-Dual - SIS,4046.47,4241.23,4452.84,6195.46
01/2023-12/2023,2023,PACE,Orange,AltaMed Senior Care,AltaMed Senior Care,Non-Dual - SIS,6658.62,6989.31,7348.67,10203.75
01/2023-12/2023,2023,PACE,San Bernardino,Neighborhood Healthcare,Neighborhood Healthcare,Full-Dual - UIS Federally Eligible,142.32,149.34,156.95,192.0
01/2023-12/2023,2023,PACE,San Bernardino,Neighborhood Healthcare,Neighborhood Healthcare,Non-Dual - UIS Federally Eligible,1246.77,1309.31,1377.28,1731.96
01/2023-12/2023,2023,PACE,San Bernardino,Neighborhood Healthcare,Neighborhood Healthcare,Full-Dual - UIS State-Only,4601.83,4828.51,5074.83,6208.73
01/2023-12/2023,2023,PACE,San Bernardino,Neighborhood Healthcare,Neighborhood Healthcare,Non-Dual - UIS State-Only,7065.05,7419.43,7804.57,9708.95
01/2023-12/2023,2023,PACE,San Bernardino,Neighborhood Healthcare,Neighborhood Healthcare,Full-Dual - SIS,3953.46,4148.21,4359.82,5331.72
01/2023-12/2023,2023,PACE,San Bernardino,Neighborhood Healthcare,Neighborhood Healthcare,Non-Dual - SIS,7227.67,7590.21,7984.21,9837.06
01/2023-12/2023,2023,PACE,Riverside,Neighborhood Healthcare,Neighborhood Healthcare,Full-Dual - UIS Federally Eligible,142.32,149.34,156.95,192.0
01/2023-12/2023,2023,PACE,Riverside,Neighborhood Healthcare,Neighborhood Healthcare,Non-Dual - UIS Federally Eligible,1246.77,1309.31,1377.28,1731.96
01/2023-12/2023,2023,PACE,Riverside,Neighborhood Healthcare,Neighborhood Healthcare,Full-Dual - UIS State-Only,4601.83,4828.51,5074.83,6208.73
01/2023-12/2023,2023,PACE,Riverside,Neighborhood Healthcare,Neighborhood Healthcare,Non-Dual - UIS State-Only,7065.05,7419.43,7804.57,9708.95
01/2023-12/2023,2023,PACE,Riverside,Neighborhood Healthcare,Neighborhood Healthcare,Full-Dual - SIS,3953.46,4148.21,4359.82,5331.72
01/2023-12/2023,2023,PACE,Riverside,Neighborhood Healthcare,Neighborhood Healthcare,Non-Dual - SIS,7227.67,7590.21,7984.21,9837.06
01/2023-12/2023,2023,PACE,Orange,Innovative Integrated Health,Innovative Integrated Health,Full-Dual - UIS Federally Eligible,150.81,158.1,166.01,223.12
01/2023-12/2023,2023,PACE,Orange,Innovative Integrated Health,Innovative Integrated Health,Non-Dual - UIS Federally Eligible,1311.83,1377.39,1448.64,1796.36
01/2023-12/2023,2023,PACE,Orange,Innovative Integrated Health,Innovative Integrated Health,Full-Dual - UIS State-Only,4876.14,5111.75,5367.74,7207.44
01/2023-12/2023,2023,PACE,Orange,Innovative Integrated Health,Innovative Integrated Health,Non-Dual - UIS State-Only,7433.69,7805.2,8208.93,10064.63
01/2023-12/2023,2023,PACE,Orange,Innovative Integrated Health,Innovative Integrated Health,Full-Dual - SIS,4189.13,4391.53,4611.46,6195.46
01/2023-12/2023,2023,PACE,Orange,Innovative Integrated Health,Innovative Integrated Health,Non-Dual - SIS,7604.8,7984.85,8397.89,10203.75
01/2023-12/2023,2023,PACE,Los Angeles,ConcertoHealth PACE,ConcertoHealth PACE,Full-Dual - UIS Federally Eligible,193.72,203.0,213.09,227.95
01/2023-12/2023,2023,PACE,Los Angeles,ConcertoHealth PACE,ConcertoHealth PACE,Non-Dual - UIS Federally Eligible,1376.21,1444.38,1518.47,1652.34
01/2023-12/2023,2023,PACE,Los Angeles,ConcertoHealth PACE,ConcertoHealth PACE,Full-Dual - UIS State-Only,6263.59,6563.72,6889.81,7365.24
01/2023-12/2023,2023,PACE,Los Angeles,ConcertoHealth PACE,ConcertoHealth PACE,Non-Dual - UIS State-Only,7798.53,8184.85,8604.65,9245.23
01/2023-12/2023,2023,PACE,Los Angeles,ConcertoHealth PACE,ConcertoHealth PACE,Full-Dual - SIS,5381.09,5638.94,5919.08,6329.53
01/2023-12/2023,2023,PACE,Los Angeles,ConcertoHealth PACE,ConcertoHealth PACE,Non-Dual - SIS,7978.04,8373.24,8802.71,9373.82
01/2023-12/2023,2023,PACE,Napa,Providence PACE,Providence PACE,Full-Dual - UIS Federally Eligible,180.99,189.79,199.35,242.68
01/2023-12/2023,2023,PACE,Napa,Providence PACE,Providence PACE,Non-Dual - UIS Federally Eligible,1321.21,1387.0,1458.49,2023.2
01/2023-12/2023,2023,PACE,Napa,Providence PACE,Providence PACE,Full-Dual - UIS State-Only,5852.0,6136.51,6445.66,7844.85
01/2023-12/2023,2023,PACE,Napa,Providence PACE,Providence PACE,Non-Dual - UIS State-Only,7486.87,7859.67,8264.8,11347.31
01/2023-12/2023,2023,PACE,Napa,Providence PACE,Providence PACE,Full-Dual - SIS,5027.49,5271.92,5537.51,6738.24
01/2023-12/2023,2023,PACE,Napa,Providence PACE,Providence PACE,Non-Dual - SIS,7659.21,8040.58,8455.04,11491.2
01/2023-12/2023,2023,PACE,Solano,Providence PACE,Providence PACE,Full-Dual - UIS Federally Eligible,180.99,189.79,199.35,242.68
01/2023-12/2023,2023,PACE,Solano,Providence PACE,Providence PACE,Non-Dual - UIS Federally Eligible,1321.21,1387.0,1458.49,2023.2
01/2023-12/2023,2023,PACE,Solano,Providence PACE,Providence PACE,Full-Dual - UIS State-Only,5852.0,6136.51,6445.66,7844.85
01/2023-12/2023,2023,PACE,Solano,Providence PACE,Providence PACE,Non-Dual - UIS State-Only,7486.87,7859.67,8264.8,11347.31
01/2023-12/2023,2023,PACE,Solano,Providence PACE,Providence PACE,Full-Dual - SIS,5027.49,5271.92,5537.51,6738.24
01/2023-12/2023,2023,PACE,Solano,Providence PACE,Providence PACE,Non-Dual - SIS,7659.21,8040.58,8455.04,11491.2
01/2023-12/2023,2023,PACE,Sonoma,Providence PACE,Providence PACE,Full-Dual - UIS Federally Eligible,180.99,189.79,199.35,242.68
01/2023-12/2023,2023,PACE,Sonoma,Providence PACE,Providence PACE,Non-Dual - UIS Federally Eligible,1321.21,1387.0,1458.49,2023.2
01/2023-12/2023,2023,PACE,Sonoma,Providence PACE,Providence PACE,Full-Dual - UIS State-Only,5852.0,6136.51,6445.66,7844.85
01/2023-12/2023,2023,PACE,Sonoma,Providence PACE,Providence PACE,Non-Dual - UIS State-Only,7486.87,7859.67,8264.8,11347.31
01/2023-12/2023,2023,PACE,Sonoma,Providence PACE,Providence PACE,Full-Dual - SIS,5027.49,5271.92,5537.51,6738.24
01/2023-12/2023,2023,PACE,Sonoma,Providence PACE,Providence PACE,Non-Dual - SIS,7659.21,8040.58,8455.04,11491.2
01/2023-12/2023,2023,PACE,Sonoma,AgeWell PACE,AgeWell PACE,Full-Dual - UIS Federally Eligible,202.06,212.08,222.97,242.68
01/2023-12/2023,2023,PACE,Sonoma,AgeWell PACE,AgeWell PACE,Non-Dual - UIS Federally Eligible,1476.52,1551.7,1633.43,2023.2
01/2023-12/2023,2023,PACE,Sonoma,AgeWell PACE,AgeWell PACE,Full-Dual - UIS State-Only,6533.19,6857.25,7209.48,7844.85
01/2023-12/2023,2023,PACE,Sonoma,AgeWell PACE,AgeWell PACE,Non-Dual - UIS State-Only,8366.94,8792.96,9256.11,11347.31
01/2023-12/2023,2023,PACE,Sonoma,AgeWell PACE,AgeWell PACE,Full-Dual - SIS,5612.71,5891.11,6193.71,6738.24
01/2023-12/2023,2023,PACE,Sonoma,AgeWell PACE,AgeWell PACE,Non-Dual - SIS,8559.53,8995.36,9469.17,11491.2
01/2023-12/2023,2023,PACE,Marin,AgeWell PACE,AgeWell PACE,Full-Dual - UIS Federally Eligible,202.06,212.08,222.97,242.68
01/2023-12/2023,2023,PACE,Marin,AgeWell PACE,AgeWell PACE,Non-Dual - UIS Federally Eligible,1476.52,1551.7,1633.43,2023.2
01/2023-12/2023,2023,PACE,Marin,AgeWell PACE,AgeWell PACE,Full-Dual - UIS State-Only,6533.19,6857.25,7209.48,7844.85
01/2023-12/2023,2023,PACE,Marin,AgeWell PACE,AgeWell PACE,Non-Dual - UIS State-Only,8366.94,8792.96,9256.11,11347.31
01/2023-12/2023,2023,PACE,Marin,AgeWell PACE,AgeWell PACE,Full-Dual - SIS,5612.71,5891.11,6193.71,6738.24
01/2023-12/2023,2023,PACE,Marin,AgeWell PACE,AgeWell PACE,Non-Dual - SIS,8559.53,8995.36,9469.17,11491.2
01/2024-12/2024,2024,PACE,Los Angeles,AltaMed Health Services Corporation,AltaMed Health Services Corporation,Full-Dual - UIS Federally Eligible,186.65,195.96,206.07,278.23
01/2024-12/2024,2024,PACE,Los Angeles,AltaMed Health Services Corporation,AltaMed Health Services Corporation,Non-Dual - UIS Federally Eligible,1352.41,1421.75,1497.14,2115.58
01/2024-12/2024,2024,PACE,Los Angeles,AltaMed Health Services Corporation,AltaMed Health Services Corporation,Full-Dual - UIS State-Only,4479.69,4703.01,4945.79,6628.98
01/2024-12/2024,2024,PACE,Los Angeles,AltaMed Health Services Corporation,AltaMed Health Services Corporation,Non-Dual - UIS State-Only,5087.64,5348.47,5632.09,7908.61
01/2024-12/2024,2024,PACE,Los Angeles,AltaMed Health Services Corporation,AltaMed Health Services Corporation,Full-Dual - SIS,4057.69,4259.98,4479.88,6013.77
01/2024-12/2024,2024,PACE,Los Angeles,AltaMed Health Services Corporation,AltaMed Health Services Corporation,Non-Dual - SIS,5854.6,6154.74,6481.12,9130.24
01/2024-12/2024,2024,PACE,Orange,AltaMed Health Services Corporation,AltaMed Health Services Corporation,Full-Dual - UIS Federally Eligible,180.43,189.43,199.21,265.42
01/2024-12/2024,2024,PACE,Orange,AltaMed Health Services Corporation,AltaMed Health Services Corporation,Non-Dual - UIS Federally Eligible,1489.47,1565.68,1648.55,2436.64
01/2024-12/2024,2024,PACE,Orange,AltaMed Health Services Corporation,AltaMed Health Services Corporation,Full-Dual - UIS State-Only,4330.4,4546.33,4781.07,6318.93
01/2024-12/2024,2024,PACE,Orange,AltaMed Health Services Corporation,AltaMed Health Services Corporation,Non-Dual - UIS State-Only,5603.25,5889.95,6201.71,9121.96
01/2024-12/2024,2024,PACE,Orange,AltaMed Health Services Corporation,AltaMed Health Services Corporation,Full-Dual - SIS,3922.47,4118.05,4330.68,5733.86
01/2024-12/2024,2024,PACE,Orange,AltaMed Health Services Corporation,AltaMed Health Services Corporation,Non-Dual - SIS,6447.93,6777.85,7136.6,10522.89
01/2024-12/2024,2024,PACE,Los Angeles,"Brandman Centers for Senior Care, Inc.","Brandman Centers for Senior Care, Inc.",Full-Dual - UIS Federally Eligible,197.83,207.85,218.75,278.23
01/2024-12/2024,2024,PACE,Los Angeles,"Brandman Centers for Senior Care, Inc.","Brandman Centers for Senior Care, Inc.",Non-Dual - UIS Federally Eligible,1547.68,1628.46,1716.32,2115.58
01/2024-12/2024,2024,PACE,Los Angeles,"Brandman Centers for Senior Care, Inc.","Brandman Centers for Senior Care, Inc.",Full-Dual - UIS State-Only,4747.82,4988.4,5249.96,6628.98
01/2024-12/2024,2024,PACE,Los Angeles,"Brandman Centers for Senior Care, Inc.","Brandman Centers for Senior Care, Inc.",Non-Dual - UIS State-Only,5822.23,6126.12,6456.62,7908.61
01/2024-12/2024,2024,PACE,Los Angeles,"Brandman Centers for Senior Care, Inc.","Brandman Centers for Senior Care, Inc.",Full-Dual - SIS,4300.57,4518.48,4755.4,6013.77
01/2024-12/2024,2024,PACE,Los Angeles,"Brandman Centers for Senior Care, Inc.","Brandman Centers for Senior Care, Inc.",Non-Dual - SIS,6699.92,7049.62,7429.95,9130.24
01/2024-12/2024,2024,PACE,Orange,Orange County Health Authority,Orange County Health Authority,Full-Dual - UIS Federally Eligible,168.38,176.78,185.91,265.42
01/2024-12/2024,2024,PACE,Orange,Orange County Health Authority,Orange County Health Authority,Non-Dual - UIS Federally Eligible,1584.27,1665.19,1753.19,2436.64
01/2024-12/2024,2024,PACE,Orange,Orange County Health Authority,Orange County Health Authority,Full-Dual - UIS State-Only,4041.13,4242.68,4461.8,6318.93
01/2024-12/2024,2024,PACE,Orange,Orange County Health Authority,Orange County Health Authority,Non-Dual - UIS State-Only,5959.87,6264.29,6595.32,9121.96
01/2024-12/2024,2024,PACE,Orange,Orange County Health Authority,Orange County Health Authority,Full-Dual - SIS,3660.44,3843.01,4041.49,5733.86
01/2024-12/2024,2024,PACE,Orange,Orange County Health Authority,Orange County Health Authority,Non-Dual - SIS,6858.31,7208.62,7589.55,10522.89
01/2024-12/2024,2024,PACE,Alameda,Coalition Center for Elders Independence,Coalition Center for Elders Independence,Full-Dual - UIS Federally Eligible,262.54,276.3,291.27,319.18
01/2024-12/2024,2024,PACE,Alameda,Coalition Center for Elders Independence,Coalition Center for Elders Independence,Non-Dual - UIS Federally Eligible,1711.72,1802.62,1901.5,2442.92
01/2024-12/2024,2024,PACE,Alameda,Coalition Center for Elders Independence,Coalition Center for Elders Independence,Full-Dual - UIS State-Only,6300.9,6631.22,6990.45,7629.09
01/2024-12/2024,2024,PACE,Alameda,Coalition Center for Elders Independence,Coalition Center for Elders Independence,Non-Dual - UIS State-Only,6439.32,6781.3,7153.27,9144.05
01/2024-12/2024,2024,PACE,Alameda,Coalition Center for Elders Independence,Coalition Center for Elders Independence,Full-Dual - SIS,5707.34,6006.54,6331.93,6913.14
01/2024-12/2024,2024,PACE,Alameda,Coalition Center for Elders Independence,Coalition Center for Elders Independence,Non-Dual - SIS,7410.03,7803.57,8231.61,10546.89
01/2024-12/2024,2024,PACE,Contra Costa,Coalition Center for Elders Independence,Coalition Center for Elders Independence,Full-Dual - UIS Federally Eligible,265.55,279.46,294.59,288.41
01/2024-12/2024,2024,PACE,Contra Costa,Coalition Center for Elders Independence,Coalition Center for Elders Independence,Non-Dual - UIS Federally Eligible,1687.7,1777.44,1875.05,2448.98
01/2024-12/2024,2024,PACE,Contra Costa,Coalition Center for Elders Independence,Coalition Center for Elders Independence,Full-Dual - UIS State-Only,6373.17,6707.01,7070.07,6856.46
01/2024-12/2024,2024,PACE,Contra Costa,Coalition Center for Elders Independence,Coalition Center for Elders Independence,Non-Dual - UIS State-Only,6348.98,6686.57,7053.77,9156.46
01/2024-12/2024,2024,PACE,Contra Costa,Coalition Center for Elders Independence,Coalition Center for Elders Independence,Full-Dual - SIS,5772.8,6075.19,6404.05,6225.89
01/2024-12/2024,2024,PACE,Contra Costa,Coalition Center for Elders Independence,Coalition Center for Elders Independence,Non-Dual - SIS,7306.08,7694.56,8117.12,10599.4
01/2024-12/2024,2024,PACE,San Joaquin,Golden Valley Health Centers,Golden Valley Health Centers,Full-Dual - UIS Federally Eligible,239.45,251.56,264.73,268.71
01/2024-12/2024,2024,PACE,San Joaquin,Golden Valley Health Centers,Golden Valley Health Centers,Non-Dual - UIS Federally Eligible,1703.85,1792.81,1889.56,2407.67
01/2024-12/2024,2024,PACE,San Joaquin,Golden Valley Health Centers,Golden Valley Health Centers,Full-Dual - UIS State-Only,5746.81,6037.5,6353.56,6420.13
01/2024-12/2024,2024,PACE,San Joaquin,Golden Valley Health Centers,Golden Valley Health Centers,Non-Dual - UIS State-Only,6409.72,6744.38,7108.35,9020.26
01/2024-12/2024,2024,PACE,San Joaquin,Golden Valley Health Centers,Golden Valley Health Centers,Full-Dual - SIS,5205.45,5468.75,5755.04,5815.88
01/2024-12/2024,2024,PACE,San Joaquin,Golden Valley Health Centers,Golden Valley Health Centers,Non-Dual - SIS,7375.97,7761.08,8179.91,10395.56
01/2024-12/2024,2024,PACE,Stanislaus,Golden Valley Health Centers,Golden Valley Health Centers,Full-Dual - UIS Federally Eligible,239.45,251.56,264.73,268.71
01/2024-12/2024,2024,PACE,Stanislaus,Golden Valley Health Centers,Golden Valley Health Centers,Non-Dual - UIS Federally Eligible,1703.85,1792.81,1889.56,2407.67
01/2024-12/2024,2024,PACE,Stanislaus,Golden Valley Health Centers,Golden Valley Health Centers,Full-Dual - UIS State-Only,5746.81,6037.5,6353.56,6420.13
01/2024-12/2024,2024,PACE,Stanislaus,Golden Valley Health Centers,Golden Valley Health Centers,Non-Dual - UIS State-Only,6409.72,6744.38,7108.35,9020.26
01/2024-12/2024,2024,PACE,Stanislaus,Golden Valley Health Centers,Golden Valley Health Centers,Full-Dual - SIS,5205.45,5468.75,5755.04,5815.88
01/2024-12/2024,2024,PACE,Stanislaus,Golden Valley Health Centers,Golden Valley Health Centers,Non-Dual - SIS,7375.97,7761.08,8179.91,10395.56
01/2024-12/2024,2024,PACE,Los Angeles,"ConcertoHealth PACE of Los Angeles, LLC","ConcertoHealth PACE of Los Angeles, LLC",Full-Dual - UIS Federally Eligible,235.95,247.94,260.99,278.23
01/2024-12/2024,2024,PACE,Los Angeles,"ConcertoHealth PACE of Los Angeles, LLC","ConcertoHealth PACE of Los Angeles, LLC",Non-Dual - UIS Federally Eligible,1767.83,1860.27,1960.81,2115.58
01/2024-12/2024,2024,PACE,Los Angeles,"ConcertoHealth PACE of Los Angeles, LLC","ConcertoHealth PACE of Los Angeles, LLC",Full-Dual - UIS State-Only,5662.73,5950.65,6263.72,6628.98
01/2024-12/2024,2024,PACE,Los Angeles,"ConcertoHealth PACE of Los Angeles, LLC","ConcertoHealth PACE of Los Angeles, LLC",Non-Dual - UIS State-Only,6650.39,6998.16,7376.39,7908.61
01/2024-12/2024,2024,PACE,Los Angeles,"ConcertoHealth PACE of Los Angeles, LLC","ConcertoHealth PACE of Los Angeles, LLC",Full-Dual - SIS,5129.28,5390.09,5673.66,6013.77
01/2024-12/2024,2024,PACE,Los Angeles,"ConcertoHealth PACE of Los Angeles, LLC","ConcertoHealth PACE of Los Angeles, LLC",Non-Dual - SIS,7652.93,8053.12,8488.36,9130.24
01/2024-12/2024,2024,PACE,San Diego,"Family Health Centers of San Diego, Inc","Family Health Centers of San Diego, Inc",Full-Dual - UIS Federally Eligible,199.16,209.18,220.08,266.76
01/2024-12/2024,2024,PACE,San Diego,"Family Health Centers of San Diego, Inc","Family Health Centers of San Diego, Inc",Non-Dual - UIS Federally Eligible,1605.58,1689.19,1780.12,2346.58
01/2024-12/2024,2024,PACE,San Diego,"Family Health Centers of San Diego, Inc","Family Health Centers of San Diego, Inc",Full-Dual - UIS State-Only,4779.8,5020.41,5282.01,6359.52
01/2024-12/2024,2024,PACE,San Diego,"Family Health Centers of San Diego, Inc","Family Health Centers of San Diego, Inc",Non-Dual - UIS State-Only,6040.04,6354.58,6696.66,8785.68
01/2024-12/2024,2024,PACE,San Diego,"Family Health Centers of San Diego, Inc","Family Health Centers of San Diego, Inc",Full-Dual - SIS,4329.53,4547.47,4784.43,5763.93
01/2024-12/2024,2024,PACE,San Diego,"Family Health Centers of San Diego, Inc","Family Health Centers of San Diego, Inc",Non-Dual - SIS,6950.56,7312.52,7706.17,10132.98
01/2024-12/2024,2024,PACE,San Diego,"Gary & Mary West Senior Services, Inc.","Gary & Mary West Senior Services, Inc.",Full-Dual - UIS Federally Eligible,206.32,216.7,228.0,266.76
01/2024-12/2024,2024,PACE,San Diego,"Gary & Mary West Senior Services, Inc.","Gary & Mary West Senior Services, Inc.",Non-Dual - UIS Federally Eligible,1761.07,1852.77,1952.5,2346.58
01/2024-12/2024,2024,PACE,San Diego,"Gary & Mary West Senior Services, Inc.","Gary & Mary West Senior Services, Inc.",Full-Dual - UIS State-Only,4951.67,5200.92,5471.91,6359.52
01/2024-12/2024,2024,PACE,San Diego,"Gary & Mary West Senior Services, Inc.","Gary & Mary West Senior Services, Inc.",Non-Dual - UIS State-Only,6624.97,6969.94,7345.12,8785.68
01/2024-12/2024,2024,PACE,San Diego,"Gary & Mary West Senior Services, Inc.","Gary & Mary West Senior Services, Inc.",Full-Dual - SIS,4485.21,4710.98,4956.44,5763.93
01/2024-12/2024,2024,PACE,San Diego,"Gary & Mary West Senior Services, Inc.","Gary & Mary West Senior Services, Inc.",Non-Dual - SIS,7623.67,8020.65,8452.38,10132.98
01/2024-12/2024,2024,PACE,Fresno,"Innovative Integrated Health, Inc.","Innovative Integrated Health, Inc.",Full-Dual - UIS Federally Eligible,169.84,178.19,187.25,234.16
01/2024-12/2024,2024,PACE,Fresno,"Innovative Integrated Health, Inc.","Innovative Integrated Health, Inc.",Non-Dual - UIS Federally Eligible,1255.17,1318.86,1388.11,2114.75
01/2024-12/2024,2024,PACE,Fresno,"Innovative Integrated Health, Inc.","Innovative Integrated Health, Inc.",Full-Dual - UIS State-Only,4076.22,4276.45,4494.11,5525.34
01/2024-12/2024,2024,PACE,Fresno,"Innovative Integrated Health, Inc.","Innovative Integrated Health, Inc.",Non-Dual - UIS State-Only,4721.81,4961.42,5221.95,7910.34
01/2024-12/2024,2024,PACE,Fresno,"Innovative Integrated Health, Inc.","Innovative Integrated Health, Inc.",Full-Dual - SIS,3692.23,3873.6,4070.75,5008.63
01/2024-12/2024,2024,PACE,Fresno,"Innovative Integrated Health, Inc.","Innovative Integrated Health, Inc.",Non-Dual - SIS,5433.62,5709.34,6009.15,9129.52
01/2024-12/2024,2024,PACE,Orange,"Innovative Integrated Health, Inc.","Innovative Integrated Health, Inc.",Full-Dual - UIS Federally Eligible,186.19,195.56,205.75,265.42
01/2024-12/2024,2024,PACE,Orange,"Innovative Integrated Health, Inc.","Innovative Integrated Health, Inc.",Non-Dual - UIS Federally Eligible,1590.16,1672.27,1761.57,2436.64
01/2024-12/2024,2024,PACE,Orange,"Innovative Integrated Health, Inc.","Innovative Integrated Health, Inc.",Full-Dual - UIS State-Only,4468.66,4693.48,4937.91,6318.93
01/2024-12/2024,2024,PACE,Orange,"Innovative Integrated Health, Inc.","Innovative Integrated Health, Inc.",Non-Dual - UIS State-Only,5982.02,6290.92,6626.85,9121.96
01/2024-12/2024,2024,PACE,Orange,"Innovative Integrated Health, Inc.","Innovative Integrated Health, Inc.",Full-Dual - SIS,4047.7,4251.34,4472.75,5733.86
01/2024-12/2024,2024,PACE,Orange,"Innovative Integrated Health, Inc.","Innovative Integrated Health, Inc.",Non-Dual - SIS,6883.8,7239.27,7625.84,10522.89
