Rating Period,Calendar Year,Model,County,Health Plan,Brand,Category of Aid,Lower Bound,Midpoint,Upper Bound
1/21-12/21,2021,Two-Plan,Fresno,Anthem Blue Cross,Anthem Blue Cross,Adult Expansion,264.84,272.3,280.11
1/21-12/21,2021,Two-Plan,Fresno,Anthem Blue Cross,Anthem Blue Cross,Behavioral Health Treatment 0-6,3971.16,4082.81,4198.5
1/21-12/21,2021,Two-Plan,Fresno,Anthem Blue Cross,Anthem Blue Cross,Behavioral Health Treatment 7-20,2630.0,2703.95,2780.56
1/21-12/21,2021,Two-Plan,Fresno,Anthem Blue Cross,Anthem Blue Cross,Child,71.67,74.59,77.69
1/21-12/21,2021,Two-Plan,Fresno,Anthem Blue Cross,Anthem Blue Cross,Hep C 340B,1722.85,1722.85,1759.31
1/21-12/21,2021,Two-Plan,Fresno,Anthem Blue Cross,Anthem Blue Cross,Hep C Non-340B,2184.11,2184.11,2285.16
1/21-12/21,2021,Two-Plan,Fresno,Anthem Blue Cross,Anthem Blue Cross,Maternity,7935.33,8178.5,8430.86
1/21-12/21,2021,Two-Plan,Fresno,Anthem Blue Cross,Anthem Blue Cross,SPD,723.89,742.08,761.06
1/21-12/21,2021,Two-Plan,Fresno,Anthem Blue Cross,Anthem Blue Cross,SPD Dual,165.71,171.51,177.6
1/21-12/21,2021,Two-Plan,Fresno,CalViva Health,CalViva Health,Adult,260.45,267.8,275.51
1/21-12/21,2021,Two-Plan,Fresno,CalViva Health,CalViva Health,Adult Expansion,321.3,330.05,339.22
1/21-12/21,2021,Two-Plan,Fresno,CalViva Health,CalViva Health,Behavioral Health Treatment 0-6,3900.76,4010.44,4124.07
1/21-12/21,2021,Two-Plan,Fresno,CalViva Health,CalViva Health,Behavioral Health Treatment 7-20,2621.97,2695.69,2772.07
1/21-12/21,2021,Two-Plan,Fresno,CalViva Health,CalViva Health,Child,78.14,81.27,84.59
1/21-12/21,2021,Two-Plan,Fresno,CalViva Health,CalViva Health,Hep C 340B,1722.85,1722.85,1759.31
1/21-12/21,2021,Two-Plan,Fresno,CalViva Health,CalViva Health,Hep C Non-340B,2184.11,2184.11,2285.16
1/21-12/21,2021,Two-Plan,Fresno,CalViva Health,CalViva Health,Maternity,7935.33,8178.5,8430.86
1/21-12/21,2021,Two-Plan,Fresno,CalViva Health,CalViva Health,SPD,912.46,934.67,957.83
1/21-12/21,2021,Two-Plan,Fresno,CalViva Health,CalViva Health,SPD Dual,177.48,183.59,189.99
1/21-12/21,2021,Two-Plan,Kern,Health Net of California,Health Net,Adult,240.87,248.08,255.65
1/21-12/21,2021,Two-Plan,Kern,Health Net of California,Health Net,Adult Expansion,300.9,309.48,318.47
1/21-12/21,2021,Two-Plan,Kern,Health Net of California,Health Net,Behavioral Health Treatment 0-6,3293.17,3385.76,3481.7
1/21-12/21,2021,Two-Plan,Kern,Health Net of California,Health Net,Behavioral Health Treatment 7-20,2328.61,2394.08,2461.92
1/21-12/21,2021,Two-Plan,Kern,Health Net of California,Health Net,Child,67.36,70.28,73.38
1/21-12/21,2021,Two-Plan,Kern,Health Net of California,Health Net,Health Homes Non-Dual,328.15,332.74,348.94
1/21-12/21,2021,Two-Plan,Kern,Health Net of California,Health Net,Health Homes Dual,73.11,75.81,78.76
1/21-12/21,2021,Two-Plan,Kern,Health Net of California,Health Net,Hep C 340B,1722.85,1722.85,1759.31
1/21-12/21,2021,Two-Plan,Kern,Health Net of California,Health Net,Hep C Non-340B,2184.11,2184.11,2285.16
1/21-12/21,2021,Two-Plan,Kern,Health Net of California,Health Net,Maternity,6837.85,7047.39,7264.85
1/21-12/21,2021,Two-Plan,Kern,Health Net of California,Health Net,SPD,841.84,863.33,885.75
1/21-12/21,2021,Two-Plan,Kern,Health Net of California,Health Net,SPD Dual,155.69,161.11,166.81
1/21-12/21,2021,Two-Plan,Kern,Kern Health Systems,Kern Health Systems,Adult,281.84,290.25,299.07
1/21-12/21,2021,Two-Plan,Kern,Kern Health Systems,Kern Health Systems,Adult Expansion,342.31,351.99,362.13
1/21-12/21,2021,Two-Plan,Kern,Kern Health Systems,Kern Health Systems,Behavioral Health Treatment 0-6,4316.67,4438.05,4563.8
1/21-12/21,2021,Two-Plan,Kern,Kern Health Systems,Kern Health Systems,Behavioral Health Treatment 7-20,3098.25,3185.36,3275.62
1/21-12/21,2021,Two-Plan,Kern,Kern Health Systems,Kern Health Systems,Child,75.47,78.69,82.11
1/21-12/21,2021,Two-Plan,Kern,Kern Health Systems,Kern Health Systems,Health Homes Non-Dual,312.68,317.06,332.88
1/21-12/21,2021,Two-Plan,Kern,Kern Health Systems,Kern Health Systems,Health Homes Dual,69.01,71.55,74.32
1/21-12/21,2021,Two-Plan,Kern,Kern Health Systems,Kern Health Systems,Hep C 340B,1722.85,1722.85,1759.31
1/21-12/21,2021,Two-Plan,Kern,Kern Health Systems,Kern Health Systems,Hep C Non-340B,2184.11,2184.11,2285.16
1/21-12/21,2021,Two-Plan,Kern,Kern Health Systems,Kern Health Systems,Maternity,6837.85,7047.39,7264.85
1/21-12/21,2021,Two-Plan,Kern,Kern Health Systems,Kern Health Systems,SPD,927.2,950.84,975.51
1/21-12/21,2021,Two-Plan,Kern,Kern Health Systems,Kern Health Systems,SPD Dual,184.49,190.91,197.66
1/21-12/21,2021,Two-Plan,Kings,Anthem Blue Cross,Anthem Blue Cross,Adult,218.0,224.51,231.33
1/21-12/21,2021,Two-Plan,Kings,Anthem Blue Cross,Anthem Blue Cross,Adult Expansion,283.36,291.55,300.14
1/21-12/21,2021,Two-Plan,Kings,Anthem Blue Cross,Anthem Blue Cross,Behavioral Health Treatment 0-6,3424.21,3520.49,3620.24
1/21-12/21,2021,Two-Plan,Kings,Anthem Blue Cross,Anthem Blue Cross,Behavioral Health Treatment 7-20,2571.64,2643.95,2718.86
1/21-12/21,2021,Two-Plan,Kings,Anthem Blue Cross,Anthem Blue Cross,Child,65.56,68.33,71.26
1/21-12/21,2021,Two-Plan,Kings,Anthem Blue Cross,Anthem Blue Cross,Hep C 340B,1722.85,1722.85,1759.31
1/21-12/21,2021,Two-Plan,Kings,Anthem Blue Cross,Anthem Blue Cross,Hep C Non-340B,2184.11,2184.11,2285.16
1/21-12/21,2021,Two-Plan,Kings,Anthem Blue Cross,Anthem Blue Cross,Maternity,8025.62,8271.54,8526.76
1/21-12/21,2021,Two-Plan,Kings,Anthem Blue Cross,Anthem Blue Cross,SPD,675.04,691.27,708.21
1/21-12/21,2021,Two-Plan,Kings,Anthem Blue Cross,Anthem Blue Cross,SPD Dual,134.13,138.94,144.0
1/21-12/21,2021,Two-Plan,Kings,CalViva Health,CalViva Health,Adult,259.96,267.56,275.53
1/21-12/21,2021,Two-Plan,Kings,CalViva Health,CalViva Health,Adult Expansion,346.55,356.46,366.82
1/21-12/21,2021,Two-Plan,Kings,CalViva Health,CalViva Health,Behavioral Health Treatment 0-6,3369.92,3464.67,3562.84
1/21-12/21,2021,Two-Plan,Kings,CalViva Health,CalViva Health,Behavioral Health Treatment 7-20,2518.18,2588.99,2662.35
1/21-12/21,2021,Two-Plan,Kings,CalViva Health,CalViva Health,Child,69.76,72.71,75.83
1/21-12/21,2021,Two-Plan,Kings,CalViva Health,CalViva Health,Hep C 340B,1722.85,1722.85,1759.31
1/21-12/21,2021,Two-Plan,Kings,CalViva Health,CalViva Health,Hep C Non-340B,2184.11,2184.11,2285.16
1/21-12/21,2021,Two-Plan,Kings,CalViva Health,CalViva Health,Maternity,8025.62,8271.54,8526.76
1/21-12/21,2021,Two-Plan,Kings,CalViva Health,CalViva Health,SPD,765.61,783.65,802.47
1/21-12/21,2021,Two-Plan,Kings,CalViva Health,CalViva Health,SPD Dual,142.41,147.52,152.9
1/21-12/21,2021,Two-Plan,Los Angeles,Health Net of California,Health Net,Health Homes Non-Dual,382.76,387.99,407.1
1/21-12/21,2021,Two-Plan,Los Angeles,Health Net of California,Health Net,Health Homes Dual,92.85,96.15,99.77
1/21-12/21,2021,Two-Plan,Los Angeles,Health Net of California,Health Net,Adult,200.88,206.93,213.27
1/21-12/21,2021,Two-Plan,Los Angeles,Health Net of California,Health Net,Adult Expansion,289.55,297.8,306.45
1/21-12/21,2021,Two-Plan,Los Angeles,Health Net of California,Health Net,Behavioral Health Treatment 0-6,3030.7,3115.92,3204.21
1/21-12/21,2021,Two-Plan,Los Angeles,Health Net of California,Health Net,Behavioral Health Treatment 7-20,2373.04,2439.77,2508.9
1/21-12/21,2021,Two-Plan,Los Angeles,Health Net of California,Health Net,Child,72.6,75.61,78.79
1/21-12/21,2021,Two-Plan,Los Angeles,Health Net of California,Health Net,Hep C 340B,1722.85,1722.85,1759.31
1/21-12/21,2021,Two-Plan,Los Angeles,Health Net of California,Health Net,Hep C Non-340B,2184.11,2184.11,2285.16
1/21-12/21,2021,Two-Plan,Los Angeles,Health Net of California,Health Net,Maternity,7350.22,7575.48,7809.25
1/21-12/21,2021,Two-Plan,Los Angeles,Health Net of California,Health Net,SPD,652.13,668.2,684.97
1/21-12/21,2021,Two-Plan,Los Angeles,Health Net of California,Health Net,SPD Dual,144.12,148.89,153.9
1/21-12/21,2021,Two-Plan,Los Angeles,LA Care,L.A. Care,Adult,210.25,216.59,223.26
1/21-12/21,2021,Two-Plan,Los Angeles,LA Care,L.A. Care,Adult Expansion,294.65,303.1,311.96
1/21-12/21,2021,Two-Plan,Los Angeles,LA Care,L.A. Care,Behavioral Health Treatment 0-6,3045.69,3131.33,3220.05
1/21-12/21,2021,Two-Plan,Los Angeles,LA Care,L.A. Care,Behavioral Health Treatment 7-20,2375.69,2442.48,2511.69
1/21-12/21,2021,Two-Plan,Los Angeles,LA Care,L.A. Care,Child,77.88,81.1,84.51
1/21-12/21,2021,Two-Plan,Los Angeles,LA Care,L.A. Care,Hep C 340B,1722.85,1722.85,1759.31
1/21-12/21,2021,Two-Plan,Los Angeles,LA Care,L.A. Care,Hep C Non-340B,2184.11,2184.11,2285.16
1/21-12/21,2021,Two-Plan,Los Angeles,LA Care,L.A. Care,Maternity,7350.22,7575.48,7809.25
1/21-12/21,2021,Two-Plan,Los Angeles,LA Care,L.A. Care,SPD,787.69,807.01,827.15
1/21-12/21,2021,Two-Plan,Los Angeles,LA Care,L.A. Care,SPD Dual,134.52,138.98,143.68
1/21-12/21,2021,Two-Plan,Los Angeles,LA Care,L.A. Care,Health Homes Non-Dual,385.87,391.1,410.5
1/21-12/21,2021,Two-Plan,Los Angeles,LA Care,L.A. Care,Health Homes Dual,97.35,101.07,105.15
1/21-12/21,2021,Two-Plan,Madera,Anthem Blue Cross,Anthem Blue Cross,Adult,206.66,212.4,218.42
1/21-12/21,2021,Two-Plan,Madera,Anthem Blue Cross,Anthem Blue Cross,Adult Expansion,264.06,271.06,278.39
