Rating Period,Calendar Year,Model,County,Health Plan,Brand,Category of Aid,Lower Bound,Midpoint,Upper Bound
1/24-12/24,2024,Single Plan,Contra Costa,Contra Costa Health Plan,Contra Costa Health Plan,Child - SIS,114.7,,125.56
1/24-12/24,2024,Single Plan,Contra Costa,Contra Costa Health Plan,Contra Costa Health Plan,Adult - SIS,299.04,,320.85
1/24-12/24,2024,Single Plan,Contra Costa,Contra Costa Health Plan,Contra Costa Health Plan,ACA Optional Expansion - SIS,360.0,,385.24
1/24-12/24,2024,Single Plan,Contra Costa,Contra Costa Health Plan,Contra Costa Health Plan,SPD - SIS,1192.22,,1263.59
1/24-12/24,2024,Single Plan,Contra Costa,Contra Costa Health Plan,Contra Costa Health Plan,SPD/Full-Dual - SIS,284.17,,300.81
1/24-12/24,2024,Single Plan,Contra Costa,Contra Costa Health Plan,Contra Costa Health Plan,LTC - SIS,11897.0,,12347.9
1/24-12/24,2024,Single Plan,Contra Costa,Contra Costa Health Plan,Contra Costa Health Plan,LTC/Full-Dual - SIS,9018.68,,9337.98
1/24-12/24,2024,Single Plan,Contra Costa,Contra Costa Health Plan,Contra Costa Health Plan,Maternity - SIS,11722.29,,12240.24
1/24-12/24,2024,Single Plan,Contra Costa,Contra Costa Health Plan,Contra Costa Health Plan,Child - UIS Federally Eligible,29.66,,33.51
1/24-12/24,2024,Single Plan,Contra Costa,Contra Costa Health Plan,Contra Costa Health Plan,Adult - UIS Federally Eligible,185.48,,198.77
1/24-12/24,2024,Single Plan,Contra Costa,Contra Costa Health Plan,Contra Costa Health Plan,ACA Optional Expansion - UIS Federally Eligible,209.1,,223.81
1/24-12/24,2024,Single Plan,Contra Costa,Contra Costa Health Plan,Contra Costa Health Plan,SPD - UIS Federally Eligible,594.11,,632.12
1/24-12/24,2024,Single Plan,Contra Costa,Contra Costa Health Plan,Contra Costa Health Plan,SPD/Full-Dual - UIS Federally Eligible,78.3,,84.8
1/24-12/24,2024,Single Plan,Contra Costa,Contra Costa Health Plan,Contra Costa Health Plan,LTC - UIS Federally Eligible,1061.08,,1127.36
1/24-12/24,2024,Single Plan,Contra Costa,Contra Costa Health Plan,Contra Costa Health Plan,LTC/Full-Dual - UIS Federally Eligible,70.39,,76.0
1/24-12/24,2024,Single Plan,Contra Costa,Contra Costa Health Plan,Contra Costa Health Plan,Maternity - UIS Federally Eligible,11722.29,,12240.24
1/24-12/24,2024,Single Plan,Contra Costa,Contra Costa Health Plan,Contra Costa Health Plan,Child - UIS State-Only,63.91,,69.65
1/24-12/24,2024,Single Plan,Contra Costa,Contra Costa Health Plan,Contra Costa Health Plan,Adult - UIS State-Only,154.18,,165.34
1/24-12/24,2024,Single Plan,Contra Costa,Contra Costa Health Plan,Contra Costa Health Plan,ACA Optional Expansion - UIS State-Only,194.13,,207.51
1/24-12/24,2024,Single Plan,Contra Costa,Contra Costa Health Plan,Contra Costa Health Plan,SPD - UIS State-Only,475.65,,504.74
1/24-12/24,2024,Single Plan,Contra Costa,Contra Costa Health Plan,Contra Costa Health Plan,SPD/Full-Dual - UIS State-Only,229.33,,241.39
1/24-12/24,2024,Single Plan,Contra Costa,Contra Costa Health Plan,Contra Costa Health Plan,LTC - UIS State-Only,11924.33,,12349.99
1/24-12/24,2024,Single Plan,Contra Costa,Contra Costa Health Plan,Contra Costa Health Plan,LTC/Full-Dual - UIS State-Only,8726.13,,9031.45
1/24-12/24,2024,Single Plan,Contra Costa,Kaiser Permanente,Kaiser Permanente,Child - SIS,129.24,,141.01
1/24-12/24,2024,Single Plan,Contra Costa,Kaiser Permanente,Kaiser Permanente,Adult - SIS,364.61,,391.21
1/24-12/24,2024,Single Plan,Contra Costa,Kaiser Permanente,Kaiser Permanente,ACA Optional Expansion - SIS,409.31,,438.37
1/24-12/24,2024,Single Plan,Contra Costa,Kaiser Permanente,Kaiser Permanente,SPD - SIS,994.37,,1056.76
1/24-12/24,2024,Single Plan,Contra Costa,Kaiser Permanente,Kaiser Permanente,SPD/Full-Dual - SIS,228.8,,243.48
1/24-12/24,2024,Single Plan,Contra Costa,Kaiser Permanente,Kaiser Permanente,LTC - SIS,11897.0,,12347.9
1/24-12/24,2024,Single Plan,Contra Costa,Kaiser Permanente,Kaiser Permanente,LTC/Full-Dual - SIS,9018.68,,9337.98
1/24-12/24,2024,Single Plan,Contra Costa,Kaiser Permanente,Kaiser Permanente,Maternity - SIS,11722.29,,12240.24
1/24-12/24,2024,Single Plan,Contra Costa,Kaiser Permanente,Kaiser Permanente,Child - UIS Federally Eligible,29.66,,33.51
1/24-12/24,2024,Single Plan,Contra Costa,Kaiser Permanente,Kaiser Permanente,Adult - UIS Federally Eligible,185.48,,198.77
