Rating Period,Calendar Year,Model,County,Health Plan,Brand,Category of Aid,Lower Bound,Midpoint,Upper Bound
1/21-12/21,2021,Regional,Tuolumne,Anthem Blue Cross,Anthem Blue Cross,Child,66.06,68.98,72.09
1/21-12/21,2021,Regional,Tuolumne,Anthem Blue Cross,Anthem Blue Cross,Adult,261.19,268.96,277.12
1/21-12/21,2021,Regional,Tuolumne,Anthem Blue Cross,Anthem Blue Cross,Adult Expansion,330.63,340.08,349.98
1/21-12/21,2021,Regional,Tuolumne,Anthem Blue Cross,Anthem Blue Cross,SPD,927.25,950.32,974.4
1/21-12/21,2021,Regional,Tuolumne,Anthem Blue Cross,Anthem Blue Cross,SPD Dual,150.41,155.69,161.24
1/21-12/21,2021,Regional,Tuolumne,Anthem Blue Cross,Anthem Blue Cross,Maternity,10630.12,10955.83,11293.84
1/21-12/21,2021,Regional,Yuba,Anthem Blue Cross,Anthem Blue Cross,Child,66.06,68.98,72.09
1/21-12/21,2021,Regional,Yuba,Anthem Blue Cross,Anthem Blue Cross,Adult,261.19,268.96,277.12
1/21-12/21,2021,Regional,Yuba,Anthem Blue Cross,Anthem Blue Cross,Adult Expansion,330.63,340.08,349.98
1/21-12/21,2021,Regional,Yuba,Anthem Blue Cross,Anthem Blue Cross,SPD,927.25,950.32,974.4
1/21-12/21,2021,Regional,Yuba,Anthem Blue Cross,Anthem Blue Cross,SPD Dual,150.41,155.69,161.24
1/21-12/21,2021,Regional,Yuba,Anthem Blue Cross,Anthem Blue Cross,Maternity,10630.12,10955.83,11293.84
1/21-12/21,2021,Regional,Alpine,CA Health & Wellness,California Health and Wellness,Child,70.78,73.93,77.28
1/21-12/21,2021,Regional,Alpine,CA Health & Wellness,California Health and Wellness,Adult,301.19,310.12,319.49
1/21-12/21,2021,Regional,Alpine,CA Health & Wellness,California Health and Wellness,Adult Expansion,386.59,397.55,409.04
1/21-12/21,2021,Regional,Alpine,CA Health & Wellness,California Health and Wellness,SPD,1085.7,1112.46,1140.39
1/21-12/21,2021,Regional,Alpine,CA Health & Wellness,California Health and Wellness,SPD Dual,182.43,189.11,196.13
1/21-12/21,2021,Regional,Alpine,CA Health & Wellness,California Health and Wellness,Maternity,10630.12,10955.83,11293.84
1/21-12/21,2021,Regional,Amador,CA Health & Wellness,California Health and Wellness,Child,70.78,73.93,77.28
1/21-12/21,2021,Regional,Amador,CA Health & Wellness,California Health and Wellness,Adult,301.19,310.12,319.49
1/21-12/21,2021,Regional,Amador,CA Health & Wellness,California Health and Wellness,Adult Expansion,386.59,397.55,409.04
1/21-12/21,2021,Regional,Amador,CA Health & Wellness,California Health and Wellness,SPD,1085.7,1112.46,1140.39
1/21-12/21,2021,Regional,Amador,CA Health & Wellness,California Health and Wellness,SPD Dual,182.43,189.11,196.13
1/21-12/21,2021,Regional,Amador,CA Health & Wellness,California Health and Wellness,Maternity,10630.12,10955.83,11293.84
1/21-12/21,2021,Regional,Butte,CA Health & Wellness,California Health and Wellness,Child,70.78,73.93,77.28
1/21-12/21,2021,Regional,Butte,CA Health & Wellness,California Health and Wellness,Adult,301.19,310.12,319.49
1/21-12/21,2021,Regional,Butte,CA Health & Wellness,California Health and Wellness,Adult Expansion,386.59,397.55,409.04
1/21-12/21,2021,Regional,Butte,CA Health & Wellness,California Health and Wellness,SPD,1085.7,1112.46,1140.39
1/21-12/21,2021,Regional,Butte,CA Health & Wellness,California Health and Wellness,SPD Dual,182.43,189.11,196.13
1/21-12/21,2021,Regional,Butte,CA Health & Wellness,California Health and Wellness,Maternity,10630.12,10955.83,11293.84
1/21-12/21,2021,Regional,Calaveras,CA Health & Wellness,California Health and Wellness,Child,70.78,73.93,77.28
1/21-12/21,2021,Regional,Calaveras,CA Health & Wellness,California Health and Wellness,Adult,301.19,310.12,319.49
1/21-12/21,2021,Regional,Calaveras,CA Health & Wellness,California Health and Wellness,Adult Expansion,386.59,397.55,409.04
1/21-12/21,2021,Regional,Calaveras,CA Health & Wellness,California Health and Wellness,SPD,1085.7,1112.46,1140.39
1/21-12/21,2021,Regional,Calaveras,CA Health & Wellness,California Health and Wellness,SPD Dual,182.43,189.11,196.13
1/21-12/21,2021,Regional,Calaveras,CA Health & Wellness,California Health and Wellness,Maternity,10630.12,10955.83,11293.84
1/21-12/21,2021,Regional,Colusa,CA Health & Wellness,California Health and Wellness,Child,70.78,73.93,77.28
1/21-12/21,2021,Regional,Colusa,CA Health & Wellness,California Health and Wellness,Adult,301.19,310.12,319.49
1/21-12/21,2021,Regional,Colusa,CA Health & Wellness,California Health and Wellness,Adult Expansion,386.59,397.55,409.04
1/21-12/21,2021,Regional,Colusa,CA Health & Wellness,California Health and Wellness,SPD,1085.7,1112.46,1140.39
1/21-12/21,2021,Regional,Colusa,CA Health & Wellness,California Health and Wellness,SPD Dual,182.43,189.11,196.13
1/21-12/21,2021,Regional,Colusa,CA Health & Wellness,California Health and Wellness,Maternity,10630.12,10955.83,11293.84
1/21-12/21,2021,Regional,El Dorado,CA Health & Wellness,California Health and Wellness,Child,70.78,73.93,77.28
1/21-12/21,2021,Regional,El Dorado,CA Health & Wellness,California Health and Wellness,Adult,301.19,310.12,319.49
1/21-12/21,2021,Regional,El Dorado,CA Health & Wellness,California Health and Wellness,Adult Expansion,386.59,397.55,409.04
1/21-12/21,2021,Regional,El Dorado,CA Health & Wellness,California Health and Wellness,SPD,1085.7,1112.46,1140.39
1/21-12/21,2021,Regional,El Dorado,CA Health & Wellness,California Health and Wellness,SPD Dual,182.43,189.11,196.13
1/21-12/21,2021,Regional,El Dorado,CA Health & Wellness,California Health and Wellness,Maternity,10630.12,10955.83,11293.84
1/21-12/21,2021,Regional,Glenn,CA Health & Wellness,California Health and Wellness,Child,70.78,73.93,77.28
1/21-12/21,2021,Regional,Glenn,CA Health & Wellness,California Health and Wellness,Adult,301.19,310.12,319.49
1/21-12/21,2021,Regional,Glenn,CA Health & Wellness,California Health and Wellness,Adult Expansion,386.59,397.55,409.04
1/21-12/21,2021,Regional,Glenn,CA Health & Wellness,California Health and Wellness,SPD,1085.7,1112.46,1140.39
