state_name,state_abbrev,fips_code,is_octave_state,total_population,commercial_population,octave_combined_share,n_octave_payers,has_bcbs_partner,octave_raw_payer_lives,uhc_raw_payer_lives,aetna_raw_payer_lives,cigna_raw_payer_lives,anthem_bcbs_raw_payer_lives,regional_bcbs_raw_payer_lives,network_access_rate,octave_accessible_covered_lives,uhc_accessible_lives,aetna_accessible_lives,cigna_accessible_lives,anthem_bcbs_accessible_lives,regional_bcbs_accessible_lives,raw_penetration_pct,accessible_penetration_pct
Rhode Island,RI,44,False,1095962,769365,0.24,3,False,184647,76936,61549,46161,0,0,0.4,73858,30774,24619,18464,0,0,16.8,6.7
South Carolina,SC,45,True,5373555,3498184,0.26,3,False,909527,419782,279854,209891,0,0,0.4,363810,167912,111941,83956,0,0,16.9,6.8
South Dakota,SD,46,False,919318,651796,0.24,3,False,156431,97769,32589,26071,0,0,0.4,62572,39107,13035,10428,0,0,17.0,6.8
Tennessee,TN,47,True,7126489,4553826,0.4,3,False,1821530,819688,455382,546459,0,0,0.4,728612,327875,182152,218583,0,0,25.6,10.2
Texas,TX,48,True,30503301,19735635,0.4,3,False,7894254,3552414,2368276,1973563,0,0,0.4,3157701,1420965,947310,789425,0,0,25.9,10.4
Utah,UT,49,False,3417734,2522287,0.39,3,False,983691,630571,201782,151337,0,0,0.4,393476,252228,80712,60534,0,0,28.8,11.5
Vermont,VT,50,False,647464,456462,0.19,3,False,86727,45646,22823,18258,0,0,0.4,34690,18258,9129,7303,0,0,13.4,5.4
Virginia,VA,51,True,8642274,6023664,0.6,4,True,3614198,1084259,722839,481893,1325206,0,0.4,1445679,433703,289135,192757,530082,0,41.8,16.7
Washington,WA,53,True,7812880,5492454,0.29,3,False,1592811,823868,439396,329547,0,0,0.4,637124,329547,175758,131818,0,0,20.4,8.2
West Virginia,WV,54,False,1770071,1047882,0.47,4,True,492504,83830,52394,41915,0,314364,0.4,197001,33532,20957,16766,0,125745,27.8,11.1
Wisconsin,WI,55,True,5893718,4137390,0.47,4,True,1944573,744730,330991,248243,620608,0,0.4,777829,297892,132396,99297,248243,0,33.0,13.2
Wyoming,WY,56,False,576851,398604,0.21,3,False,83706,47832,19930,15944,0,0,0.4,33482,19132,7972,6377,0,0,14.5,5.8
