Year,Plan,Region,Reporting Unit,AQFS
2016,HPSJ,Stanislaus,HPSJ - Stanislaus,40.91
2016,HPSM,San Mateo,HPSM - San Mateo,68.64
2016,IEHP,Riverside/San Bernardino,IEHP - Riverside/San Bernardino,60.45
2016,Kaiser,KP North,Kaiser - KP North,95.91
2016,Kaiser,San Diego,Kaiser - San Diego,97.27
2016,Kern,Kern,Kern - Kern,50.0
2016,LA Care,Los Angeles,LA Care - Los Angeles,60.91
2016,Molina,Imperial,Molina - Imperial,48.64
2016,Molina,Riverside/San Bernardino,Molina - Riverside/San Bernardino,44.09
2016,Molina,Sacramento,Molina - Sacramento,52.73
2016,Molina,San Diego,Molina - San Diego,59.09
2016,Partnership,Northeast,Partnership - Northeast,47.73
2016,Partnership,Northwest,Partnership - Northwest,49.55
2016,Partnership,Southeast,Partnership - Southeast,70.45
2016,Partnership,Southwest,Partnership - Southwest,67.27
2016,SCFHP,Santa Clara,SCFHP - Santa Clara,60.0
2016,SFHP,San Francisco,SFHP - San Francisco,87.73
2017,AAH,Alameda,AAH - Alameda,66.11
2017,Anthem,Alameda,Anthem - Alameda,58.33
2017,Anthem,Contra Costa,Anthem - Contra Costa,53.89
2017,Anthem,Fresno,Anthem - Fresno,56.67
2017,Anthem,Kings,Anthem - Kings,57.78
2017,Anthem,Madera,Anthem - Madera,63.33
2017,Anthem,Region 1,Anthem - Region 1,52.22
2017,Anthem,Region 2,Anthem - Region 2,50.0
2017,Anthem,Sacramento,Anthem - Sacramento,53.89
2017,Anthem,San Benito,Anthem - San Benito,47.65
2017,Anthem,San Francisco,Anthem - San Francisco,75.0
2017,Anthem,Santa Clara,Anthem - Santa Clara,68.89
2017,Anthem,Tulare,Anthem - Tulare,72.22
2017,Blue Shield,San Diego,Blue Shield - San Diego,67.78
2017,CalOptima,Orange,CalOptima - Orange,73.33
2017,CalViva,Fresno,CalViva - Fresno,59.44
2017,CalViva,Kings,CalViva - Kings,66.11
2017,CalViva,Madera,CalViva - Madera,58.89
2017,CCAH,Merced,CCAH - Merced,53.33
2017,CCAH,Monterey/Santa Cruz,CCAH - Monterey/Santa Cruz,71.11
2017,CCHP,Contra Costa,CCHP - Contra Costa,72.78
2017,CenCal,San Luis Obispo,CenCal - San Luis Obispo,71.67
2017,CenCal,Santa Barbara,CenCal - Santa Barbara,76.11
2017,CH&W,Imperial,CH&W - Imperial,71.67
2017,CH&W,Region 1,CH&W - Region 1,47.78
2017,CH&W,Region 2,CH&W - Region 2,48.89
2017,CHG,San Diego,CHG - San Diego,71.67
2017,GCHP,Ventura,GCHP - Ventura,43.89
2017,Health Net,Kern,Health Net - Kern,48.89
2017,Health Net,Los Angeles,Health Net - Los Angeles,63.33
2017,Health Net,Sacramento,Health Net - Sacramento,45.0
2017,Health Net,San Diego,Health Net - San Diego,57.22
2017,Health Net,San Joaquin,Health Net - San Joaquin,30.56
2017,Health Net,Stanislaus,Health Net - Stanislaus,48.33
2017,Health Net,Tulare,Health Net - Tulare,64.44
2017,HPSJ,San Joaquin,HPSJ - San Joaquin,38.89
2017,HPSJ,Stanislaus,HPSJ - Stanislaus,42.22
2017,HPSM,San Mateo,HPSM - San Mateo,74.44
2017,IEHP,Riverside/San Bernardino,IEHP - Riverside/San Bernardino,65.0
2017,Kaiser,KP North,Kaiser - KP North,93.33
2017,Kaiser,San Diego,Kaiser - San Diego,97.78
2017,Kern,Kern,Kern - Kern,55.0
2017,LA Care,Los Angeles,LA Care - Los Angeles,66.67
2017,Molina,Imperial,Molina - Imperial,60.56
2017,Molina,Riverside/San Bernardino,Molina - Riverside/San Bernardino,57.22
2017,Molina,Sacramento,Molina - Sacramento,54.44
2017,Molina,San Diego,Molina - San Diego,69.44
2017,Partnership,Northeast,Partnership - Northeast,53.33
2017,Partnership,Northwest,Partnership - Northwest,56.67
2017,Partnership,Southeast,Partnership - Southeast,74.44
2017,Partnership,Southwest,Partnership - Southwest,68.89
2017,SCFHP,Santa Clara,SCFHP - Santa Clara,65.0
2017,SFHP,San Francisco,SFHP - San Francisco,85.0
2018,AAH,Alameda,AAH - Alameda,70.95
2018,Anthem,Alameda,Anthem - Alameda,58.57
2018,Anthem,Contra Costa,Anthem - Contra Costa,61.9
2018,Anthem,Fresno,Anthem - Fresno,52.86
2018,Anthem,Kings,Anthem - Kings,59.05
2018,Anthem,Madera,Anthem - Madera,64.76
2018,Anthem,Region 1,Anthem - Region 1,50.48
2018,Anthem,Region 2,Anthem - Region 2,50.0
2018,Anthem,Sacramento,Anthem - Sacramento,50.48
2018,Anthem,San Benito,Anthem - San Benito,52.38
2018,Anthem,San Francisco,Anthem - San Francisco,66.19
2018,Anthem,Santa Clara,Anthem - Santa Clara,65.24
2018,Anthem,Tulare,Anthem - Tulare,75.71
2018,Blue Shield,San Diego,Blue Shield - San Diego,63.81
2018,CalOptima,Orange,CalOptima - Orange,80.0
2018,CalViva,Fresno,CalViva - Fresno,60.48
2018,CalViva,Kings,CalViva - Kings,67.62
2018,CalViva,Madera,CalViva - Madera,68.57
2018,CCAH,Merced,CCAH - Merced,56.19
2018,CCAH,Monterey/Santa Cruz,CCAH - Monterey/Santa Cruz,81.9
2018,CCHP,Contra Costa,CCHP - Contra Costa,70.95
2018,CenCal,San Luis Obispo,CenCal - San Luis Obispo,76.19
2018,CenCal,Santa Barbara,CenCal - Santa Barbara,81.43
2018,CH&W,Imperial,CH&W - Imperial,73.33
2018,CH&W,Region 1,CH&W - Region 1,48.57
2018,CH&W,Region 2,CH&W - Region 2,47.14
2018,CHG,San Diego,CHG - San Diego,79.05
2018,GCHP,Ventura,GCHP - Ventura,59.52
2018,Health Net,Kern,Health Net - Kern,52.38
2018,Health Net,Los Angeles,Health Net - Los Angeles,65.24
2018,Health Net,Sacramento,Health Net - Sacramento,48.1
2018,Health Net,San Diego,Health Net - San Diego,57.14
2018,Health Net,San Joaquin,Health Net - San Joaquin,38.57
2018,Health Net,Stanislaus,Health Net - Stanislaus,47.14
2018,Health Net,Tulare,Health Net - Tulare,70.0
2018,HPSJ,San Joaquin,HPSJ - San Joaquin,48.1
2018,HPSJ,Stanislaus,HPSJ - Stanislaus,43.33
2018,HPSM,San Mateo,HPSM - San Mateo,81.43
2018,IEHP,Riverside/San Bernardino,IEHP - Riverside/San Bernardino,65.24
2018,Kaiser,KP North,Kaiser - KP North,98.1
2018,Kaiser,San Diego,Kaiser - San Diego,98.1
2018,Kern,Kern,Kern - Kern,61.9
2018,LA Care,Los Angeles,LA Care - Los Angeles,66.67
2018,Molina,Imperial,Molina - Imperial,56.19
2018,Molina,Riverside/San Bernardino,Molina - Riverside/San Bernardino,55.71
2018,Molina,Sacramento,Molina - Sacramento,59.52
2018,Molina,San Diego,Molina - San Diego,75.24
2018,Partnership,Northeast,Partnership - Northeast,47.62
2018,Partnership,Northwest,Partnership - Northwest,49.52
2018,Partnership,Southeast,Partnership - Southeast,78.57
2018,Partnership,Southwest,Partnership - Southwest,67.62
2018,SCFHP,Santa Clara,SCFHP - Santa Clara,68.1
2018,SFHP,San Francisco,SFHP - San Francisco,89.52
2019,AAH,Alameda,AAH - Alameda,72.11
2019,Anthem,Alameda,Anthem - Alameda,54.21
2019,Anthem,Contra Costa,Anthem - Contra Costa,53.16
2019,Anthem,Fresno,Anthem - Fresno,47.37
2019,Anthem,Kings,Anthem - Kings,56.84
2019,Anthem,Madera,Anthem - Madera,66.32
2019,Anthem,Region 1,Anthem - Region 1,43.68
2019,Anthem,Region 2,Anthem - Region 2,44.21
2019,Anthem,Sacramento,Anthem - Sacramento,55.26
2019,Anthem,San Benito,Anthem - San Benito,43.16
2019,Anthem,San Francisco,Anthem - San Francisco,68.42
2019,Anthem,Santa Clara,Anthem - Santa Clara,60.0
2019,Anthem,Tulare,Anthem - Tulare,67.89
2019,Blue Shield,San Diego,Blue Shield - San Diego,58.95
2019,CalOptima,Orange,CalOptima - Orange,74.21
2019,CalViva,Fresno,CalViva - Fresno,50.0
2019,CalViva,Kings,CalViva - Kings,63.16
2019,CalViva,Madera,CalViva - Madera,73.68
2019,CCAH,Merced,CCAH - Merced,54.21
2019,CCAH,Monterey/Santa Cruz,CCAH - Monterey/Santa Cruz,80.53
2019,CCHP,Contra Costa,CCHP - Contra Costa,75.26
2019,CenCal,San Luis Obispo,CenCal - San Luis Obispo,75.79
2019,CenCal,Santa Barbara,CenCal - Santa Barbara,80.0
2019,CH&W,Imperial,CH&W - Imperial,68.42
2019,CH&W,Region 1,CH&W - Region 1,39.47
2019,CH&W,Region 2,CH&W - Region 2,37.89
2019,CHG,San Diego,CHG - San Diego,85.79
2019,GCHP,Ventura,GCHP - Ventura,67.37
2019,Health Net,Kern,Health Net - Kern,50.0
2019,Health Net,Los Angeles,Health Net - Los Angeles,62.63
2019,Health Net,Sacramento,Health Net - Sacramento,53.16
2019,Health Net,San Diego,Health Net - San Diego,59.47
2019,Health Net,San Joaquin,Health Net - San Joaquin,37.89
2019,Health Net,Stanislaus,Health Net - Stanislaus,50.0
2019,Health Net,Tulare,Health Net - Tulare,71.58
2019,HPSJ,San Joaquin,HPSJ - San Joaquin,49.47
2019,HPSJ,Stanislaus,HPSJ - Stanislaus,48.42
2019,HPSM,San Mateo,HPSM - San Mateo,76.32
2019,IEHP,Riverside/San Bernardino,IEHP - Riverside/San Bernardino,66.84
2019,Kaiser,KP North,Kaiser - KP North,94.74
2019,Kaiser,San Diego,Kaiser - San Diego,92.63
2019,Kern,Kern,Kern - Kern,57.37
2019,LA Care,Los Angeles,LA Care - Los Angeles,66.84
2019,Molina,Imperial,Molina - Imperial,61.58
2019,Molina,Riverside/San Bernardino,Molina - Riverside/San Bernardino,52.11
2019,Molina,Sacramento,Molina - Sacramento,46.84
2019,Molina,San Diego,Molina - San Diego,68.95
2019,Partnership,Northeast,Partnership - Northeast,51.05
2019,Partnership,Northwest,Partnership - Northwest,45.79
2019,Partnership,Southeast,Partnership - Southeast,78.42
2019,Partnership,Southwest,Partnership - Southwest,73.16
2019,SCFHP,Santa Clara,SCFHP - Santa Clara,65.79
2019,SFHP,San Francisco,SFHP - San Francisco,86.32
2020,AAH,Alameda,AAH - Alameda,78.89
2020,Aetna,Sacramento,Aetna - Sacramento,31.33
2020,Aetna,San Diego,Aetna - San Diego,31.88
2020,Anthem,Alameda,Anthem - Alameda,53.89
2020,Anthem,Contra Costa,Anthem - Contra Costa,53.89
2020,Anthem,Fresno,Anthem - Fresno,42.22
2020,Anthem,Kings,Anthem - Kings,52.22
2020,Anthem,Madera,Anthem - Madera,54.44
2020,Anthem,Region 1,Anthem - Region 1,46.67
