Weight
255
200
214
201
308
210
222
191
205
219
185
203
207
203
211
230
187
194
204
210
195
195
205
205
207
225
224
188
202
170
180
214
224
190
200
196
192
240
242
240
220
190
238
251
208
243
261
272
235
245
260
235
261
223
327
305
304
300
332
291
315
335
320
315
320
311
308
311
321
309
331
250
255
243
260
230
200
255
312
289
270
310
280
255
324
