Weight
300
208
218
210
226
240
225
174
235
225
231
209
183
211
215
198
186
195
195
206
210
205
208
228
189
214
205
205
198
215
206
190
211
190
195
237
238
240
347
246
240
233
307
253
250
307
323
325
312
305
319
312
306
298
307
318
338
320
270
251
186
256
245
170
255
268
239
205
275
290
281
313
308
295
310
247
271
