Month,Measure Category,Measure Type,Sex,Count
202306,Eligibility,Member Months,Male,"6,639,806"
202306,New Enrollments,New Enrollments,Male,0
202306,State Fair Hearings,State Fair Hearings,Male,78
202306,Utilization,Emergency Room Visits,Male,"269,418"
202306,Utilization,Emergency Room Visits with an Inpatient Admission,Male,"25,990"
202306,Utilization,Inpatient Admissions,Male,"75,555"
202306,Utilization,Mild to Moderate Mental Health Visits,Male,"171,170"
202306,Utilization,Outpatient Visits,Male,"5,880,818"
202306,Utilization,Prescriptions,Male,"3,649,351"
202307,Eligibility,Member Months,Female,"7,496,098"
202307,New Enrollments,New Enrollments,Female,0
202307,State Fair Hearings,State Fair Hearings,Female,105
202307,Utilization,Emergency Room Visits,Female,"335,046"
202307,Utilization,Emergency Room Visits with an Inpatient Admission,Female,"25,381"
202307,Utilization,Inpatient Admissions,Female,"93,501"
202307,Utilization,Mild to Moderate Mental Health Visits,Female,"382,214"
202307,Utilization,Outpatient Visits,Female,"7,870,832"
202307,Utilization,Prescriptions,Female,"5,237,298"
202307,Eligibility,Member Months,Male,"6,615,799"
202307,New Enrollments,New Enrollments,Male,0
202307,State Fair Hearings,State Fair Hearings,Male,83
202307,Utilization,Emergency Room Visits,Male,"266,987"
202307,Utilization,Emergency Room Visits with an Inpatient Admission,Male,"25,663"
202307,Utilization,Inpatient Admissions,Male,"70,665"
202307,Utilization,Mild to Moderate Mental Health Visits,Male,"180,096"
202307,Utilization,Outpatient Visits,Male,"5,390,403"
202307,Utilization,Prescriptions,Male,"3,448,792"
202308,Eligibility,Member Months,Female,"7,485,531"
202308,New Enrollments,New Enrollments,Female,0
202308,State Fair Hearings,State Fair Hearings,Female,90
202308,Utilization,Emergency Room Visits,Female,"341,536"
202308,Utilization,Emergency Room Visits with an Inpatient Admission,Female,"24,949"
202308,Utilization,Inpatient Admissions,Female,"90,799"
202308,Utilization,Mild to Moderate Mental Health Visits,Female,"440,297"
202308,Utilization,Outpatient Visits,Female,"8,746,675"
202308,Utilization,Prescriptions,Female,"5,757,151"
202308,Eligibility,Member Months,Male,"6,609,636"
202308,New Enrollments,New Enrollments,Male,0
202308,State Fair Hearings,State Fair Hearings,Male,83
202308,Utilization,Emergency Room Visits,Male,"270,584"
202308,Utilization,Emergency Room Visits with an Inpatient Admission,Male,"24,639"
202308,Utilization,Inpatient Admissions,Male,"67,661"
202308,Utilization,Mild to Moderate Mental Health Visits,Male,"204,151"
202308,Utilization,Outpatient Visits,Male,"6,006,437"
202308,Utilization,Prescriptions,Male,"3,789,966"
202309,Eligibility,Member Months,Female,"7,390,322"
202309,New Enrollments,New Enrollments,Female,0
202309,State Fair Hearings,State Fair Hearings,Female,99
202309,Utilization,Emergency Room Visits,Female,"327,515"
202309,Utilization,Emergency Room Visits with an Inpatient Admission,Female,"23,247"
202309,Utilization,Inpatient Admissions,Female,"83,894"
202309,Utilization,Mild to Moderate Mental Health Visits,Female,"384,516"
202309,Utilization,Outpatient Visits,Female,"8,064,271"
202309,Utilization,Prescriptions,Female,"5,427,085"
202309,Eligibility,Member Months,Male,"6,512,914"
202309,New Enrollments,New Enrollments,Male,0
202309,State Fair Hearings,State Fair Hearings,Male,72
202309,Utilization,Emergency Room Visits,Male,"262,829"
202309,Utilization,Emergency Room Visits with an Inpatient Admission,Male,"22,847"
202309,Utilization,Inpatient Admissions,Male,"61,013"
202309,Utilization,Mild to Moderate Mental Health Visits,Male,"179,449"
202309,Utilization,Outpatient Visits,Male,"5,663,806"
202309,Utilization,Prescriptions,Male,"3,588,655"
202310,Eligibility,Member Months,Female,"7,325,946"
202310,New Enrollments,New Enrollments,Female,0
202310,State Fair Hearings,State Fair Hearings,Female,103
202310,Utilization,Emergency Room Visits,Female,"324,437"
202310,Utilization,Emergency Room Visits with an Inpatient Admission,Female,"23,150"
202310,Utilization,Inpatient Admissions,Female,"82,733"
202310,Utilization,Mild to Moderate Mental Health Visits,Female,"396,850"
202310,Utilization,Outpatient Visits,Female,"8,362,752"
202310,Utilization,Prescriptions,Female,"5,750,191"
202310,Eligibility,Member Months,Male,"6,449,930"
202310,New Enrollments,New Enrollments,Male,0
202310,State Fair Hearings,State Fair Hearings,Male,61
202310,Utilization,Emergency Room Visits,Male,"262,731"
202310,Utilization,Emergency Room Visits with an Inpatient Admission,Male,"22,947"
202310,Utilization,Inpatient Admissions,Male,"60,421"
202310,Utilization,Mild to Moderate Mental Health Visits,Male,"184,842"
202310,Utilization,Outpatient Visits,Male,"5,818,189"
202310,Utilization,Prescriptions,Male,"3,836,138"
202311,Eligibility,Member Months,Female,"7,248,229"
202311,New Enrollments,New Enrollments,Female,0
202311,State Fair Hearings,State Fair Hearings,Female,68
202311,Utilization,Emergency Room Visits,Female,"305,236"
202311,Utilization,Emergency Room Visits with an Inpatient Admission,Female,"20,504"
202311,Utilization,Inpatient Admissions,Female,"72,747"
202311,Utilization,Mild to Moderate Mental Health Visits,Female,"350,110"
202311,Utilization,Outpatient Visits,Female,"7,550,013"
202311,Utilization,Prescriptions,Female,"5,616,601"
202311,Eligibility,Member Months,Male,"6,376,382"
202311,New Enrollments,New Enrollments,Male,0
202311,State Fair Hearings,State Fair Hearings,Male,52
202311,Utilization,Emergency Room Visits,Male,"244,368"
202311,Utilization,Emergency Room Visits with an Inpatient Admission,Male,"20,554"
202311,Utilization,Inpatient Admissions,Male,"52,800"
202311,Utilization,Mild to Moderate Mental Health Visits,Male,"158,559"
202311,Utilization,Outpatient Visits,Male,"5,183,912"
202311,Utilization,Prescriptions,Male,"3,741,789"
202312,Eligibility,Member Months,Female,"7,175,969"
202312,New Enrollments,New Enrollments,Female,0
202312,State Fair Hearings,State Fair Hearings,Female,56
202312,Utilization,Emergency Room Visits,Female,"271,438"
202312,Utilization,Emergency Room Visits with an Inpatient Admission,Female,"15,376"
202312,Utilization,Inpatient Admissions,Female,"53,597"
202312,Utilization,Mild to Moderate Mental Health Visits,Female,"270,253"
202312,Utilization,Outpatient Visits,Female,"6,299,857"
202312,Utilization,Prescriptions,Female,"5,583,791"
202312,Eligibility,Member Months,Male,"6,303,403"
202312,New Enrollments,New Enrollments,Male,0
202312,State Fair Hearings,State Fair Hearings,Male,47
202312,Utilization,Emergency Room Visits,Male,"217,601"
202312,Utilization,Emergency Room Visits with an Inpatient Admission,Male,"15,185"
202312,Utilization,Inpatient Admissions,Male,"38,098"
202312,Utilization,Mild to Moderate Mental Health Visits,Male,"122,105"
202312,Utilization,Outpatient Visits,Male,"4,285,179"
202312,Utilization,Prescriptions,Male,"3,743,959"
