Month,Measure Category,Measure Type,Population Type,Count
202309,Utilization,Mild to Moderate Mental Health Visits,MO-ACA,"230,378"
202309,Utilization,Outpatient Visits,MO-ACA,"3,572,396"
202309,Utilization,Prescriptions,MO-ACA,"3,814,521"
202309,Eligibility,Member Months,MO-Other,"5,705,540"
202309,New Enrollments,New Enrollments,MO-Other,0
202309,State Fair Hearings,State Fair Hearings,MO-Other,41
202309,Utilization,Emergency Room Visits,MO-Other,"230,009"
202309,Utilization,Emergency Room Visits with an Inpatient Admission,MO-Other,"9,558"
202309,Utilization,Inpatient Admissions,MO-Other,"29,557"
202309,Utilization,Mild to Moderate Mental Health Visits,MO-Other,"196,250"
202309,Utilization,Outpatient Visits,MO-Other,"4,124,204"
202309,Utilization,Prescriptions,MO-Other,"2,486,672"
202309,Eligibility,Member Months,MO-OTLIC,"1,246,117"
202309,New Enrollments,New Enrollments,MO-OTLIC,0
202309,State Fair Hearings,State Fair Hearings,MO-OTLIC,1
202309,Utilization,Emergency Room Visits,MO-OTLIC,"30,103"
202309,Utilization,Emergency Room Visits with an Inpatient Admission,MO-OTLIC,728
202309,Utilization,Inpatient Admissions,MO-OTLIC,"1,837"
202309,Utilization,Mild to Moderate Mental Health Visits,MO-OTLIC,"39,253"
202309,Utilization,Outpatient Visits,MO-OTLIC,"689,721"
202309,Utilization,Prescriptions,MO-OTLIC,"293,959"
202309,Eligibility,Member Months,MO-SPD,"684,108"
202309,New Enrollments,New Enrollments,MO-SPD,0
202309,State Fair Hearings,State Fair Hearings,MO-SPD,33
202309,Utilization,Emergency Room Visits,MO-SPD,"55,492"
202309,Utilization,Emergency Room Visits with an Inpatient Admission,MO-SPD,"8,020"
202309,Utilization,Inpatient Admissions,MO-SPD,"17,355"
202309,Utilization,Mild to Moderate Mental Health Visits,MO-SPD,"45,162"
202309,Utilization,Outpatient Visits,MO-SPD,"1,948,639"
202309,Utilization,Prescriptions,MO-SPD,"1,725,447"
202310,Eligibility,Member Months,Dual,"1,633,462"
202310,New Enrollments,New Enrollments,Dual,0
202310,State Fair Hearings,State Fair Hearings,Dual,34
202310,Utilization,Emergency Room Visits,Dual,"72,339"
202310,Utilization,Emergency Room Visits with an Inpatient Admission,Dual,"11,541"
202310,Utilization,Inpatient Admissions,Dual,"62,548"
202310,Utilization,Mild to Moderate Mental Health Visits,Dual,"54,517"
202310,Utilization,Outpatient Visits,Dual,"3,481,273"
202310,Utilization,Prescriptions,Dual,"723,532"
202310,Eligibility,Member Months,Invalid,0
202310,New Enrollments,New Enrollments,Invalid,0
202310,State Fair Hearings,State Fair Hearings,Invalid,0
202310,Utilization,Emergency Room Visits,Invalid,0
202310,Utilization,Emergency Room Visits with an Inpatient Admission,Invalid,0
202310,Utilization,Inpatient Admissions,Invalid,0
202310,Utilization,Mild to Moderate Mental Health Visits,Invalid,0
202310,Utilization,Outpatient Visits,Invalid,0
202310,Utilization,Prescriptions,Invalid,0
202310,Eligibility,Member Months,MO-ACA,"4,568,328"
202310,New Enrollments,New Enrollments,MO-ACA,0
202310,State Fair Hearings,State Fair Hearings,MO-ACA,55
202310,Utilization,Emergency Room Visits,MO-ACA,"196,576"
202310,Utilization,Emergency Room Visits with an Inpatient Admission,MO-ACA,"15,914"
202310,Utilization,Inpatient Admissions,MO-ACA,"31,892"
202310,Utilization,Mild to Moderate Mental Health Visits,MO-ACA,"242,621"
202310,Utilization,Outpatient Visits,MO-ACA,"3,744,564"
202310,Utilization,Prescriptions,MO-ACA,"4,054,375"
202310,Eligibility,Member Months,MO-Other,"5,653,120"
202310,New Enrollments,New Enrollments,MO-Other,0
202310,State Fair Hearings,State Fair Hearings,MO-Other,36
202310,Utilization,Emergency Room Visits,MO-Other,"231,687"
202310,Utilization,Emergency Room Visits with an Inpatient Admission,MO-Other,"9,612"
202310,Utilization,Inpatient Admissions,MO-Other,"29,045"
202310,Utilization,Mild to Moderate Mental Health Visits,MO-Other,"200,144"
202310,Utilization,Outpatient Visits,MO-Other,"4,260,170"
202310,Utilization,Prescriptions,MO-Other,"2,662,630"
202310,Eligibility,Member Months,MO-OTLIC,"1,240,865"
202310,New Enrollments,New Enrollments,MO-OTLIC,0
202310,State Fair Hearings,State Fair Hearings,MO-OTLIC,1
202310,Utilization,Emergency Room Visits,MO-OTLIC,"30,526"
202310,Utilization,Emergency Room Visits with an Inpatient Admission,MO-OTLIC,733
202310,Utilization,Inpatient Admissions,MO-OTLIC,"1,756"
202310,Utilization,Mild to Moderate Mental Health Visits,MO-OTLIC,"40,065"
202310,Utilization,Outpatient Visits,MO-OTLIC,"711,764"
202310,Utilization,Prescriptions,MO-OTLIC,"316,954"
202310,Eligibility,Member Months,MO-SPD,"680,101"
202310,New Enrollments,New Enrollments,MO-SPD,0
202310,State Fair Hearings,State Fair Hearings,MO-SPD,38
202310,Utilization,Emergency Room Visits,MO-SPD,"56,040"
202310,Utilization,Emergency Room Visits with an Inpatient Admission,MO-SPD,"8,297"
202310,Utilization,Inpatient Admissions,MO-SPD,"17,913"
202310,Utilization,Mild to Moderate Mental Health Visits,MO-SPD,"44,345"
202310,Utilization,Outpatient Visits,MO-SPD,"1,983,170"
202310,Utilization,Prescriptions,MO-SPD,"1,828,838"
202311,Eligibility,Member Months,Dual,"1,622,663"
202311,New Enrollments,New Enrollments,Dual,0
202311,State Fair Hearings,State Fair Hearings,Dual,30
202311,Utilization,Emergency Room Visits,Dual,"58,908"
202311,Utilization,Emergency Room Visits with an Inpatient Admission,Dual,"9,647"
202311,Utilization,Inpatient Admissions,Dual,"54,868"
202311,Utilization,Mild to Moderate Mental Health Visits,Dual,"45,828"
202311,Utilization,Outpatient Visits,Dual,"3,156,963"
202311,Utilization,Prescriptions,Dual,"719,938"
202311,Eligibility,Member Months,Invalid,0
202311,New Enrollments,New Enrollments,Invalid,0
202311,State Fair Hearings,State Fair Hearings,Invalid,0
202311,Utilization,Emergency Room Visits,Invalid,0
202311,Utilization,Emergency Room Visits with an Inpatient Admission,Invalid,0
202311,Utilization,Inpatient Admissions,Invalid,0
202311,Utilization,Mild to Moderate Mental Health Visits,Invalid,0
202311,Utilization,Outpatient Visits,Invalid,0
202311,Utilization,Prescriptions,Invalid,0
202311,Eligibility,Member Months,MO-ACA,"4,508,678"
202311,New Enrollments,New Enrollments,MO-ACA,0
202311,State Fair Hearings,State Fair Hearings,MO-ACA,38
202311,Utilization,Emergency Room Visits,MO-ACA,"182,089"
202311,Utilization,Emergency Room Visits with an Inpatient Admission,MO-ACA,"14,267"
202311,Utilization,Inpatient Admissions,MO-ACA,"27,703"
202311,Utilization,Mild to Moderate Mental Health Visits,MO-ACA,"222,593"
202311,Utilization,Outpatient Visits,MO-ACA,"3,351,410"
202311,Utilization,Prescriptions,MO-ACA,"3,879,426"
202311,Eligibility,Member Months,MO-Other,"5,582,278"
202311,New Enrollments,New Enrollments,MO-Other,0
202311,State Fair Hearings,State Fair Hearings,MO-Other,17
202311,Utilization,Emergency Room Visits,MO-Other,"227,188"
202311,Utilization,Emergency Room Visits with an Inpatient Admission,MO-Other,"8,856"
202311,Utilization,Inpatient Admissions,MO-Other,"25,644"
202311,Utilization,Mild to Moderate Mental Health Visits,MO-Other,"169,585"
202311,Utilization,Outpatient Visits,MO-Other,"3,811,220"
202311,Utilization,Prescriptions,MO-Other,"2,667,407"
202311,Eligibility,Member Months,MO-OTLIC,"1,234,990"
202311,New Enrollments,New Enrollments,MO-OTLIC,0
202311,State Fair Hearings,State Fair Hearings,MO-OTLIC,3
202311,Utilization,Emergency Room Visits,MO-OTLIC,"29,455"
202311,Utilization,Emergency Room Visits with an Inpatient Admission,MO-OTLIC,652
202311,Utilization,Inpatient Admissions,MO-OTLIC,"1,409"
202311,Utilization,Mild to Moderate Mental Health Visits,MO-OTLIC,"32,955"
202311,Utilization,Outpatient Visits,MO-OTLIC,"633,621"
202311,Utilization,Prescriptions,MO-OTLIC,"334,187"
202311,Eligibility,Member Months,MO-SPD,"676,002"
202311,New Enrollments,New Enrollments,MO-SPD,0
202311,State Fair Hearings,State Fair Hearings,MO-SPD,32
202311,Utilization,Emergency Room Visits,MO-SPD,"51,964"
202311,Utilization,Emergency Room Visits with an Inpatient Admission,MO-SPD,"7,636"
202311,Utilization,Inpatient Admissions,MO-SPD,"15,923"
202311,Utilization,Mild to Moderate Mental Health Visits,MO-SPD,"37,708"
202311,Utilization,Outpatient Visits,MO-SPD,"1,780,711"
202311,Utilization,Prescriptions,MO-SPD,"1,757,432"
202312,Eligibility,Member Months,Dual,"1,612,860"
202312,New Enrollments,New Enrollments,Dual,0
202312,State Fair Hearings,State Fair Hearings,Dual,19
202312,Utilization,Emergency Room Visits,Dual,"43,347"
202312,Utilization,Emergency Room Visits with an Inpatient Admission,Dual,"5,983"
202312,Utilization,Inpatient Admissions,Dual,"36,196"
202312,Utilization,Mild to Moderate Mental Health Visits,Dual,"31,346"
202312,Utilization,Outpatient Visits,Dual,"2,586,384"
202312,Utilization,Prescriptions,Dual,"733,513"
202312,Eligibility,Member Months,Invalid,0
202312,New Enrollments,New Enrollments,Invalid,0
202312,State Fair Hearings,State Fair Hearings,Invalid,0
202312,Utilization,Emergency Room Visits,Invalid,0
202312,Utilization,Emergency Room Visits with an Inpatient Admission,Invalid,0
202312,Utilization,Inpatient Admissions,Invalid,0
202312,Utilization,Mild to Moderate Mental Health Visits,Invalid,0
202312,Utilization,Outpatient Visits,Invalid,0
202312,Utilization,Prescriptions,Invalid,0
202312,Eligibility,Member Months,MO-ACA,"4,445,733"
202312,New Enrollments,New Enrollments,MO-ACA,0
202312,State Fair Hearings,State Fair Hearings,MO-ACA,43
202312,Utilization,Emergency Room Visits,MO-ACA,"163,516"
202312,Utilization,Emergency Room Visits with an Inpatient Admission,MO-ACA,"11,002"
202312,Utilization,Inpatient Admissions,MO-ACA,"21,319"
202312,Utilization,Mild to Moderate Mental Health Visits,MO-ACA,"175,701"
202312,Utilization,Outpatient Visits,MO-ACA,"2,824,283"
202312,Utilization,Prescriptions,MO-ACA,"3,844,116"
202312,Eligibility,Member Months,MO-Other,"5,520,971"
202312,New Enrollments,New Enrollments,MO-Other,0
202312,State Fair Hearings,State Fair Hearings,MO-Other,19
202312,Utilization,Emergency Room Visits,MO-Other,"208,907"
202312,Utilization,Emergency Room Visits with an Inpatient Admission,MO-Other,"7,065"
202312,Utilization,Inpatient Admissions,MO-Other,"20,515"
202312,Utilization,Mild to Moderate Mental Health Visits,MO-Other,"130,315"
202312,Utilization,Outpatient Visits,MO-Other,"3,167,062"
202312,Utilization,Prescriptions,MO-Other,"2,674,179"
202312,Eligibility,Member Months,MO-OTLIC,"1,227,487"
202312,New Enrollments,New Enrollments,MO-OTLIC,0
202312,State Fair Hearings,State Fair Hearings,MO-OTLIC,3
202312,Utilization,Emergency Room Visits,MO-OTLIC,"27,535"
202312,Utilization,Emergency Room Visits with an Inpatient Admission,MO-OTLIC,565
202312,Utilization,Inpatient Admissions,MO-OTLIC,"1,181"
202312,Utilization,Mild to Moderate Mental Health Visits,MO-OTLIC,"25,041"
202312,Utilization,Outpatient Visits,MO-OTLIC,"522,087"
202312,Utilization,Prescriptions,MO-OTLIC,"347,440"
202312,Eligibility,Member Months,MO-SPD,"672,321"
202312,New Enrollments,New Enrollments,MO-SPD,0
202312,State Fair Hearings,State Fair Hearings,MO-SPD,19
202312,Utilization,Emergency Room Visits,MO-SPD,"45,734"
202312,Utilization,Emergency Room Visits with an Inpatient Admission,MO-SPD,"5,946"
202312,Utilization,Inpatient Admissions,MO-SPD,"12,484"
202312,Utilization,Mild to Moderate Mental Health Visits,MO-SPD,"29,955"
202312,Utilization,Outpatient Visits,MO-SPD,"1,485,220"
202312,Utilization,Prescriptions,MO-SPD,"1,728,502"
