Month,Measure Category,Measure Type,Population Type,Count
202302,State Fair Hearings,State Fair Hearings,MO-OTLIC,4
202302,Utilization,Emergency Room Visits,MO-OTLIC,"28,673"
202302,Utilization,Emergency Room Visits with an Inpatient Admission,MO-OTLIC,842
202302,Utilization,Inpatient Admissions,MO-OTLIC,"3,587"
202302,Utilization,Mild to Moderate Mental Health Visits,MO-OTLIC,"32,781"
202302,Utilization,Outpatient Visits,MO-OTLIC,"749,523"
202302,Utilization,Prescriptions,MO-OTLIC,"303,918"
202302,Eligibility,Member Months,MO-SPD,"691,060"
202302,New Enrollments,New Enrollments,MO-SPD,0
202302,State Fair Hearings,State Fair Hearings,MO-SPD,52
202302,Utilization,Emergency Room Visits,MO-SPD,"53,504"
202302,Utilization,Emergency Room Visits with an Inpatient Admission,MO-SPD,"9,176"
202302,Utilization,Inpatient Admissions,MO-SPD,"21,462"
202302,Utilization,Mild to Moderate Mental Health Visits,MO-SPD,"38,695"
202302,Utilization,Outpatient Visits,MO-SPD,"2,022,949"
202302,Utilization,Prescriptions,MO-SPD,"1,680,490"
202303,Eligibility,Member Months,Dual,"1,630,788"
202303,New Enrollments,New Enrollments,Dual,0
202303,State Fair Hearings,State Fair Hearings,Dual,93
202303,Utilization,Emergency Room Visits,Dual,"88,524"
202303,Utilization,Emergency Room Visits with an Inpatient Admission,Dual,"14,302"
202303,Utilization,Inpatient Admissions,Dual,"73,895"
202303,Utilization,Mild to Moderate Mental Health Visits,Dual,"65,292"
202303,Utilization,Outpatient Visits,Dual,"3,604,986"
202303,Utilization,Prescriptions,Dual,"715,294"
202303,Eligibility,Member Months,Invalid,0
202303,New Enrollments,New Enrollments,Invalid,0
202303,State Fair Hearings,State Fair Hearings,Invalid,0
202303,Utilization,Emergency Room Visits,Invalid,0
202303,Utilization,Emergency Room Visits with an Inpatient Admission,Invalid,0
202303,Utilization,Inpatient Admissions,Invalid,0
202303,Utilization,Mild to Moderate Mental Health Visits,Invalid,0
202303,Utilization,Outpatient Visits,Invalid,0
202303,Utilization,Prescriptions,Invalid,0
202303,Eligibility,Member Months,MO-ACA,"4,614,284"
202303,New Enrollments,New Enrollments,MO-ACA,0
202303,State Fair Hearings,State Fair Hearings,MO-ACA,67
202303,Utilization,Emergency Room Visits,MO-ACA,"204,719"
202303,Utilization,Emergency Room Visits with an Inpatient Admission,MO-ACA,"18,529"
202303,Utilization,Inpatient Admissions,MO-ACA,"42,919"
202303,Utilization,Mild to Moderate Mental Health Visits,MO-ACA,"246,849"
202303,Utilization,Outpatient Visits,MO-ACA,"4,305,153"
202303,Utilization,Prescriptions,MO-ACA,"4,043,282"
202303,Eligibility,Member Months,MO-Other,"5,738,543"
202303,New Enrollments,New Enrollments,MO-Other,0
202303,State Fair Hearings,State Fair Hearings,MO-Other,32
202303,Utilization,Emergency Room Visits,MO-Other,"246,579"
202303,Utilization,Emergency Room Visits with an Inpatient Admission,MO-Other,"11,039"
202303,Utilization,Inpatient Admissions,MO-Other,"40,989"
202303,Utilization,Mild to Moderate Mental Health Visits,MO-Other,"194,440"
202303,Utilization,Outpatient Visits,MO-Other,"5,068,173"
202303,Utilization,Prescriptions,MO-Other,"2,798,073"
202303,Eligibility,Member Months,MO-OTLIC,"1,250,984"
202303,New Enrollments,New Enrollments,MO-OTLIC,0
202303,State Fair Hearings,State Fair Hearings,MO-OTLIC,3
202303,Utilization,Emergency Room Visits,MO-OTLIC,"31,788"
202303,Utilization,Emergency Room Visits with an Inpatient Admission,MO-OTLIC,857
202303,Utilization,Inpatient Admissions,MO-OTLIC,"3,799"
202303,Utilization,Mild to Moderate Mental Health Visits,MO-OTLIC,"38,843"
202303,Utilization,Outpatient Visits,MO-OTLIC,"848,765"
202303,Utilization,Prescriptions,MO-OTLIC,"338,606"
202303,Eligibility,Member Months,MO-SPD,"691,807"
202303,New Enrollments,New Enrollments,MO-SPD,0
202303,State Fair Hearings,State Fair Hearings,MO-SPD,54
202303,Utilization,Emergency Room Visits,MO-SPD,"58,919"
202303,Utilization,Emergency Room Visits with an Inpatient Admission,MO-SPD,"9,890"
202303,Utilization,Inpatient Admissions,MO-SPD,"23,396"
202303,Utilization,Mild to Moderate Mental Health Visits,MO-SPD,"44,659"
202303,Utilization,Outpatient Visits,MO-SPD,"2,252,187"
202303,Utilization,Prescriptions,MO-SPD,"1,883,179"
