Quarter,Grievance Type Roll-up,Grievance Type,Grievances (PACES)
2023Q3,Coverage,Denial of Request to Dispute Financial Liability,"9,761"
2023Q3,Coverage,Eligibility,"2,606"
2023Q3,Coverage,Enrollment,"4,406"
2023Q3,Coverage,Provider Balance Billing,"5,500"
2023Q3,Coverage,Provider Direct Member Billing,"1,114"
2023Q3,Quality of Care,Inappropriate Care,"4,135"
2023Q3,Quality of Care,LTC (Long Term Care) -Facility/Provider grievances,53
2023Q3,Quality of Care,Quality of Care,"11,071"
2023Q3,Quality of Service,Case Management / Care Coordination,"13,860"
2023Q3,Quality of Service,LTC (Long Term Care) - Other,12
2023Q3,Quality of Service,Member Informing Materials,"2,516"
2023Q3,Quality of Service,Plan Customer Service,"13,971"
2023Q3,Quality of Service,Provider / Staff Attitude,"22,159"
2023Q3,Quality of Service,Technology / Telephone,"5,404"
2023Q3,Referral,Out-of-Network,739
2023Q3,Referral,Referral,"7,219"
2023Q3,Transportation,Driver Punctuality,"3,925"
2023Q3,Transportation,Injury,383
2023Q3,Transportation,LTC (Long Term Care) -Transportation,34
2023Q3,Transportation,Scheduling,901
2023Q3,Transportation,Vehicle,688
2023Q4,Access to Care,Barriers / Impeded Access to Labor And Delivery Doula Services,2
2023Q4,Access to Care,Barriers / Impeded Access to Postpartum Doula Services,0
2023Q4,Access to Care,Barriers / Impeded Access to Prenatal Doula Services,0
2023Q4,Access to Care,Continuity Of Care,855
2023Q4,Access to Care,Geographic Access,"1,259"
2023Q4,Access to Care,Language Access,662
2023Q4,Access to Care,LTC (Long Term Care) -Timely Access,22
2023Q4,Access to Care,Physical Access,788
2023Q4,Access to Care,Provider Availability,"14,218"
2023Q4,Access to Care,Rural Member Denied Out of Network Request,0
2023Q4,Access to Care,Timely Access,"11,605"
2023Q4,Access to Care,Transportation,0
2023Q4,Compliance,Abuse / Neglect / Exploitation,109
2023Q4,Compliance,Assault / Harassment,151
2023Q4,Compliance,Authorization,"5,272"
2023Q4,Compliance,Disability Discrimination,114
2023Q4,Compliance,Discrimination,"1,095"
2023Q4,Compliance,Expedited Appeal Request Denied,13
2023Q4,Compliance,Fraud / Waste / Abuse,264
2023Q4,Compliance,PHI / Confidentiality / HIPAA,467
2023Q4,Compliance,Plan's Failure to Meet Timeframes for Resolution,21
2023Q4,Compliance,Plan's Reduction / Suspension / Termination of Previously Authorized Service,7
2023Q4,Compliance,Timely Response To Auth / Appeal Request,871
2023Q4,Coverage,Billing,0
2023Q4,Coverage,Denial of Payment Request,"3,227"
2023Q4,Coverage,Denial of Request to Dispute Financial Liability,"5,332"
2023Q4,Coverage,Eligibility,"2,735"
2023Q4,Coverage,Enrollment,"3,138"
2023Q4,Coverage,Provider Balance Billing,"5,450"
2023Q4,Coverage,Provider Direct Member Billing,"1,182"
2023Q4,Quality of Care,Inappropriate Care,"3,646"
2023Q4,Quality of Care,LTC (Long Term Care) -Facility/Provider grievances,74
2023Q4,Quality of Care,Quality of Care,"9,621"
2023Q4,Quality of Service,Case Management / Care Coordination,"12,087"
2023Q4,Quality of Service,LTC (Long Term Care) - Other,6
2023Q4,Quality of Service,Member Informing Materials,"2,611"
2023Q4,Quality of Service,Plan Customer Service,"11,508"
2023Q4,Quality of Service,Provider / Staff Attitude,"17,828"
2023Q4,Quality of Service,Technology / Telephone,"4,662"
2023Q4,Referral,Out-of-Network,587
2023Q4,Referral,Referral,"5,781"
2023Q4,Transportation,Driver Punctuality,"3,989"
2023Q4,Transportation,Injury,81
2023Q4,Transportation,LTC (Long Term Care) -Transportation,39
2023Q4,Transportation,Scheduling,"1,007"
2023Q4,Transportation,Vehicle,577
