Source,Target,Edge_Count,Shared_Patients
Gynecology,Allergy & Immunology,21,367
Gynecology,Chiropractor,21,408
Gynecologic Oncology,Emergency Medicine,21,480
Obstetrics & Gynecology,"Spec/Tech, Pathology",21,304
Gynecology,Pain Medicine,20,359
Gynecology,Neurological Surgery,20,301
Obstetrics & Gynecology,Thoracic Surgery (Cardiothoracic Vascular Surgery),20,396
Female Pelvic Medicine and Reconstructive Surgery,Orthopaedic Surgery,20,262
Hospice and Palliative Medicine,Emergency Medicine,18,275
Gynecology,Physical Therapist,18,265
Obstetrics & Gynecology,General Acute Care Hospital,18,337
Obstetrics & Gynecology,Clinic/Center,17,542
Gynecology,Unknown,17,294
Gynecologic Oncology,Clinical Nurse Specialist,16,725
Maternal & Fetal Medicine,Family Medicine,15,349
Critical Care Medicine,Pathology,15,318
Reproductive Endocrinology,Pathology,15,355
Obstetrics & Gynecology,Midwife,15,301
Gynecology,Pediatrics,14,946
Female Pelvic Medicine and Reconstructive Surgery,Hospitalist,14,188
Obstetrics & Gynecology,Radiologic Technologist,14,294
Female Pelvic Medicine and Reconstructive Surgery,Clinical Nurse Specialist,14,413
Obstetrics,Physical Therapist,13,260
Obstetrics & Gynecology,Neuromusculoskeletal Medicine & OMM,13,172
Female Pelvic Medicine and Reconstructive Surgery,Surgery,12,180
Obstetrics,Registered Nurse,12,326
Obstetrics,Anesthesiology,12,163
Obstetrics & Gynecology,Colon & Rectal Surgery,12,199
Obstetrics & Gynecology,Audiologist,12,298
Reproductive Endocrinology,Nurse Practitioner,12,384
Gynecologic Oncology,Ophthalmology,12,159
Obstetrics,General Practice,11,220
Gynecologic Oncology,Dermatology,11,167
Maternal & Fetal Medicine,Specialist,11,175
Gynecology,Clinical Nurse Specialist,11,279
Gynecologic Oncology,Hospitalist,10,140
Gynecology,Thoracic Surgery (Cardiothoracic Vascular Surgery),10,314
Gynecology,Colon & Rectal Surgery,10,139
Female Pelvic Medicine and Reconstructive Surgery,Advanced Practice Midwife,9,197
Female Pelvic Medicine and Reconstructive Surgery,Optometrist,9,119
Maternal & Fetal Medicine,Emergency Medicine,9,364
Obstetrics,Social Worker,8,141
Gynecologic Oncology,Colon & Rectal Surgery,8,123
Female Pelvic Medicine and Reconstructive Surgery,Registered Nurse,8,341
Obesity Medicine,Radiology,8,113
Obstetrics & Gynecology,"Dietitian, Registered",8,104
Obstetrics,"Spec/Tech, Pathology",8,100
Obstetrics & Gynecology,Personal Emergency Response Attendant,8,127
Hospice and Palliative Medicine,Pathology,8,178
Maternal & Fetal Medicine,Nurse Practitioner,7,229
Obstetrics,Chiropractor,7,96
Hospice and Palliative Medicine,Family Medicine,7,217
Obstetrics & Gynecology,Phlebology,7,192
Female Pelvic Medicine and Reconstructive Surgery,Physical Medicine & Rehabilitation,7,99
Gynecology,Clinic/Center,7,234
Gynecologic Oncology,General Practice,7,106
Critical Care Medicine,Hospitalist,7,122
Obstetrics & Gynecology,Occupational Therapist,7,241
Critical Care Medicine,Specialist,7,101
Maternal & Fetal Medicine,Ophthalmology,6,87
Maternal & Fetal Medicine,Surgery,6,85
Obstetrics,Pediatrics,6,125
Obstetrics,Thoracic Surgery (Cardiothoracic Vascular Surgery),6,102
Gynecologic Oncology,Podiatrist,6,78
Obstetrics & Gynecology,"Emergency Medical Technician, Basic",6,207
Female Pelvic Medicine and Reconstructive Surgery,Colon & Rectal Surgery,6,72
Gynecology,Personal Emergency Response Attendant,6,217
Gynecology,Transplant Surgery,6,115
Obstetrics,Neuromusculoskeletal Medicine & OMM,5,61
Hospice and Palliative Medicine,Nurse Practitioner,5,102
Gynecology,"Spec/Tech, Pathology",5,74
Obstetrics & Gynecology,Clinical Medical Laboratory,5,102
Maternal & Fetal Medicine,Student in an Organized Health Care Education/Training Program,5,106
Maternal & Fetal Medicine,Advanced Practice Midwife,5,59
Female Pelvic Medicine and Reconstructive Surgery,Unknown,5,103
Hospice and Palliative Medicine,Hospitalist,5,73
Obstetrics,Unknown,5,99
Gynecology,Midwife,5,108
Reproductive Endocrinology,Family Medicine,5,70
Obstetrics & Gynecology,Anesthesiologist Assistant,5,62
Gynecology,Psychologist,5,72
Obstetrics & Gynecology,Plastic Surgery,5,76
Gynecology,Advanced Practice Midwife,5,208
Obstetrics & Gynecology,Counselor,4,60
Obstetrics,Radiologic Technologist,4,100
Obstetrics & Gynecology,Case Manager/Care Coordinator,4,64
Obstetrics & Gynecology,Independent Medical Examiner,4,76
Obstetrics,Transplant Surgery,4,77
Gynecology,Counselor,4,91
Maternal & Fetal Medicine,Podiatrist,4,108
Gynecology,General Acute Care Hospital,4,60
Maternal & Fetal Medicine,Medical Genetics,4,62
Obstetrics & Gynecology,"Respiratory Therapist, Registered",4,91
Gynecologic Oncology,Allergy & Immunology,4,50
Critical Care Medicine,Family Medicine,4,46
Gynecologic Oncology,Unknown,4,48
Gynecology,Medical Genetics,4,71
Obstetrics & Gynecology,Pharmacist,4,55
Gynecologic Oncology,"Specialist/Technologist, Other",4,151
Maternal & Fetal Medicine,"Spec/Tech, Pathology",4,54
Obesity Medicine,Pathology,4,94
Gynecology,"Emergency Medical Technician, Basic",4,254
Obstetrics & Gynecology,Licensed Practical Nurse,4,49
Gynecology,Plastic Surgery,4,54
Reproductive Endocrinology,Ophthalmology,4,75
Gynecologic Oncology,Pediatrics,3,37
Gynecologic Oncology,Pain Medicine,3,50
Obstetrics,Personal Emergency Response Attendant,3,41
Obstetrics & Gynecology,Dentist,3,37
Gynecologic Oncology,Medical Genetics,3,35
Obstetrics & Gynecology,Durable Medical Equipment & Medical Supplies,3,39
Gynecology,"Dietitian, Registered",3,39
Critical Care Medicine,Physician Assistant,3,56
Reproductive Endocrinology,Urology,3,39
Reproductive Endocrinology,Physician Assistant,3,36
Obstetrics,Preventive Medicine,3,41
Obstetrics & Gynecology,"Neuromusculoskeletal Medicine, Sports Medicine",3,36
Hospice and Palliative Medicine,Anesthesiology,3,42
Hospice and Palliative Medicine,Physical Medicine & Rehabilitation,3,42
Hospice and Palliative Medicine,Specialist,3,62
Obstetrics & Gynecology,Public Health or Welfare,2,29
Reproductive Endocrinology,Hospitalist,2,61
Reproductive Endocrinology,Dermatology,2,24
Reproductive Endocrinology,Chiropractor,2,41
Reproductive Endocrinology,Psychiatry & Neurology,2,29
Obstetrics & Gynecology,Speech-Language Pathologist,2,34
Reproductive Endocrinology,Podiatrist,2,38
Reproductive Endocrinology,Specialist,2,27
Reproductive Endocrinology,Otolaryngology,2,28
Obstetrics & Gynecology,Technician/Technologist,2,69
Obstetrics & Gynecology,Physical Therapy Assistant,2,23
Hospice and Palliative Medicine,Psychiatry & Neurology,2,55
Gynecology,Pharmacist,2,58
Hospice and Palliative Medicine,Psychologist,2,24
Hospice and Palliative Medicine,Physician Assistant,2,104
Hospice and Palliative Medicine,Optometrist,2,67
Female Pelvic Medicine and Reconstructive Surgery,Legal Medicine,2,23
Female Pelvic Medicine and Reconstructive Surgery,"Neuromusculoskeletal Medicine, Sports Medicine",2,23
Gynecology,Social Worker,2,26
Female Pelvic Medicine and Reconstructive Surgery,Otolaryngology,2,45
Female Pelvic Medicine and Reconstructive Surgery,Pain Medicine,2,37
Gynecology,Preventive Medicine,2,27
Obstetrics & Gynecology,Contractor,2,31
Gynecology,"Neuromusculoskeletal Medicine, Sports Medicine",2,23
Gynecology,Licensed Practical Nurse,2,53
Gynecology,Legal Medicine,2,49
Gynecology,Audiologist,2,24
Gynecology,Acupuncturist,2,45
Gynecologic Oncology,Speech-Language Pathologist,2,28
Gynecologic Oncology,Radiologic Technologist,2,26
Gynecologic Oncology,Preventive Medicine,2,48
Gynecologic Oncology,Advanced Practice Midwife,2,100
Gynecologic Oncology,General Acute Care Hospital,2,30
Gynecologic Oncology,Legal Medicine,2,41
Hospice and Palliative Medicine,Podiatrist,2,180
Critical Care Medicine,Psychiatry & Neurology,2,25
Obstetrics,Clinic/Center,2,71
Obstetrics & Gynecology,Audiologist-Hearing Aid Fitter,2,33
Obstetrics & Gynecology,Ambulance,2,35
Obstetrics & Gynecology,Acupuncturist,2,31
Obstetrics,Technician/Technologist,2,32
Obstetrics,Psychologist,2,25
Obstetrics,Legal Medicine,2,24
Obstetrics,Counselor,2,29
Gynecologic Oncology,Licensed Practical Nurse,2,26
Obstetrics,Advanced Practice Midwife,2,81
Obesity Medicine,Family Medicine,2,38
Female Pelvic Medicine and Reconstructive Surgery,Allergy & Immunology,2,79
