PlayerID,ShortName,Team,Position,Position Title,Height_in,Weight_lbs,PhotoUrl
19411,S.Shelton,CHI,CB,Cornerback,69,168,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/19411.png
20262,M.Joseph,CHI,CB,Cornerback,72,194,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/20262.png
22056,J.Johnson,CHI,CB,Cornerback,72,193,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/22056.png
18933,T.Tabor,CHI,CB,Cornerback,72,201,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/18933.png
17953,A.Burns,CHI,CB,Cornerback,72,197,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/17953.png
17985,M.Alexander,CIN,CB,Cornerback,61,192,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/17985.png
17945,W.Jackson III,CIN,CB,Cornerback,72,196,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/17945.png
19968,D.Phillips,CIN,CB,Cornerback,61,190,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/19968.png
16772,T.Waynes,CIN,CB,Cornerback,72,190,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/16772.png
20066,T.Brown,CIN,CB,Cornerback,72,199,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/20066.png
20157,J.Davis,CIN,CB,Cornerback,61,185,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/20157.png
20856,D.Lewis Jr.,CIN,CB,Cornerback,72,190,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/20856.png
22063,T.Bandy,CIN,CB,Cornerback,69,186,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/0.png
18074,L.Sims,CIN,CB,Cornerback,72,203,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/18074.png
18563,W.Rose,CIN,CB,Cornerback,72,180,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/18563.png
20217,T.Thomas,CLE,CB,Cornerback,61,205,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/20217.png
19830,D.Ward,CLE,CB,Cornerback,61,190,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/19830.png
19061,B.Allen,CLE,CB,Cornerback,75,215,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/19061.png
20985,G.Williams,CLE,CB,Cornerback,74,185,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/20985.png
16777,K.Johnson,CLE,CB,Cornerback,72,185,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/16777.png
19893,M.Stewart Jr.,CLE,CB,Cornerback,61,200,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/19893.png
22046,A.Green,CLE,CB,Cornerback,73,194,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/22046.png
16370,T.Mitchell,CLE,CB,Cornerback,61,191,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/16370.png
20203,D.Olumba,CLE,CB,Cornerback,74,205,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/20203.png
18953,C.Awuzie,DAL,CB,Cornerback,72,202,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/18953.png
18975,J.Lewis,DAL,CB,Cornerback,61,195,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/18975.png
22051,T.Diggs,DAL,CB,Cornerback,73,205,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/22051.png
18054,R.Robinson,DAL,CB,Cornerback,72,175,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/18054.png
18125,M.Canady,DAL,CB,Cornerback,73,193,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/18125.png
17337,C.Goodwin,DAL,CB,Cornerback,75,190,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/17337.png
18106,A.Brown,DAL,CB,Cornerback,61,196,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/18106.png
21174,C.Westry,DAL,CB,Cornerback,76,199,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/21174.png
20947,S.Smith,DAL,CB,Cornerback,73,199,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/20947.png
19140,D.Burton,DAL,CB,Cornerback,74,205,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/19140.png
21187,K.Hall,DAL,CB,Cornerback,61,190,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/21187.png
22087,R.Robinson II,DAL,CB,Cornerback,73,205,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/22087.png
