PlayerID,ShortName,Team,Position,Position Title,Height_in,Weight_lbs,PhotoUrl,target
16397,D.Kennard,ARI,OLB,Outside Linebacker,75,256,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/16397.png,0
18909,H.Reddick,ARI,OLB,Outside Linebacker,73,235,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/18909.png,0
16819,M.Golden,ARI,OLB,Outside Linebacker,75,260,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/16819.png,0
19965,K.Fitts,ARI,OLB,Outside Linebacker,76,260,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/19965.png,0
13749,C.Jones,ARI,OLB,Outside Linebacker,77,265,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/13749.png,0
22383,R.Walker,ARI,OLB,Outside Linebacker,74,250,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/22383.png,0
19433,I.Irving,ARI,OLB,Outside Linebacker,75,254,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/19433.png,0
18037,D.Campbell,ARI,OLB,Outside Linebacker,76,232,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/18037.png,0
16991,E.Robinson,ATL,OLB,Outside Linebacker,75,245,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/16991.png,0
16764,D.Fowler Jr.,ATL,OLB,Outside Linebacker,75,255,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/16764.png,0
15450,L.Reynolds,ATL,OLB,Outside Linebacker,73,228,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/15450.png,0
20755,J.Ferguson,BAL,OLB,Outside Linebacker,77,275,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/20755.png,0
21482,O.Alaka,BAL,OLB,Outside Linebacker,75,239,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/21482.png,0
17978,J.Ward,BAL,OLB,Outside Linebacker,77,287,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/17978.png,0
18930,T.Bowser,BAL,OLB,Outside Linebacker,75,242,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/18930.png,0
13892,L.Fort,BAL,OLB,Outside Linebacker,72,232,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/13892.png,0
