Rating Period ,Calendar Year,Model,County,Health Plan,Category of Aid, Lower Bound , Midpoint , Upper Bound 
1/21-12/21,2021,Regional,Tehama,Anthem Blue Cross,SPD,$927.25 ,$950.32 ,$974.40 
1/21-12/21,2021,Regional,Tehama,Anthem Blue Cross,SPD Dual,$150.41 ,$155.69 ,$161.24 
1/21-12/21,2021,Regional,Tehama,Anthem Blue Cross,Maternity,"$10,630.12 ","$10,955.83 ","$11,293.84 "
1/21-12/21,2021,Regional,Tuolumne,Anthem Blue Cross,Child,$66.06 ,$68.98 ,$72.09 
1/21-12/21,2021,Regional,Tuolumne,Anthem Blue Cross,Adult,$261.19 ,$268.96 ,$277.12 
1/21-12/21,2021,Regional,Tuolumne,Anthem Blue Cross,Adult Expansion,$330.63 ,$340.08 ,$349.98 
1/21-12/21,2021,Regional,Tuolumne,Anthem Blue Cross,SPD,$927.25 ,$950.32 ,$974.40 
1/21-12/21,2021,Regional,Tuolumne,Anthem Blue Cross,SPD Dual,$150.41 ,$155.69 ,$161.24 
1/21-12/21,2021,Regional,Tuolumne,Anthem Blue Cross,Maternity,"$10,630.12 ","$10,955.83 ","$11,293.84 "
1/21-12/21,2021,Regional,Yuba,Anthem Blue Cross,Child,$66.06 ,$68.98 ,$72.09 
1/21-12/21,2021,Regional,Yuba,Anthem Blue Cross,Adult,$261.19 ,$268.96 ,$277.12 
1/21-12/21,2021,Regional,Yuba,Anthem Blue Cross,Adult Expansion,$330.63 ,$340.08 ,$349.98 
1/21-12/21,2021,Regional,Yuba,Anthem Blue Cross,SPD,$927.25 ,$950.32 ,$974.40 
1/21-12/21,2021,Regional,Yuba,Anthem Blue Cross,SPD Dual,$150.41 ,$155.69 ,$161.24 
1/21-12/21,2021,Regional,Yuba,Anthem Blue Cross,Maternity,"$10,630.12 ","$10,955.83 ","$11,293.84 "
1/21-12/21,2021,Regional,Alpine,CA Health & Wellness,Child,$70.78 ,$73.93 ,$77.28 
1/21-12/21,2021,Regional,Alpine,CA Health & Wellness,Adult,$301.19 ,$310.12 ,$319.49 
1/21-12/21,2021,Regional,Alpine,CA Health & Wellness,Adult Expansion,$386.59 ,$397.55 ,$409.04 
1/21-12/21,2021,Regional,Alpine,CA Health & Wellness,SPD,"$1,085.70 ","$1,112.46 ","$1,140.39 "
1/21-12/21,2021,Regional,Alpine,CA Health & Wellness,SPD Dual,$182.43 ,$189.11 ,$196.13 
1/21-12/21,2021,Regional,Alpine,CA Health & Wellness,Maternity,"$10,630.12 ","$10,955.83 ","$11,293.84 "
1/21-12/21,2021,Regional,Amador,CA Health & Wellness,Child,$70.78 ,$73.93 ,$77.28 
1/21-12/21,2021,Regional,Amador,CA Health & Wellness,Adult,$301.19 ,$310.12 ,$319.49 
1/21-12/21,2021,Regional,Amador,CA Health & Wellness,Adult Expansion,$386.59 ,$397.55 ,$409.04 
1/21-12/21,2021,Regional,Amador,CA Health & Wellness,SPD,"$1,085.70 ","$1,112.46 ","$1,140.39 "
1/21-12/21,2021,Regional,Amador,CA Health & Wellness,SPD Dual,$182.43 ,$189.11 ,$196.13 
1/21-12/21,2021,Regional,Amador,CA Health & Wellness,Maternity,"$10,630.12 ","$10,955.83 ","$11,293.84 "
1/21-12/21,2021,Regional,Butte,CA Health & Wellness,Child,$70.78 ,$73.93 ,$77.28 
1/21-12/21,2021,Regional,Butte,CA Health & Wellness,Adult,$301.19 ,$310.12 ,$319.49 
1/21-12/21,2021,Regional,Butte,CA Health & Wellness,Adult Expansion,$386.59 ,$397.55 ,$409.04 
1/21-12/21,2021,Regional,Butte,CA Health & Wellness,SPD,"$1,085.70 ","$1,112.46 ","$1,140.39 "
1/21-12/21,2021,Regional,Butte,CA Health & Wellness,SPD Dual,$182.43 ,$189.11 ,$196.13 
1/21-12/21,2021,Regional,Butte,CA Health & Wellness,Maternity,"$10,630.12 ","$10,955.83 ","$11,293.84 "
1/21-12/21,2021,Regional,Calaveras,CA Health & Wellness,Child,$70.78 ,$73.93 ,$77.28 
1/21-12/21,2021,Regional,Calaveras,CA Health & Wellness,Adult,$301.19 ,$310.12 ,$319.49 
1/21-12/21,2021,Regional,Calaveras,CA Health & Wellness,Adult Expansion,$386.59 ,$397.55 ,$409.04 
1/21-12/21,2021,Regional,Calaveras,CA Health & Wellness,SPD,"$1,085.70 ","$1,112.46 ","$1,140.39 "
1/21-12/21,2021,Regional,Calaveras,CA Health & Wellness,SPD Dual,$182.43 ,$189.11 ,$196.13 
1/21-12/21,2021,Regional,Calaveras,CA Health & Wellness,Maternity,"$10,630.12 ","$10,955.83 ","$11,293.84 "
1/21-12/21,2021,Regional,Colusa,CA Health & Wellness,Child,$70.78 ,$73.93 ,$77.28 
1/21-12/21,2021,Regional,Colusa,CA Health & Wellness,Adult,$301.19 ,$310.12 ,$319.49 
1/21-12/21,2021,Regional,Colusa,CA Health & Wellness,Adult Expansion,$386.59 ,$397.55 ,$409.04 
1/21-12/21,2021,Regional,Colusa,CA Health & Wellness,SPD,"$1,085.70 ","$1,112.46 ","$1,140.39 "
1/21-12/21,2021,Regional,Colusa,CA Health & Wellness,SPD Dual,$182.43 ,$189.11 ,$196.13 
1/21-12/21,2021,Regional,Colusa,CA Health & Wellness,Maternity,"$10,630.12 ","$10,955.83 ","$11,293.84 "
1/21-12/21,2021,Regional,El Dorado,CA Health & Wellness,Child,$70.78 ,$73.93 ,$77.28 
1/21-12/21,2021,Regional,El Dorado,CA Health & Wellness,Adult,$301.19 ,$310.12 ,$319.49 
1/21-12/21,2021,Regional,El Dorado,CA Health & Wellness,Adult Expansion,$386.59 ,$397.55 ,$409.04 
1/21-12/21,2021,Regional,El Dorado,CA Health & Wellness,SPD,"$1,085.70 ","$1,112.46 ","$1,140.39 "
1/21-12/21,2021,Regional,El Dorado,CA Health & Wellness,SPD Dual,$182.43 ,$189.11 ,$196.13 
1/21-12/21,2021,Regional,El Dorado,CA Health & Wellness,Maternity,"$10,630.12 ","$10,955.83 ","$11,293.84 "
1/21-12/21,2021,Regional,Glenn,CA Health & Wellness,Child,$70.78 ,$73.93 ,$77.28 
1/21-12/21,2021,Regional,Glenn,CA Health & Wellness,Adult,$301.19 ,$310.12 ,$319.49 
1/21-12/21,2021,Regional,Glenn,CA Health & Wellness,Adult Expansion,$386.59 ,$397.55 ,$409.04 
1/21-12/21,2021,Regional,Glenn,CA Health & Wellness,SPD,"$1,085.70 ","$1,112.46 ","$1,140.39 "
1/21-12/21,2021,Regional,Glenn,CA Health & Wellness,SPD Dual,$182.43 ,$189.11 ,$196.13 
1/21-12/21,2021,Regional,Glenn,CA Health & Wellness,Maternity,"$10,630.12 ","$10,955.83 ","$11,293.84 "
1/21-12/21,2021,Regional,Inyo,CA Health & Wellness,Child,$70.78 ,$73.93 ,$77.28 
1/21-12/21,2021,Regional,Inyo,CA Health & Wellness,Adult,$301.19 ,$310.12 ,$319.49 
1/21-12/21,2021,Regional,Inyo,CA Health & Wellness,Adult Expansion,$386.59 ,$397.55 ,$409.04 
1/21-12/21,2021,Regional,Inyo,CA Health & Wellness,SPD,"$1,085.70 ","$1,112.46 ","$1,140.39 "
1/21-12/21,2021,Regional,Inyo,CA Health & Wellness,SPD Dual,$182.43 ,$189.11 ,$196.13 
1/21-12/21,2021,Regional,Inyo,CA Health & Wellness,Maternity,"$10,630.12 ","$10,955.83 ","$11,293.84 "
1/21-12/21,2021,Regional,Mariposa,CA Health & Wellness,Child,$70.78 ,$73.93 ,$77.28 
1/21-12/21,2021,Regional,Mariposa,CA Health & Wellness,Adult,$301.19 ,$310.12 ,$319.49 
1/21-12/21,2021,Regional,Mariposa,CA Health & Wellness,Adult Expansion,$386.59 ,$397.55 ,$409.04 
1/21-12/21,2021,Regional,Mariposa,CA Health & Wellness,SPD,"$1,085.70 ","$1,112.46 ","$1,140.39 "
1/21-12/21,2021,Regional,Mariposa,CA Health & Wellness,SPD Dual,$182.43 ,$189.11 ,$196.13 
1/21-12/21,2021,Regional,Mariposa,CA Health & Wellness,Maternity,"$10,630.12 ","$10,955.83 ","$11,293.84 "
1/21-12/21,2021,Regional,Mono,CA Health & Wellness,Child,$70.78 ,$73.93 ,$77.28 
1/21-12/21,2021,Regional,Mono,CA Health & Wellness,Adult,$301.19 ,$310.12 ,$319.49 
1/21-12/21,2021,Regional,Mono,CA Health & Wellness,Adult Expansion,$386.59 ,$397.55 ,$409.04 
1/21-12/21,2021,Regional,Mono,CA Health & Wellness,SPD,"$1,085.70 ","$1,112.46 ","$1,140.39 "
1/21-12/21,2021,Regional,Mono,CA Health & Wellness,SPD Dual,$182.43 ,$189.11 ,$196.13 
1/21-12/21,2021,Regional,Mono,CA Health & Wellness,Maternity,"$10,630.12 ","$10,955.83 ","$11,293.84 "
1/21-12/21,2021,Regional,Nevada,CA Health & Wellness,Child,$70.78 ,$73.93 ,$77.28 
1/21-12/21,2021,Regional,Nevada,CA Health & Wellness,Adult,$301.19 ,$310.12 ,$319.49 
