Rating Period,Calendar Year,Model,County,Health Plan Name,Category of Aid, Lower Bound , Upper Bound 
1/24-12/24,2024,Single Plan,Alameda,Kaiser Permanente,LTC - SIS,"$11,346.12 ","$11,774.44 "
1/24-12/24,2024,Single Plan,Alameda,Kaiser Permanente,LTC/Full-Dual - SIS,"$8,508.98 ","$8,811.39 "
1/24-12/24,2024,Single Plan,Alameda,Kaiser Permanente,Maternity - SIS,"$10,792.34 ","$11,269.21 "
1/24-12/24,2024,Single Plan,Alameda,Kaiser Permanente,Child - UIS Federally Eligible,$39.54 ,$44.11 
1/24-12/24,2024,Single Plan,Alameda,Kaiser Permanente,Adult - UIS Federally Eligible,$175.71 ,$188.60 
1/24-12/24,2024,Single Plan,Alameda,Kaiser Permanente,ACA Optional Expansion - UIS Federally Eligible,$210.28 ,$225.28 
1/24-12/24,2024,Single Plan,Alameda,Kaiser Permanente,SPD - UIS Federally Eligible,$659.73 ,$702.11 
1/24-12/24,2024,Single Plan,Alameda,Kaiser Permanente,SPD/Full-Dual - UIS Federally Eligible,$85.50 ,$92.46 
1/24-12/24,2024,Single Plan,Alameda,Kaiser Permanente,LTC - UIS Federally Eligible,$813.59 ,$865.35 
1/24-12/24,2024,Single Plan,Alameda,Kaiser Permanente,LTC/Full-Dual - UIS Federally Eligible,$49.70 ,$54.47 
1/24-12/24,2024,Single Plan,Alameda,Kaiser Permanente,Maternity - UIS Federally Eligible,"$10,792.34 ","$11,269.21 "
1/24-12/24,2024,Single Plan,Alameda,Kaiser Permanente,Child - UIS State-Only,$74.05 ,$80.62 
1/24-12/24,2024,Single Plan,Alameda,Kaiser Permanente,Adult - UIS State-Only,$149.58 ,$160.70 
1/24-12/24,2024,Single Plan,Alameda,Kaiser Permanente,ACA Optional Expansion - UIS State-Only,$198.01 ,$211.58 
1/24-12/24,2024,Single Plan,Alameda,Kaiser Permanente,SPD - UIS State-Only,$550.79 ,$584.31 
1/24-12/24,2024,Single Plan,Alameda,Kaiser Permanente,SPD/Full-Dual - UIS State-Only,$106.52 ,$114.68 
1/24-12/24,2024,Single Plan,Alameda,Kaiser Permanente,LTC - UIS State-Only,"$11,038.30 ","$11,437.99 "
1/24-12/24,2024,Single Plan,Alameda,Kaiser Permanente,LTC/Full-Dual - UIS State-Only,"$15,774.14 ","$16,315.85 "
1/24-12/24,2024,Single Plan,Contra Costa,Contra Costa Health Plan,Child - SIS,$114.70 ,$125.56 
1/24-12/24,2024,Single Plan,Contra Costa,Contra Costa Health Plan,Adult - SIS,$299.04 ,$320.85 
1/24-12/24,2024,Single Plan,Contra Costa,Contra Costa Health Plan,ACA Optional Expansion - SIS,$360.00 ,$385.24 
1/24-12/24,2024,Single Plan,Contra Costa,Contra Costa Health Plan,SPD - SIS,"$1,192.22 ","$1,263.59 "
1/24-12/24,2024,Single Plan,Contra Costa,Contra Costa Health Plan,SPD/Full-Dual - SIS,$284.17 ,$300.81 
1/24-12/24,2024,Single Plan,Contra Costa,Contra Costa Health Plan,LTC - SIS,"$11,897.00 ","$12,347.90 "
1/24-12/24,2024,Single Plan,Contra Costa,Contra Costa Health Plan,LTC/Full-Dual - SIS,"$9,018.68 ","$9,337.98 "
1/24-12/24,2024,Single Plan,Contra Costa,Contra Costa Health Plan,Maternity - SIS,"$11,722.29 ","$12,240.24 "
1/24-12/24,2024,Single Plan,Contra Costa,Contra Costa Health Plan,Child - UIS Federally Eligible,$29.66 ,$33.51 
1/24-12/24,2024,Single Plan,Contra Costa,Contra Costa Health Plan,Adult - UIS Federally Eligible,$185.48 ,$198.77 
1/24-12/24,2024,Single Plan,Contra Costa,Contra Costa Health Plan,ACA Optional Expansion - UIS Federally Eligible,$209.10 ,$223.81 
1/24-12/24,2024,Single Plan,Contra Costa,Contra Costa Health Plan,SPD - UIS Federally Eligible,$594.11 ,$632.12 
1/24-12/24,2024,Single Plan,Contra Costa,Contra Costa Health Plan,SPD/Full-Dual - UIS Federally Eligible,$78.30 ,$84.80 
1/24-12/24,2024,Single Plan,Contra Costa,Contra Costa Health Plan,LTC - UIS Federally Eligible,"$1,061.08 ","$1,127.36 "
1/24-12/24,2024,Single Plan,Contra Costa,Contra Costa Health Plan,LTC/Full-Dual - UIS Federally Eligible,$70.39 ,$76.00 
1/24-12/24,2024,Single Plan,Contra Costa,Contra Costa Health Plan,Maternity - UIS Federally Eligible,"$11,722.29 ","$12,240.24 "
1/24-12/24,2024,Single Plan,Contra Costa,Contra Costa Health Plan,Child - UIS State-Only,$63.91 ,$69.65 
1/24-12/24,2024,Single Plan,Contra Costa,Contra Costa Health Plan,Adult - UIS State-Only,$154.18 ,$165.34 
1/24-12/24,2024,Single Plan,Contra Costa,Contra Costa Health Plan,ACA Optional Expansion - UIS State-Only,$194.13 ,$207.51 
1/24-12/24,2024,Single Plan,Contra Costa,Contra Costa Health Plan,SPD - UIS State-Only,$475.65 ,$504.74 
1/24-12/24,2024,Single Plan,Contra Costa,Contra Costa Health Plan,SPD/Full-Dual - UIS State-Only,$229.33 ,$241.39 
1/24-12/24,2024,Single Plan,Contra Costa,Contra Costa Health Plan,LTC - UIS State-Only,"$11,924.33 ","$12,349.99 "
1/24-12/24,2024,Single Plan,Contra Costa,Contra Costa Health Plan,LTC/Full-Dual - UIS State-Only,"$8,726.13 ","$9,031.45 "
1/24-12/24,2024,Single Plan,Contra Costa,Kaiser Permanente,Child - SIS,$129.24 ,$141.01 
1/24-12/24,2024,Single Plan,Contra Costa,Kaiser Permanente,Adult - SIS,$364.61 ,$391.21 
1/24-12/24,2024,Single Plan,Contra Costa,Kaiser Permanente,ACA Optional Expansion - SIS,$409.31 ,$438.37 
1/24-12/24,2024,Single Plan,Contra Costa,Kaiser Permanente,SPD - SIS,$994.37 ,"$1,056.76 "
1/24-12/24,2024,Single Plan,Contra Costa,Kaiser Permanente,SPD/Full-Dual - SIS,$228.80 ,$243.48 
1/24-12/24,2024,Single Plan,Contra Costa,Kaiser Permanente,LTC - SIS,"$11,897.00 ","$12,347.90 "
1/24-12/24,2024,Single Plan,Contra Costa,Kaiser Permanente,LTC/Full-Dual - SIS,"$9,018.68 ","$9,337.98 "
1/24-12/24,2024,Single Plan,Contra Costa,Kaiser Permanente,Maternity - SIS,"$11,722.29 ","$12,240.24 "
1/24-12/24,2024,Single Plan,Contra Costa,Kaiser Permanente,Child - UIS Federally Eligible,$29.66 ,$33.51 
1/24-12/24,2024,Single Plan,Contra Costa,Kaiser Permanente,Adult - UIS Federally Eligible,$185.48 ,$198.77 
1/24-12/24,2024,Single Plan,Contra Costa,Kaiser Permanente,ACA Optional Expansion - UIS Federally Eligible,$209.10 ,$223.81 
1/24-12/24,2024,Single Plan,Contra Costa,Kaiser Permanente,SPD - UIS Federally Eligible,$594.11 ,$632.12 
