Rate Period,Calendar,Model,County,Health Plan,Category of Aid,Lower Bound,Midpoint,Upper Bound
1/22-12/22,2022,GMC,San Diego,Molina Healthcare,SPD,$796.23 ,$821.63 ,$848.14 
1/22-12/22,2022,GMC,San Diego,Molina Healthcare,SPD/Full-Dual (Non-CCI),$155.49 ,$161.36 ,$167.55 
1/22-12/22,2022,GMC,San Diego,Molina Healthcare,Maternity,"$7,742.95 ","$7,980.94 ","$8,227.97 "
1/22-12/22,2022,GMC,San Diego,Molina Healthcare,Behavioral Health Treatment 0-6,"$2,299.39 ","$2,376.05 ","$2,455.76 "
1/22-12/22,2022,GMC,San Diego,Molina Healthcare,Behavioral Health Treatment 7-20,"$2,009.17 ","$2,076.15 ","$2,145.80 "
1/22-12/22,2022,GMC,San Diego,Aetna Better Health,Child,$78.63 ,$82.36 ,$86.31 
1/22-12/22,2022,GMC,San Diego,Aetna Better Health,Adult,$216.92 ,$224.97 ,$233.42 
1/22-12/22,2022,GMC,San Diego,Aetna Better Health,ACA Optional Expansion,$289.09 ,$299.29 ,$309.97 
1/22-12/22,2022,GMC,San Diego,Aetna Better Health,SPD,$724.31 ,$747.44 ,$771.59 
1/22-12/22,2022,GMC,San Diego,Aetna Better Health,SPD/Full-Dual (Non-CCI),$157.67 ,$163.57 ,$169.77 
1/22-12/22,2022,GMC,San Diego,Aetna Better Health,Maternity,"$7,742.95 ","$7,980.94 ","$8,227.97 "
1/22-12/22,2022,GMC,San Diego,Aetna Better Health,Behavioral Health Treatment 0-6,"$2,478.57 ","$2,561.20 ","$2,647.12 "
1/22-12/22,2022,GMC,San Diego,Aetna Better Health,Behavioral Health Treatment 7-20,"$2,008.65 ","$2,075.62 ","$2,145.25 "
1/22-12/22,2022,GMC,San Diego,United Healthcare,Child,$83.96 ,$87.95 ,$92.19 
1/22-12/22,2022,GMC,San Diego,United Healthcare,Adult,$250.53 ,$259.75 ,$269.42 
1/22-12/22,2022,GMC,San Diego,United Healthcare,ACA Optional Expansion,$291.10 ,$301.43 ,$312.25 
1/22-12/22,2022,GMC,San Diego,United Healthcare,SPD,$751.33 ,$775.47 ,$800.67 
1/22-12/22,2022,GMC,San Diego,United Healthcare,SPD/Full-Dual (Non-CCI),$160.06 ,$166.11 ,$172.48 
1/22-12/22,2022,GMC,San Diego,United Healthcare,Maternity,"$7,742.95 ","$7,980.94 ","$8,227.97 "
1/22-12/22,2022,GMC,San Diego,United Healthcare,Behavioral Health Treatment 0-6,"$2,478.57 ","$2,561.20 ","$2,647.12 "
1/22-12/22,2022,GMC,San Diego,United Healthcare,Behavioral Health Treatment 7-20,"$2,008.65 ","$2,075.62 ","$2,145.25 "
1/23-12/23,2023,GMC,Sacramento,Anthem Blue Cross,Child - SIS,$76.37 ,$80.23 ,$84.33 
1/23-12/23,2023,GMC,Sacramento,Anthem Blue Cross,Adult - SIS,$247.58 ,$256.26 ,$265.35 
1/23-12/23,2023,GMC,Sacramento,Anthem Blue Cross,ACA Optional Expansion - SIS,$312.08 ,$322.65 ,$333.72 
1/23-12/23,2023,GMC,Sacramento,Anthem Blue Cross,SPD - SIS,$749.70 ,$774.01 ,$799.36 
1/23-12/23,2023,GMC,Sacramento,Anthem Blue Cross,SPD/Full-Dual - SIS,$204.30 ,$210.37 ,$216.74 
1/23-12/23,2023,GMC,Sacramento,Anthem Blue Cross,LTC - SIS,"$9,933.55 ","$10,068.70 ","$10,207.68 "
1/23-12/23,2023,GMC,Sacramento,Anthem Blue Cross,LTC/Full-Dual - SIS,"$7,694.75 ","$7,783.84 ","$7,875.12 "
1/23-12/23,2023,GMC,Sacramento,Anthem Blue Cross,Maternity - SIS,"$10,132.48 ","$10,353.29 ","$10,581.35 "
1/23-12/23,2023,GMC,Sacramento,Anthem Blue Cross,Child - UIS Federally Eligible,$25.39 ,$26.91 ,$28.53 
1/23-12/23,2023,GMC,Sacramento,Anthem Blue Cross,Adult - UIS Federally Eligible,$220.43 ,$227.64 ,$235.17 
1/23-12/23,2023,GMC,Sacramento,Anthem Blue Cross,ACA Optional Expansion - UIS Federally Eligible,$241.61 ,$249.44 ,$257.61 
1/23-12/23,2023,GMC,Sacramento,Anthem Blue Cross,SPD - UIS Federally Eligible,$661.53 ,$681.62 ,$702.55 
1/23-12/23,2023,GMC,Sacramento,Anthem Blue Cross,SPD/Full-Dual - UIS Federally Eligible,$109.91 ,$113.75 ,$117.78 
1/23-12/23,2023,GMC,Sacramento,Anthem Blue Cross,LTC - UIS Federally Eligible,"$1,569.41 ","$1,605.74 ","$1,643.44 "
1/23-12/23,2023,GMC,Sacramento,Anthem Blue Cross,LTC/Full-Dual - UIS Federally Eligible,$147.39 ,$151.44 ,$155.69 
1/23-12/23,2023,GMC,Sacramento,Anthem Blue Cross,Maternity - UIS Federally Eligible,"$10,132.48 ","$10,353.29 ","$10,581.35 "
1/23-12/23,2023,GMC,Sacramento,Anthem Blue Cross,Child - UIS State-Only,$43.62 ,$45.55 ,$47.57 
1/23-12/23,2023,GMC,Sacramento,Anthem Blue Cross,Adult - UIS State-Only,$170.36 ,$175.94 ,$181.77 
1/23-12/23,2023,GMC,Sacramento,Anthem Blue Cross,ACA Optional Expansion - UIS State-Only,$217.05 ,$223.89 ,$231.04 
1/23-12/23,2023,GMC,Sacramento,Anthem Blue Cross,SPD - UIS State-Only,$452.90 ,$465.68 ,$479.00 
1/23-12/23,2023,GMC,Sacramento,Anthem Blue Cross,SPD/Full-Dual - UIS State-Only,$225.74 ,$230.78 ,$236.04 
1/23-12/23,2023,GMC,Sacramento,Anthem Blue Cross,LTC - UIS State-Only,"$8,370.48 ","$8,469.48 ","$8,570.95 "
1/23-12/23,2023,GMC,Sacramento,Anthem Blue Cross,LTC/Full-Dual - UIS State-Only,"$7,547.37 ","$7,632.39 ","$7,719.43 "
1/23-12/23,2023,GMC,Sacramento,Aetna Better Health,Child - SIS,$78.01 ,$81.82 ,$85.84 
1/23-12/23,2023,GMC,Sacramento,Aetna Better Health,Adult - SIS,$224.16 ,$232.25 ,$240.74 
1/23-12/23,2023,GMC,Sacramento,Aetna Better Health,ACA Optional Expansion - SIS,$289.92 ,$299.84 ,$310.24 
1/23-12/23,2023,GMC,Sacramento,Aetna Better Health,SPD - SIS,"$1,085.44 ","$1,113.94 ","$1,143.60 "
1/23-12/23,2023,GMC,Sacramento,Aetna Better Health,SPD/Full-Dual - SIS,$248.59 ,$255.40 ,$262.54 
1/23-12/23,2023,GMC,Sacramento,Aetna Better Health,LTC - SIS,"$9,932.61 ","$10,068.43 ","$10,208.14 "
1/23-12/23,2023,GMC,Sacramento,Aetna Better Health,LTC/Full-Dual - SIS,"$7,694.64 ","$7,783.99 ","$7,875.57 "
1/23-12/23,2023,GMC,Sacramento,Aetna Better Health,Maternity - SIS,"$10,132.48 ","$10,353.29 ","$10,581.35 "
1/23-12/23,2023,GMC,Sacramento,Aetna Better Health,Child - UIS Federally Eligible,$28.47 ,$30.12 ,$31.89 
1/23-12/23,2023,GMC,Sacramento,Aetna Better Health,Adult - UIS Federally Eligible,$179.67 ,$185.80 ,$192.21 
1/23-12/23,2023,GMC,Sacramento,Aetna Better Health,ACA Optional Expansion - UIS Federally Eligible,$235.58 ,$243.35 ,$251.47 
1/23-12/23,2023,GMC,Sacramento,Aetna Better Health,SPD - UIS Federally Eligible,$662.21 ,$682.61 ,$703.86 
1/23-12/23,2023,GMC,Sacramento,Aetna Better Health,SPD/Full-Dual - UIS Federally Eligible,$120.67 ,$124.91 ,$129.35 
1/23-12/23,2023,GMC,Sacramento,Aetna Better Health,LTC - UIS Federally Eligible,"$1,567.22 ","$1,603.90 ","$1,641.98 "
1/23-12/23,2023,GMC,Sacramento,Aetna Better Health,LTC/Full-Dual - UIS Federally Eligible,$146.38 ,$150.49 ,$154.78 
1/23-12/23,2023,GMC,Sacramento,Aetna Better Health,Maternity - UIS Federally Eligible,"$10,132.48 ","$10,353.29 ","$10,581.35 "
1/23-12/23,2023,GMC,Sacramento,Aetna Better Health,Child - UIS State-Only,$45.35 ,$47.37 ,$49.51 
1/23-12/23,2023,GMC,Sacramento,Aetna Better Health,Adult - UIS State-Only,$135.39 ,$140.04 ,$144.90 
1/23-12/23,2023,GMC,Sacramento,Aetna Better Health,ACA Optional Expansion - UIS State-Only,$207.21 ,$213.87 ,$220.82 
1/23-12/23,2023,GMC,Sacramento,Aetna Better Health,SPD - UIS State-Only,$453.84 ,$466.73 ,$480.16 
1/23-12/23,2023,GMC,Sacramento,Aetna Better Health,SPD/Full-Dual - UIS State-Only,$233.44 ,$238.76 ,$244.31 
1/23-12/23,2023,GMC,Sacramento,Aetna Better Health,LTC - UIS State-Only,"$8,371.73 ","$8,471.07 ","$8,572.90 "
1/23-12/23,2023,GMC,Sacramento,Aetna Better Health,LTC/Full-Dual - UIS State-Only,"$7,548.26 ","$7,633.51 ","$7,720.78 "
1/23-12/23,2023,GMC,Sacramento,Health Net of California,Child - SIS,$73.31 ,$77.07 ,$81.06 
1/23-12/23,2023,GMC,Sacramento,Health Net of California,Adult - SIS,$249.21 ,$257.96 ,$267.14 
1/23-12/23,2023,GMC,Sacramento,Health Net of California,ACA Optional Expansion - SIS,$306.46 ,$316.89 ,$327.80 
1/23-12/23,2023,GMC,Sacramento,Health Net of California,SPD - SIS,$861.82 ,$889.72 ,$918.83 
1/23-12/23,2023,GMC,Sacramento,Health Net of California,SPD/Full-Dual - SIS,$218.09 ,$224.61 ,$231.45 
1/23-12/23,2023,GMC,Sacramento,Health Net of California,LTC - SIS,"$9,934.41 ","$10,069.82 ","$10,209.09 "
1/23-12/23,2023,GMC,Sacramento,Health Net of California,LTC/Full-Dual - SIS,"$7,695.31 ","$7,784.55 ","$7,875.99 "
1/23-12/23,2023,GMC,Sacramento,Health Net of California,Maternity - SIS,"$10,132.48 ","$10,353.29 ","$10,581.35 "
1/23-12/23,2023,GMC,Sacramento,Health Net of California,Child - UIS Federally Eligible,$26.68 ,$28.35 ,$30.14 
1/23-12/23,2023,GMC,Sacramento,Health Net of California,Adult - UIS Federally Eligible,$213.90 ,$221.05 ,$228.53 
1/23-12/23,2023,GMC,Sacramento,Health Net of California,ACA Optional Expansion - UIS Federally Eligible,$331.54 ,$342.14 ,$353.20 
1/23-12/23,2023,GMC,Sacramento,Health Net of California,SPD - UIS Federally Eligible,$776.09 ,$799.71 ,$824.33 
1/23-12/23,2023,GMC,Sacramento,Health Net of California,SPD/Full-Dual - UIS Federally Eligible,$128.87 ,$133.37 ,$138.10 
1/23-12/23,2023,GMC,Sacramento,Health Net of California,LTC - UIS Federally Eligible,"$1,570.23 ","$1,606.79 ","$1,644.75 "
1/23-12/23,2023,GMC,Sacramento,Health Net of California,LTC/Full-Dual - UIS Federally Eligible,$148.00 ,$152.20 ,$156.60 
1/23-12/23,2023,GMC,Sacramento,Health Net of California,Maternity - UIS Federally Eligible,"$10,132.48 ","$10,353.29 ","$10,581.35 "
1/23-12/23,2023,GMC,Sacramento,Health Net of California,Child - UIS State-Only,$34.34 ,$35.96 ,$37.68 
1/23-12/23,2023,GMC,Sacramento,Health Net of California,Adult - UIS State-Only,$135.57 ,$140.12 ,$144.88 
1/23-12/23,2023,GMC,Sacramento,Health Net of California,ACA Optional Expansion - UIS State-Only,$231.45 ,$238.71 ,$246.29 
1/23-12/23,2023,GMC,Sacramento,Health Net of California,SPD - UIS State-Only,$491.81 ,$505.67 ,$520.10 
1/23-12/23,2023,GMC,Sacramento,Health Net of California,SPD/Full-Dual - UIS State-Only,$237.30 ,$242.62 ,$248.15 
1/23-12/23,2023,GMC,Sacramento,Health Net of California,LTC - UIS State-Only,"$8,370.51 ","$8,469.55 ","$8,571.06 "
1/23-12/23,2023,GMC,Sacramento,Health Net of California,LTC/Full-Dual - UIS State-Only,"$7,547.31 ","$7,632.35 ","$7,719.39 "
1/23-12/23,2023,GMC,Sacramento,Kaiser Foundation HP,Child - SIS,$82.60 ,$86.77 ,$91.18 
1/23-12/23,2023,GMC,Sacramento,Kaiser Foundation HP,Adult - SIS,$278.15 ,$287.81 ,$297.94 
1/23-12/23,2023,GMC,Sacramento,Kaiser Foundation HP,ACA Optional Expansion - SIS,$336.35 ,$347.68 ,$359.54 
1/23-12/23,2023,GMC,Sacramento,Kaiser Foundation HP,SPD - SIS,$647.34 ,$668.68 ,$690.96 
1/23-12/23,2023,GMC,Sacramento,Kaiser Foundation HP,SPD/Full-Dual - SIS,$195.79 ,$201.88 ,$208.27 
1/23-12/23,2023,GMC,Sacramento,Kaiser Foundation HP,LTC - SIS,"$9,937.83 ","$10,073.22 ","$10,212.46 "
1/23-12/23,2023,GMC,Sacramento,Kaiser Foundation HP,LTC/Full-Dual - SIS,"$7,696.24 ","$7,785.44 ","$7,876.85 "
1/23-12/23,2023,GMC,Sacramento,Kaiser Foundation HP,Maternity - SIS,"$10,132.48 ","$10,353.29 ","$10,581.35 "
1/23-12/23,2023,GMC,Sacramento,Kaiser Foundation HP,Child - UIS Federally Eligible,$29.63 ,$31.32 ,$33.12 
1/23-12/23,2023,GMC,Sacramento,Kaiser Foundation HP,Adult - UIS Federally Eligible,$250.53 ,$258.67 ,$267.17 
1/23-12/23,2023,GMC,Sacramento,Kaiser Foundation HP,ACA Optional Expansion - UIS Federally Eligible,$296.12 ,$305.59 ,$315.48 
1/23-12/23,2023,GMC,Sacramento,Kaiser Foundation HP,SPD - UIS Federally Eligible,$591.08 ,$609.18 ,$628.04 
1/23-12/23,2023,GMC,Sacramento,Kaiser Foundation HP,SPD/Full-Dual - UIS Federally Eligible,$122.52 ,$126.77 ,$131.22 
1/23-12/23,2023,GMC,Sacramento,Kaiser Foundation HP,LTC - UIS Federally Eligible,"$1,573.53 ","$1,610.06 ","$1,647.98 "
1/23-12/23,2023,GMC,Sacramento,Kaiser Foundation HP,LTC/Full-Dual - UIS Federally Eligible,$148.75 ,$152.90 ,$157.24 
1/23-12/23,2023,GMC,Sacramento,Kaiser Foundation HP,Maternity - UIS Federally Eligible,"$10,132.48 ","$10,353.29 ","$10,581.35 "
1/23-12/23,2023,GMC,Sacramento,Kaiser Foundation HP,Child - UIS State-Only,$55.67 ,$57.94 ,$60.35 
1/23-12/23,2023,GMC,Sacramento,Kaiser Foundation HP,Adult - UIS State-Only,$176.02 ,$181.77 ,$187.78 
1/23-12/23,2023,GMC,Sacramento,Kaiser Foundation HP,ACA Optional Expansion - UIS State-Only,$243.24 ,$250.88 ,$258.85 
1/23-12/23,2023,GMC,Sacramento,Kaiser Foundation HP,SPD - UIS State-Only,$422.41 ,$434.18 ,$446.43 
1/23-12/23,2023,GMC,Sacramento,Kaiser Foundation HP,SPD/Full-Dual - UIS State-Only,$232.58 ,$237.67 ,$242.98 
1/23-12/23,2023,GMC,Sacramento,Kaiser Foundation HP,LTC - UIS State-Only,"$8,370.63 ","$8,469.68 ","$8,571.19 "
1/23-12/23,2023,GMC,Sacramento,Kaiser Foundation HP,LTC/Full-Dual - UIS State-Only,"$7,547.49 ","$7,632.54 ","$7,719.61 "
1/23-12/23,2023,GMC,Sacramento,Molina Healthcare,Child - SIS,$76.96 ,$80.78 ,$84.82 
1/23-12/23,2023,GMC,Sacramento,Molina Healthcare,Adult - SIS,$230.34 ,$238.49 ,$247.03 
1/23-12/23,2023,GMC,Sacramento,Molina Healthcare,ACA Optional Expansion - SIS,$301.03 ,$311.27 ,$322.00 
1/23-12/23,2023,GMC,Sacramento,Molina Healthcare,SPD - SIS,$790.85 ,$816.42 ,$843.09 
1/23-12/23,2023,GMC,Sacramento,Molina Healthcare,SPD/Full-Dual - SIS,$220.17 ,$226.59 ,$233.33 
1/23-12/23,2023,GMC,Sacramento,Molina Healthcare,LTC - SIS,"$9,934.68 ","$10,070.31 ","$10,209.80 "
1/23-12/23,2023,GMC,Sacramento,Molina Healthcare,LTC/Full-Dual - SIS,"$7,695.83 ","$7,785.21 ","$7,876.81 "
1/23-12/23,2023,GMC,Sacramento,Molina Healthcare,Maternity - SIS,"$10,132.48 ","$10,353.29 ","$10,581.35 "
1/23-12/23,2023,GMC,Sacramento,Molina Healthcare,Child - UIS Federally Eligible,$30.73 ,$32.53 ,$34.45 
1/23-12/23,2023,GMC,Sacramento,Molina Healthcare,Adult - UIS Federally Eligible,$170.05 ,$175.93 ,$182.10 
1/23-12/23,2023,GMC,Sacramento,Molina Healthcare,ACA Optional Expansion - UIS Federally Eligible,$241.69 ,$249.67 ,$258.02 
1/23-12/23,2023,GMC,Sacramento,Molina Healthcare,SPD - UIS Federally Eligible,$808.95 ,$833.59 ,$859.26 
1/23-12/23,2023,GMC,Sacramento,Molina Healthcare,SPD/Full-Dual - UIS Federally Eligible,$107.55 ,$111.47 ,$115.60 
1/23-12/23,2023,GMC,Sacramento,Molina Healthcare,LTC - UIS Federally Eligible,"$1,569.69 ","$1,606.30 ","$1,644.31 "
1/23-12/23,2023,GMC,Sacramento,Molina Healthcare,LTC/Full-Dual - UIS Federally Eligible,$147.76 ,$151.96 ,$156.37 
1/23-12/23,2023,GMC,Sacramento,Molina Healthcare,Maternity - UIS Federally Eligible,"$10,132.48 ","$10,353.29 ","$10,581.35 "
1/23-12/23,2023,GMC,Sacramento,Molina Healthcare,Child - UIS State-Only,$46.12 ,$48.18 ,$50.36 
1/23-12/23,2023,GMC,Sacramento,Molina Healthcare,Adult - UIS State-Only,$128.72 ,$133.19 ,$137.87 
1/23-12/23,2023,GMC,Sacramento,Molina Healthcare,ACA Optional Expansion - UIS State-Only,$194.32 ,$200.50 ,$206.95 
1/23-12/23,2023,GMC,Sacramento,Molina Healthcare,SPD - UIS State-Only,$492.88 ,$506.59 ,$520.88 
1/23-12/23,2023,GMC,Sacramento,Molina Healthcare,SPD/Full-Dual - UIS State-Only,$220.47 ,$225.41 ,$230.55 
1/23-12/23,2023,GMC,Sacramento,Molina Healthcare,LTC - UIS State-Only,"$8,371.33 ","$8,470.54 ","$8,572.21 "
1/23-12/23,2023,GMC,Sacramento,Molina Healthcare,LTC/Full-Dual - UIS State-Only,"$7,548.07 ","$7,633.25 ","$7,720.44 "
1/23-12/23,2023,GMC,San Diego,Blue Shield of California,Child - SIS,$90.32 ,$94.89 ,$99.73 
1/23-12/23,2023,GMC,San Diego,Blue Shield of California,Adult - SIS,$261.56 ,$271.08 ,$281.07 
1/23-12/23,2023,GMC,San Diego,Blue Shield of California,ACA Optional Expansion - SIS,$344.12 ,$356.34 ,$369.13 
1/23-12/23,2023,GMC,San Diego,Blue Shield of California,SPD - SIS,"$1,015.37 ","$1,050.05 ","$1,086.21 "
1/23-12/23,2023,GMC,San Diego,Blue Shield of California,SPD/Full-Dual - SIS,$304.42 ,$312.87 ,$321.73 
1/23-12/23,2023,GMC,San Diego,Blue Shield of California,LTC - SIS,"$12,714.92 ","$12,887.35 ","$13,064.68 "
1/23-12/23,2023,GMC,San Diego,Blue Shield of California,LTC/Full-Dual - SIS,"$8,503.53 ","$8,614.79 ","$8,729.15 "
1/23-12/23,2023,GMC,San Diego,Blue Shield of California,Maternity - SIS,"$7,395.42 ","$7,556.66 ","$7,723.19 "
1/23-12/23,2023,GMC,San Diego,Blue Shield of California,Child - UIS Federally Eligible,$40.97 ,$43.17 ,$45.51 
1/23-12/23,2023,GMC,San Diego,Blue Shield of California,Adult - UIS Federally Eligible,$188.05 ,$194.67 ,$201.60 
1/23-12/23,2023,GMC,San Diego,Blue Shield of California,ACA Optional Expansion - UIS Federally Eligible,$348.50 ,$359.94 ,$371.88 
1/23-12/23,2023,GMC,San Diego,Blue Shield of California,SPD - UIS Federally Eligible,"$1,052.71 ","$1,085.32 ","$1,119.30 "
1/23-12/23,2023,GMC,San Diego,Blue Shield of California,SPD/Full-Dual - UIS Federally Eligible,$134.94 ,$139.76 ,$144.81 
1/23-12/23,2023,GMC,San Diego,Blue Shield of California,LTC - UIS Federally Eligible,"$1,185.30 ","$1,221.83 ","$1,259.88 "
1/23-12/23,2023,GMC,San Diego,Blue Shield of California,LTC/Full-Dual - UIS Federally Eligible,$248.03 ,$255.41 ,$263.12 
1/23-12/23,2023,GMC,San Diego,Blue Shield of California,Maternity - UIS Federally Eligible,"$7,395.42 ","$7,556.66 ","$7,723.19 "
1/23-12/23,2023,GMC,San Diego,Blue Shield of California,Child - UIS State-Only,$63.98 ,$67.01 ,$70.20 
1/23-12/23,2023,GMC,San Diego,Blue Shield of California,Adult - UIS State-Only,$166.92 ,$172.84 ,$179.03 
1/23-12/23,2023,GMC,San Diego,Blue Shield of California,ACA Optional Expansion - UIS State-Only,$413.86 ,$425.70 ,$438.04 
1/23-12/23,2023,GMC,San Diego,Blue Shield of California,SPD - UIS State-Only,"$1,038.30 ","$1,064.45 ","$1,091.65 "
1/23-12/23,2023,GMC,San Diego,Blue Shield of California,SPD/Full-Dual - UIS State-Only,$310.64 ,$317.94 ,$325.55 
1/23-12/23,2023,GMC,San Diego,Blue Shield of California,LTC - UIS State-Only,"$11,538.63 ","$11,674.80 ","$11,814.37 "
1/23-12/23,2023,GMC,San Diego,Blue Shield of California,LTC/Full-Dual - UIS State-Only,"$8,255.50 ","$8,359.38 ","$8,466.02 "
1/23-12/23,2023,GMC,San Diego,Community Health Group,Child - SIS,$86.04 ,$90.42 ,$95.06 
1/23-12/23,2023,GMC,San Diego,Community Health Group,Adult - SIS,$282.36 ,$292.47 ,$303.08 
1/23-12/23,2023,GMC,San Diego,Community Health Group,ACA Optional Expansion - SIS,$344.41 ,$356.48 ,$369.11 
1/23-12/23,2023,GMC,San Diego,Community Health Group,SPD - SIS,$905.50 ,$935.99 ,$967.79 
1/23-12/23,2023,GMC,San Diego,Community Health Group,SPD/Full-Dual - SIS,$296.17 ,$303.96 ,$312.12 
1/23-12/23,2023,GMC,San Diego,Community Health Group,LTC - SIS,"$12,892.50 ","$13,074.58 ","$13,261.97 "
1/23-12/23,2023,GMC,San Diego,Community Health Group,LTC/Full-Dual - SIS,"$7,426.09 ","$7,515.37 ","$7,606.94 "
1/23-12/23,2023,GMC,San Diego,Community Health Group,Maternity - SIS,"$7,395.42 ","$7,556.66 ","$7,723.19 "
1/23-12/23,2023,GMC,San Diego,Community Health Group,Child - UIS Federally Eligible,$25.27 ,$26.79 ,$28.40 
1/23-12/23,2023,GMC,San Diego,Community Health Group,Adult - UIS Federally Eligible,$179.21 ,$185.26 ,$191.59 
1/23-12/23,2023,GMC,San Diego,Community Health Group,ACA Optional Expansion - UIS Federally Eligible,$284.03 ,$293.16 ,$302.69 
1/23-12/23,2023,GMC,San Diego,Community Health Group,SPD - UIS Federally Eligible,$875.84 ,$902.41 ,$930.08 
1/23-12/23,2023,GMC,San Diego,Community Health Group,SPD/Full-Dual - UIS Federally Eligible,$125.42 ,$129.72 ,$134.23 
1/23-12/23,2023,GMC,San Diego,Community Health Group,LTC - UIS Federally Eligible,"$1,457.52 ","$1,501.17 ","$1,546.60 "
1/23-12/23,2023,GMC,San Diego,Community Health Group,LTC/Full-Dual - UIS Federally Eligible,$148.92 ,$153.44 ,$158.17 
1/23-12/23,2023,GMC,San Diego,Community Health Group,Maternity - UIS Federally Eligible,"$7,395.42 ","$7,556.66 ","$7,723.19 "
1/23-12/23,2023,GMC,San Diego,Community Health Group,Child - UIS State-Only,$45.11 ,$47.31 ,$49.63 
1/23-12/23,2023,GMC,San Diego,Community Health Group,Adult - UIS State-Only,$185.12 ,$191.25 ,$197.66 
1/23-12/23,2023,GMC,San Diego,Community Health Group,ACA Optional Expansion - UIS State-Only,$319.20 ,$328.44 ,$338.09 
1/23-12/23,2023,GMC,San Diego,Community Health Group,SPD - UIS State-Only,$960.53 ,$983.46 ,"$1,007.28 "
1/23-12/23,2023,GMC,San Diego,Community Health Group,SPD/Full-Dual - UIS State-Only,$299.34 ,$306.13 ,$313.22 
1/23-12/23,2023,GMC,San Diego,Community Health Group,LTC - UIS State-Only,"$10,434.22 ","$10,562.69 ","$10,694.48 "
1/23-12/23,2023,GMC,San Diego,Community Health Group,LTC/Full-Dual - UIS State-Only,"$7,277.17 ","$7,361.93 ","$7,448.77 "
1/23-12/23,2023,GMC,San Diego,Kaiser Foundation HP,Child - SIS,$92.40 ,$96.97 ,$101.80 
1/23-12/23,2023,GMC,San Diego,Kaiser Foundation HP,Adult - SIS,$249.24 ,$258.17 ,$267.52 
1/23-12/23,2023,GMC,San Diego,Kaiser Foundation HP,ACA Optional Expansion - SIS,$293.34 ,$303.62 ,$314.39 
1/23-12/23,2023,GMC,San Diego,Kaiser Foundation HP,SPD - SIS,$623.95 ,$645.57 ,$668.12 
1/23-12/23,2023,GMC,San Diego,Kaiser Foundation HP,SPD/Full-Dual - SIS,$230.14 ,$236.30 ,$242.76 
1/23-12/23,2023,GMC,San Diego,Kaiser Foundation HP,LTC - SIS,"$11,655.38 ","$11,821.23 ","$11,991.95 "
1/23-12/23,2023,GMC,San Diego,Kaiser Foundation HP,LTC/Full-Dual - SIS,"$7,906.76 ","$8,003.73 ","$8,103.24 "
1/23-12/23,2023,GMC,San Diego,Kaiser Foundation HP,Maternity - SIS,"$7,395.42 ","$7,556.66 ","$7,723.19 "
1/23-12/23,2023,GMC,San Diego,Kaiser Foundation HP,Child - UIS Federally Eligible,$30.95 ,$32.56 ,$34.26 
1/23-12/23,2023,GMC,San Diego,Kaiser Foundation HP,Adult - UIS Federally Eligible,$192.27 ,$198.65 ,$205.32 
1/23-12/23,2023,GMC,San Diego,Kaiser Foundation HP,ACA Optional Expansion - UIS Federally Eligible,$268.34 ,$276.97 ,$285.99 
1/23-12/23,2023,GMC,San Diego,Kaiser Foundation HP,SPD - UIS Federally Eligible,$566.66 ,$584.15 ,$602.37 
1/23-12/23,2023,GMC,San Diego,Kaiser Foundation HP,SPD/Full-Dual - UIS Federally Eligible,$93.46 ,$96.81 ,$100.32 
1/23-12/23,2023,GMC,San Diego,Kaiser Foundation HP,LTC - UIS Federally Eligible,"$1,221.16 ","$1,258.01 ","$1,296.37 "
1/23-12/23,2023,GMC,San Diego,Kaiser Foundation HP,LTC/Full-Dual - UIS Federally Eligible,$158.17 ,$162.91 ,$167.86 
1/23-12/23,2023,GMC,San Diego,Kaiser Foundation HP,Maternity - UIS Federally Eligible,"$7,395.42 ","$7,556.66 ","$7,723.19 "
1/23-12/23,2023,GMC,San Diego,Kaiser Foundation HP,Child - UIS State-Only,$63.78 ,$66.40 ,$69.17 
1/23-12/23,2023,GMC,San Diego,Kaiser Foundation HP,Adult - UIS State-Only,$169.25 ,$174.82 ,$180.65 
1/23-12/23,2023,GMC,San Diego,Kaiser Foundation HP,ACA Optional Expansion - UIS State-Only,$289.12 ,$297.70 ,$306.65 
1/23-12/23,2023,GMC,San Diego,Kaiser Foundation HP,SPD - UIS State-Only,$568.71 ,$583.96 ,$599.83 
1/23-12/23,2023,GMC,San Diego,Kaiser Foundation HP,SPD/Full-Dual - UIS State-Only,$267.75 ,$273.59 ,$279.68 
1/23-12/23,2023,GMC,San Diego,Kaiser Foundation HP,LTC - UIS State-Only,"$10,441.64 ","$10,570.86 ","$10,703.45 "
1/23-12/23,2023,GMC,San Diego,Kaiser Foundation HP,LTC/Full-Dual - UIS State-Only,"$7,748.59 ","$7,840.83 ","$7,935.38 "
1/23-12/23,2023,GMC,San Diego,Molina Healthcare,Child - SIS,$89.12 ,$93.56 ,$98.26 
1/23-12/23,2023,GMC,San Diego,Molina Healthcare,Adult - SIS,$247.06 ,$255.97 ,$265.31 
1/23-12/23,2023,GMC,San Diego,Molina Healthcare,ACA Optional Expansion - SIS,$298.26 ,$308.79 ,$319.81 
1/23-12/23,2023,GMC,San Diego,Molina Healthcare,SPD - SIS,$794.08 ,$821.75 ,$850.61 
1/23-12/23,2023,GMC,San Diego,Molina Healthcare,SPD/Full-Dual - SIS,$342.74 ,$351.36 ,$360.36 
