Rate Period,Calendar,Model,County,Health Plan,Category of Aid,Lower Bound,Midpoint,Upper Bound
01/21-12/21,2021,GMC,Sacramento,Health Net of California,Health Homes Non-Dual,$329.77 ,$334.40 ,$350.74 
01/21-12/21,2021,GMC,Sacramento,Health Net of California,Health Homes Dual,$78.70 ,$82.03 ,$85.69 
01/21-12/21,2021,GMC,San Diego,Health Net of California,Adult,$204.84 ,$211.05 ,$217.57 
01/21-12/21,2021,GMC,San Diego,Health Net of California,Behavioral Health Treatment 0-6,"$2,517.31 ","$2,588.08 ","$2,661.42 "
01/21-12/21,2021,GMC,San Diego,Health Net of California,Behavioral Health Treatment 7-20,"$2,164.58 ","$2,225.44 ","$2,288.50 "
01/21-12/21,2021,GMC,San Diego,Health Net of California,Child,$83.90 ,$87.37 ,$91.04 
01/21-12/21,2021,GMC,San Diego,Health Net of California,Maternity,"$7,512.15 ","$7,742.39 ","$7,981.33 "
01/21-12/21,2021,GMC,San Diego,Health Net of California,Adult Expansion,$260.49 ,$267.93 ,$275.72 
01/21-12/21,2021,GMC,San Diego,Health Net of California,SPD,$679.27 ,$696.13 ,$713.72 
01/21-12/21,2021,GMC,San Diego,Health Net of California,SPD Dual,$124.25 ,$128.53 ,$133.02 
01/21-12/21,2021,GMC,San Diego,Health Net of California,Health Homes Non-Dual,$417.56 ,$423.10 ,$444.38 
01/21-12/21,2021,GMC,San Diego,Health Net of California,Health Homes Dual,$121.06 ,$125.88 ,$131.16 
01/21-12/21,2021,GMC,Sacramento,Health Net of California,Hep C Non-340B,"$2,184.11 ","$2,184.11 ","$2,285.16 "
01/21-12/21,2021,GMC,Sacramento,Health Net of California,Hep C 340B,"$1,722.85 ","$1,722.85 ","$1,759.31 "
01/21-12/21,2021,GMC,San Diego,Health Net of California,Hep C Non-340B,"$2,184.11 ","$2,184.11 ","$2,285.16 "
01/21-12/21,2021,GMC,San Diego,Health Net of California,Hep C 340B,"$1,722.85 ","$1,722.85 ","$1,759.31 "
01/21-12/21,2021,GMC,Sacramento,Kaiser Foundation Health Plan,Adult,$298.50 ,$307.87 ,$317.70 
01/21-12/21,2021,GMC,Sacramento,Kaiser Foundation Health Plan,Behavioral Health Treatment 0-6,"$4,764.97 ","$4,898.95 ","$5,037.76 "
01/21-12/21,2021,GMC,Sacramento,Kaiser Foundation Health Plan,Behavioral Health Treatment 7-20,"$2,313.98 ","$2,379.04 ","$2,446.45 "
01/21-12/21,2021,GMC,Sacramento,Kaiser Foundation Health Plan,Child,$79.18 ,$82.67 ,$86.37 
