Rating Period,Calendar Year,Model,County,Health Plan,Category of Aid, Lower Bound , Midpoint , Upper Bound 
1/21-12/21,2021,Two-Plan,Fresno,Anthem Blue Cross,SPD,723.89,742.08,761.06
1/21-12/21,2021,Two-Plan,Fresno,Anthem Blue Cross,SPD Dual,165.71,171.51,177.6
1/21-12/21,2021,Two-Plan,Fresno,CalViva Health,Adult,260.45,267.8,275.51
1/21-12/21,2021,Two-Plan,Fresno,CalViva Health,Adult Expansion,321.3,330.05,339.22
1/21-12/21,2021,Two-Plan,Fresno,CalViva Health,Behavioral Health Treatment 0-6,"3,900.76","4,010.44","4,124.07"
1/21-12/21,2021,Two-Plan,Fresno,CalViva Health,Behavioral Health Treatment 7-20,"2,621.97","2,695.69","2,772.07"
1/21-12/21,2021,Two-Plan,Fresno,CalViva Health,Child,78.14,81.27,84.59
1/21-12/21,2021,Two-Plan,Fresno,CalViva Health,Hep C 340B,"1,722.85","1,722.85","1,759.31"
1/21-12/21,2021,Two-Plan,Fresno,CalViva Health,Hep C Non-340B,"2,184.11","2,184.11","2,285.16"
1/21-12/21,2021,Two-Plan,Fresno,CalViva Health,Maternity,"7,935.33","8,178.50","8,430.86"
1/21-12/21,2021,Two-Plan,Fresno,CalViva Health,SPD,912.46,934.67,957.83
1/21-12/21,2021,Two-Plan,Fresno,CalViva Health,SPD Dual,177.48,183.59,189.99
1/21-12/21,2021,Two-Plan,Kern,Health Net of California,Adult,240.87,248.08,255.65
1/21-12/21,2021,Two-Plan,Kern,Health Net of California,Adult Expansion,300.9,309.48,318.47
1/21-12/21,2021,Two-Plan,Kern,Health Net of California,Behavioral Health Treatment 0-6,"3,293.17","3,385.76","3,481.70"
1/21-12/21,2021,Two-Plan,Kern,Health Net of California,Behavioral Health Treatment 7-20,"2,328.61","2,394.08","2,461.92"
1/21-12/21,2021,Two-Plan,Kern,Health Net of California,Child,67.36,70.28,73.38
1/21-12/21,2021,Two-Plan,Kern,Health Net of California,Health Homes Non-Dual,328.15,332.74,348.94
1/21-12/21,2021,Two-Plan,Kern,Health Net of California,Health Homes Dual,73.11,75.81,78.76
1/21-12/21,2021,Two-Plan,Kern,Health Net of California,Hep C 340B,"1,722.85","1,722.85","1,759.31"
1/21-12/21,2021,Two-Plan,Kern,Health Net of California,Hep C Non-340B,"2,184.11","2,184.11","2,285.16"
1/21-12/21,2021,Two-Plan,Kern,Health Net of California,Maternity,"6,837.85","7,047.39","7,264.85"
1/21-12/21,2021,Two-Plan,Kern,Health Net of California,SPD,841.84,863.33,885.75
1/21-12/21,2021,Two-Plan,Kern,Health Net of California,SPD Dual,155.69,161.11,166.81
