2025 Disenrollment Reasons View: Medicare Report Card Master Table,,,,,,,,
Contract Number,Organization Marketing Name,Contract Name,Parent Organization,Problems Getting the Plan to Provide and Pay for Needed Care,Problems with Coverage of Doctors and Hospitals,Financial Reasons for Disenrollment,Problems with Prescription Drug Benefits and Coverage,Problems Getting Information and Help from the Plan
H0710 ,UnitedHealthcare ,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO. ,"UnitedHealth Group, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H0712 ,Wellcare ,"WELLCARE OF CONNECTICUT, INC. ",Centene Corporation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H0724 ,Wellcare by Allwell ,"BUCKEYE HEALTH PLAN COMMUNITY SOLUTIONS, Inc. ",Centene Corporation ,19%,17%,15%,Not Available ,13%
H0738 ,AmeriHealth Caritas VIP Care (HMO-D-SNP) ,"AmeriHealth Caritas VIP Next, Inc. ","Independence Health Group, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H0755 ,UnitedHealthcare ,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO. ,"UnitedHealth Group, Inc. ",12%,17%,21%,8%,9%
H0764 ,UnitedHealthcare ,"UNITEDHEALTHCARE OF NEW ENGLAND, INC. ","UnitedHealth Group, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H0783 ,Humana ,"HUMANA BENEFIT PLAN OF TEXAS, INC. ",Humana Inc. ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H0845 ,UnitedHealthcare ,"UNITEDHEALTHCARE OF ILLINOIS, INC. ","UnitedHealth Group, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H0885 ,Braven Health ,HEALTHIER NEW JERSEY INSURANCE COMPANY ,"Horizon Mutual Holdings, Inc ",20%,19%,23%,18%,15%
H0907 ,Wellpoint ,"WELLPOINT IOWA, INC. ","Elevance Health, Inc. ",30%,41%,13%,Not Available ,14%
H0908 ,Wellcare by Allwell ,"BUCKEYE COMMUNITY HEALTH PLAN, INC. ",Centene Corporation ,21%,30%,18%,Not Available ,21%
H0913 ,Wellcare ,"WELLCARE HEALTH PLANS OF NEW JERSEY, INC. ",Centene Corporation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H0976 ,SCAN Health Plan ,SCAN HEALTH PLAN ,SCAN Group ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
