2025 Data View: Medicare Report Card Master Table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONTRACT_ID,Organization Type,Contract Name,Organization Marketing Name,Parent Organization,"HD1: Staying Healthy: Screenings, Tests and Vaccines",,,,HD2: Managing Chronic (Long Term) Conditions,,,,,,,,,,,,,,HD3: Member Experience with Health Plan,,,,,,HD4: Member Complaints and Changes in the Health Plan's Performance,,,HD5: Health Plan Customer Service,,,DD1: Drug Plan Customer Service,DD2: Member Complaints and Changes in the Drug Plan’s Performance,,,DD3: Member Experience with the Drug Plan,,DD4: Drug Safety and Accuracy of Drug Pricing,,,,,
H0107 ,Local CCP ,HEALTH CARE SERVICE CORPORATION ,Blue Cross and Blue Shield of Montana ,Health Care Service Corporation ,75%,75%,82%,52%,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,25%,71%,84%,76%,48%,51%,58%,10%,83%,50%,56%,81,83,90,86,87,86,0.12,2%,Medicare shows only a Star Rating for this topic ,99%,97%,100%,100%,0.12,2%,Medicare shows only a Star Rating for this topic ,83,89,98,86%,90%,88%,92%,83%
H0111 ,Local CCP ,"WELLCARE OF GEORGIA, INC. ",Wellcare ,Centene Corporation ,68%,66%,63%,52%,65%,95%,88%,37%,64%,76%,67%,57%,46%,62%,11%,84%,56%,53%,81,84,89,86,85,85,0.33,39%,Medicare shows only a Star Rating for this topic ,71%,88%,98%,100%,0.33,39%,Medicare shows only a Star Rating for this topic ,86,88,98,85%,88%,86%,96%,82%
H0137 ,Demo ,"COMMONWEALTH CARE ALLIANCE, INC. ",Commonwealth Care Alliance Massachusetts ,"Commonwealth Care Alliance, Inc. ",No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available
H0154 ,Local CCP ,"VIVA HEALTH, INC. ",VIVA Medicare ,"Triton Health Systems, L.L.C. ",75%,80%,65%,46%,87%,97%,97%,76%,86%,87%,83%,59%,52%,87%,10%,85%,82%,63%,86,89,93,89,92,86,0.04,8%,Medicare shows only a Star Rating for this topic ,99%,98%,11%,11%,0.04,8%,Medicare shows only a Star Rating for this topic ,90,93,99,85%,88%,87%,90%,86%
H0169 ,Local CCP ,"UNITEDHEALTHCARE OF WISCONSIN, INC. ",UnitedHealthcare ,"UnitedHealth Group, Inc. ",70%,79%,62%,45%,85%,95%,98%,34%,81%,85%,83%,67%,45%,62%,12%,87%,59%,59%,81,84,89,86,89,86,0.19,22%,Medicare shows only a Star Rating for this topic ,98%,97%,98%,100%,0.19,22%,Medicare shows only a Star Rating for this topic ,89,92,99,87%,87%,89%,88%,85%
H0174 ,Local CCP ,"WELLCARE OF TEXAS, INC. ",Wellcare ,Centene Corporation ,69%,61%,77%,55%,65%,93%,91%,29%,72%,77%,72%,59%,41%,66%,10%,86%,53%,49%,82,84,91,90,87,87,0.4,33%,Medicare shows only a Star Rating for this topic ,91%,93%,98%,100%,0.4,33%,Medicare shows only a Star Rating for this topic ,87,Not enough data available ,98,84%,86%,84%,94%,90%
H0192 ,Demo ,"AMERIHEALTH MICHIGAN, INC. ",AmeriHealth Caritas VIP Care Plus ,"Independence Health Group, Inc. ",No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available
H0251 ,Local CCP ,"UNITEDHEALTHCARE PLAN OF THE RIVER VALLEY, INC. ",UnitedHealthcare ,"UnitedHealth Group, Inc. ",65%,69%,59%,40%,71%,96%,98%,28%,78%,79%,78%,61%,44%,63%,13%,85%,42%,54%,84,85,91,88,92,86,0.1,7%,Medicare shows only a Star Rating for this topic ,99%,97%,98%,100%,0.1,7%,Medicare shows only a Star Rating for this topic ,92,92,99,85%,86%,86%,88%,85%
H0270 ,Local CCP ,WELLCARE HEALTH INSURANCE COMPANY OF AMERICA ,Wellcare ,Centene Corporation ,58%,64%,61%,36%,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Not enough data available ,73%,76%,68%,Not enough data available ,Not enough data available ,70%,No data available ,87%,54%,46%,86,Not enough data available ,Not enough data available ,87,87,Not enough data available ,0.32,42%,Medicare shows only a Star Rating for this topic ,Not enough data available ,Not enough data available ,98%,100%,0.32,42%,Medicare shows only a Star Rating for this topic ,88,Not enough data available ,98,80%,85%,84%,90%,87%
H0292 ,Local CCP ,"HUMANA HEALTH PLAN OF OHIO, INC. ",Humana ,Humana Inc. ,80%,81%,72%,50%,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,61%,86%,92%,76%,54%,46%,92%,14%,93%,82%,73%,84,87,91,89,89,89,0.07,15%,Medicare shows only a Star Rating for this topic ,99%,99%,98%,97%,0.07,15%,Medicare shows only a Star Rating for this topic ,89,90,86,88%,90%,90%,80%,91%
