Contract,PartC_FAC,PartD_FAC,Overall_FAC,PartC_CAI,PartD_CAI,Overall_CAI
H5926,7.0,5.0,8.0,0.080451,0.072332,0.101257
H5928,4.0,3.0,4.0,0.004022,-0.002688,0.003256
H5932,8.0,6.0,9.0,0.10237,0.128476,0.145515
H5937,8.0,6.0,9.0,0.10237,0.128476,0.145515
H5938,1.0,1.0,1.0,-0.058259,-0.033144,-0.063262
H5943,7.0,5.0,8.0,0.080451,0.072332,0.101257
H5945,3.0,2.0,3.0,-0.013699,-0.014987,-0.017803
H5959,1.0,1.0,1.0,-0.058259,-0.033144,-0.063262
H5965,5.0,4.0,6.0,0.032302,0.046282,0.045683
H5969,7.0,5.0,8.0,0.080451,0.072332,0.101257
H5970,5.0,4.0,6.0,0.032302,0.046282,0.045683
H5989,3.0,2.0,3.0,-0.013699,-0.014987,-0.017803
H5991,7.0,5.0,8.0,0.080451,0.072332,0.101257
H5992,7.0,5.0,8.0,0.080451,0.072332,0.101257
H5995,8.0,6.0,9.0,0.10237,0.128476,0.145515
H6018,5.0,4.0,6.0,0.032302,0.046282,0.045683
H6019,7.0,5.0,8.0,0.080451,0.072332,0.101257
H6078,2.0,2.0,2.0,-0.036927,-0.014987,-0.040422
H6130,2.0,,,-0.036927,,
H6154,2.0,2.0,2.0,-0.036927,-0.014987,-0.040422
H6158,4.0,3.0,4.0,0.004022,-0.002688,0.003256
H6170,6.0,3.0,8.0,0.059788,-0.002688,0.101257
H6200,2.0,2.0,2.0,-0.036927,-0.014987,-0.040422
H6202,1.0,1.0,1.0,-0.058259,-0.033144,-0.063262
H6224,,,,,,
H6237,2.0,2.0,2.0,-0.036927,-0.014987,-0.040422
H6248,4.0,2.0,4.0,0.004022,-0.014987,0.003256
H6309,,,,,,
H6316,8.0,6.0,9.0,0.10237,0.128476,0.145515
H6322,5.0,4.0,6.0,0.032302,0.046282,0.045683
H6341,,,,,,
H6345,7.0,5.0,8.0,0.080451,0.072332,0.101257
H6348,5.0,4.0,6.0,0.032302,0.046282,0.045683
H6351,6.0,4.0,7.0,0.059788,0.046282,0.058145
H6368,,,,,,
H6378,8.0,6.0,9.0,0.10237,0.128476,0.145515
H6379,4.0,3.0,5.0,0.004022,-0.002688,0.01879
H6396,7.0,5.0,8.0,0.080451,0.072332,0.101257
H6399,8.0,6.0,9.0,0.10237,0.128476,0.145515
H6453,4.0,3.0,4.0,0.004022,-0.002688,0.003256
H6474,6.0,3.0,5.0,0.059788,-0.002688,0.01879
H6515,,,,,,
H6529,2.0,2.0,2.0,-0.036927,-0.014987,-0.040422
H6545,4.0,3.0,4.0,0.004022,-0.002688,0.003256
H6550,7.0,5.0,8.0,0.080451,0.072332,0.101257
H6566,,,,,,
H6586,4.0,2.0,4.0,0.004022,-0.014987,0.003256
H6595,8.0,6.0,9.0,0.10237,0.128476,0.145515
H6622,4.0,3.0,5.0,0.004022,-0.002688,0.01879
H6652,,,,,,
H6672,5.0,4.0,6.0,0.032302,0.046282,0.045683
H6706,3.0,2.0,2.0,-0.013699,-0.014987,-0.040422
H6723,2.0,2.0,2.0,-0.036927,-0.014987,-0.040422
H6743,3.0,2.0,3.0,-0.013699,-0.014987,-0.017803
H6765,7.0,5.0,8.0,0.080451,0.072332,0.101257
H6776,6.0,5.0,5.0,0.059788,0.072332,0.01879
H6813,4.0,3.0,4.0,0.004022,-0.002688,0.003256
H6815,4.0,3.0,5.0,0.004022,-0.002688,0.01879
H6824,,,,,,
H6832,7.0,5.0,8.0,0.080451,0.072332,0.101257
H6847,2.0,2.0,2.0,-0.036927,-0.014987,-0.040422
H6851,6.0,5.0,7.0,0.059788,0.072332,0.058145
H6852,5.0,4.0,5.0,0.032302,0.046282,0.01879
H6874,1.0,1.0,1.0,-0.058259,-0.033144,-0.063262
H6876,5.0,4.0,7.0,0.032302,0.046282,0.058145
H6891,7.0,5.0,8.0,0.080451,0.072332,0.101257
H6898,1.0,1.0,1.0,-0.058259,-0.033144,-0.063262
H6910,2.0,2.0,2.0,-0.036927,-0.014987,-0.040422
H6959,7.0,5.0,8.0,0.080451,0.072332,0.101257
H6971,,,,,,
H6988,7.0,3.0,8.0,0.080451,-0.002688,0.101257
H6994,,,,,,
H7006,3.0,2.0,3.0,-0.013699,-0.014987,-0.017803
H7020,4.0,4.0,5.0,0.004022,0.046282,0.01879
H7028,4.0,3.0,4.0,0.004022,-0.002688,0.003256
H7063,1.0,1.0,1.0,-0.058259,-0.033144,-0.063262
H7074,3.0,3.0,2.0,-0.013699,-0.002688,-0.040422
H7093,3.0,3.0,4.0,-0.013699,-0.002688,0.003256
H7115,2.0,2.0,2.0,-0.036927,-0.014987,-0.040422
H7123,8.0,6.0,9.0,0.10237,0.128476,0.145515
H7147,4.0,3.0,5.0,0.004022,-0.002688,0.01879
H7149,4.0,3.0,4.0,0.004022,-0.002688,0.003256
H7151,4.0,3.0,5.0,0.004022,-0.002688,0.01879
H7199,4.0,3.0,4.0,0.004022,-0.002688,0.003256
H7220,2.0,2.0,2.0,-0.036927,-0.014987,-0.040422
H7239,,,,,,
H7275,,,,,,
H7284,4.0,3.0,5.0,0.004022,-0.002688,0.01879
H7301,4.0,3.0,5.0,0.004022,-0.002688,0.01879
H7323,5.0,4.0,6.0,0.032302,0.046282,0.045683
H7326,5.0,4.0,5.0,0.032302,0.046282,0.01879
H7355,,,,,,
H7379,1.0,1.0,1.0,-0.058259,-0.033144,-0.063262
H7389,5.0,4.0,5.0,0.032302,0.046282,0.01879
H7397,,,,,,
H7435,,,,,,
H7464,8.0,6.0,9.0,0.10237,0.128476,0.145515
H7471,,,,,,
H7511,7.0,4.0,8.0,0.080451,0.046282,0.101257
H7512,,,,,,
H7518,5.0,4.0,7.0,0.032302,0.046282,0.058145
H7522,6.0,3.0,5.0,0.059788,-0.002688,0.01879
H7524,7.0,5.0,8.0,0.080451,0.072332,0.101257
H7557,7.0,5.0,8.0,0.080451,0.072332,0.101257
H7598,8.0,6.0,9.0,0.10237,0.128476,0.145515
H7605,5.0,4.0,6.0,0.032302,0.046282,0.045683
H7607,4.0,2.0,4.0,0.004022,-0.014987,0.003256
H7617,2.0,1.0,1.0,-0.036927,-0.033144,-0.063262
H7620,,,,,,
H7635,,,,,,
H7670,4.0,3.0,4.0,0.004022,-0.002688,0.003256
H7678,7.0,4.0,8.0,0.080451,0.046282,0.101257
H7680,4.0,3.0,5.0,0.004022,-0.002688,0.01879
H7710,,,,,,
H7766,,,,,,
H7779,8.0,6.0,9.0,0.10237,0.128476,0.145515
H7787,1.0,1.0,1.0,-0.058259,-0.033144,-0.063262
H7813,,,,,,
H7849,4.0,2.0,3.0,0.004022,-0.014987,-0.017803
H7917,3.0,2.0,2.0,-0.013699,-0.014987,-0.040422
H7980,,,,,,
H7993,4.0,3.0,4.0,0.004022,-0.002688,0.003256
H8003,2.0,2.0,2.0,-0.036927,-0.014987,-0.040422
H8010,4.0,3.0,5.0,0.004022,-0.002688,0.01879
H8051,,,,,,
H8067,7.0,5.0,8.0,0.080451,0.072332,0.101257
H8070,2.0,2.0,2.0,-0.036927,-0.014987,-0.040422
H8093,7.0,5.0,8.0,0.080451,0.072332,0.101257
H8095,2.0,2.0,2.0,-0.036927,-0.014987,-0.040422
H8121,,,,,,
H8133,4.0,3.0,4.0,0.004022,-0.002688,0.003256
H8142,3.0,2.0,2.0,-0.013699,-0.014987,-0.040422
H8145,4.0,3.0,5.0,0.004022,-0.002688,0.01879
H8166,3.0,2.0,2.0,-0.013699,-0.014987,-0.040422
H8173,4.0,3.0,5.0,0.004022,-0.002688,0.01879
H8176,7.0,5.0,8.0,0.080451,0.072332,0.101257
H8181,2.0,2.0,2.0,-0.036927,-0.014987,-0.040422
H8189,8.0,6.0,9.0,0.10237,0.128476,0.145515
H8211,5.0,4.0,5.0,0.032302,0.046282,0.01879
H8212,,,,,,
H8298,8.0,6.0,9.0,0.10237,0.128476,0.145515
H8320,,,,,,
H8330,6.0,5.0,5.0,0.059788,0.072332,0.01879
H8332,4.0,3.0,4.0,0.004022,-0.002688,0.003256
H8379,8.0,6.0,9.0,0.10237,0.128476,0.145515
H8385,2.0,2.0,2.0,-0.036927,-0.014987,-0.040422
H8390,8.0,6.0,9.0,0.10237,0.128476,0.145515
H8432,4.0,3.0,4.0,0.004022,-0.002688,0.003256
H8457,6.0,5.0,8.0,0.059788,0.072332,0.101257
H8481,,,,,,
H8492,7.0,5.0,8.0,0.080451,0.072332,0.101257
H8547,4.0,3.0,4.0,0.004022,-0.002688,0.003256
H8552,4.0,3.0,4.0,0.004022,-0.002688,0.003256
H8554,4.0,3.0,4.0,0.004022,-0.002688,0.003256
H8578,2.0,2.0,2.0,-0.036927,-0.014987,-0.040422
H8597,8.0,6.0,9.0,0.10237,0.128476,0.145515
H8604,3.0,3.0,2.0,-0.013699,-0.002688,-0.040422
H8634,4.0,2.0,4.0,0.004022,-0.014987,0.003256
H8649,4.0,3.0,4.0,0.004022,-0.002688,0.003256
H8711,5.0,4.0,5.0,0.032302,0.046282,0.01879
H8764,3.0,2.0,3.0,-0.013699,-0.014987,-0.017803
H8768,4.0,2.0,3.0,0.004022,-0.014987,-0.017803
H8783,1.0,1.0,1.0,-0.058259,-0.033144,-0.063262
H8794,7.0,5.0,8.0,0.080451,0.072332,0.101257
H8797,7.0,4.0,8.0,0.080451,0.046282,0.101257
H8832,,,,,,
H8845,7.0,4.0,8.0,0.080451,0.046282,0.101257
H8849,6.0,3.0,7.0,0.059788,-0.002688,0.058145
H8854,8.0,6.0,9.0,0.10237,0.128476,0.145515
H8879,,,,,,
H8889,1.0,1.0,1.0,-0.058259,-0.033144,-0.063262
H8894,7.0,5.0,8.0,0.080451,0.072332,0.101257
H8902,4.0,3.0,4.0,0.004022,-0.002688,0.003256
H8908,6.0,5.0,7.0,0.059788,0.072332,0.058145
H8917,,,,,,
H8928,6.0,5.0,8.0,0.059788,0.072332,0.101257
H8947,4.0,3.0,4.0,0.004022,-0.002688,0.003256
H8967,7.0,4.0,8.0,0.080451,0.046282,0.101257
H9001,4.0,3.0,4.0,0.004022,-0.002688,0.003256
H9003,2.0,2.0,2.0,-0.036927,-0.014987,-0.040422
H9042,2.0,2.0,2.0,-0.036927,-0.014987,-0.040422
H9047,3.0,2.0,3.0,-0.013699,-0.014987,-0.017803
H9065,6.0,4.0,7.0,0.059788,0.046282,0.058145
H9066,7.0,5.0,8.0,0.080451,0.072332,0.101257
H9096,2.0,1.0,2.0,-0.036927,-0.033144,-0.040422
H9147,8.0,6.0,9.0,0.10237,0.128476,0.145515
H9153,7.0,5.0,8.0,0.080451,0.072332,0.101257
H9179,4.0,2.0,4.0,0.004022,-0.014987,0.003256
H9191,7.0,5.0,8.0,0.080451,0.072332,0.101257
H9207,7.0,4.0,8.0,0.080451,0.046282,0.101257
H9219,3.0,,,-0.013699,,
H9231,4.0,3.0,5.0,0.004022,-0.002688,0.01879
H9306,5.0,4.0,6.0,0.032302,0.046282,0.045683
H9314,,,,,,
H9326,,,,,,
H9364,6.0,5.0,7.0,0.059788,0.072332,0.058145
H9387,5.0,4.0,7.0,0.032302,0.046282,0.058145
H9412,,,,,,
H9431,4.0,3.0,4.0,0.004022,-0.002688,0.003256
H9460,4.0,4.0,5.0,0.004022,0.046282,0.01879
H9485,3.0,2.0,3.0,-0.013699,-0.014987,-0.017803
H9489,4.0,2.0,3.0,0.004022,-0.014987,-0.017803
H9525,5.0,4.0,7.0,0.032302,0.046282,0.058145
H9572,1.0,1.0,1.0,-0.058259,-0.033144,-0.063262
H9589,5.0,4.0,6.0,0.032302,0.046282,0.045683
H9590,7.0,5.0,8.0,0.080451,0.072332,0.101257
H9615,2.0,2.0,2.0,-0.036927,-0.014987,-0.040422
H9623,,,,,,
H9630,6.0,4.0,7.0,0.059788,0.046282,0.058145
H9678,3.0,2.0,3.0,-0.013699,-0.014987,-0.017803
H9686,4.0,3.0,5.0,0.004022,-0.002688,0.01879
H9690,7.0,5.0,8.0,0.080451,0.072332,0.101257
H9699,4.0,3.0,4.0,0.004022,-0.002688,0.003256
H9700,,,,,,
H9706,4.0,3.0,4.0,0.004022,-0.002688,0.003256
H9725,4.0,3.0,4.0,0.004022,-0.002688,0.003256
H9730,6.0,5.0,7.0,0.059788,0.072332,0.058145
H9771,,,,,,
H9802,,,,,,
H9808,1.0,1.0,1.0,-0.058259,-0.033144,-0.063262
H9811,,,,,,
H9826,7.0,5.0,8.0,0.080451,0.072332,0.101257
H9827,4.0,3.0,4.0,0.004022,-0.002688,0.003256
H9834,1.0,1.0,1.0,-0.058259,-0.033144,-0.063262
H9884,3.0,2.0,2.0,-0.013699,-0.014987,-0.040422
H9888,4.0,4.0,5.0,0.004022,0.046282,0.01879
H9904,4.0,3.0,4.0,0.004022,-0.002688,0.003256
H9907,4.0,2.0,3.0,0.004022,-0.014987,-0.017803
H9909,8.0,6.0,9.0,0.10237,0.128476,0.145515
H9916,,,,,,
H9917,6.0,3.0,8.0,0.059788,-0.002688,0.101257
H9942,7.0,5.0,8.0,0.080451,0.072332,0.101257
H9955,7.0,4.0,8.0,0.080451,0.046282,0.101257
H9968,,,,,,
H9977,,,,,,
H9986,7.0,5.0,8.0,0.080451,0.072332,0.101257
R0110,4.0,3.0,4.0,0.004022,-0.002688,0.003256
R0759,3.0,2.0,3.0,-0.013699,-0.014987,-0.017803
R1532,4.0,3.0,4.0,0.004022,-0.002688,0.003256
R2604,5.0,4.0,5.0,0.032302,0.046282,0.01879
R3175,8.0,,,0.10237,,
R3444,5.0,4.0,5.0,0.032302,0.046282,0.01879
R4182,4.0,3.0,4.0,0.004022,-0.002688,0.003256
R5342,3.0,,,-0.013699,,
R5361,3.0,2.0,2.0,-0.013699,-0.014987,-0.040422
R5826,3.0,3.0,4.0,-0.013699,-0.002688,0.003256
R5941,2.0,2.0,2.0,-0.036927,-0.014987,-0.040422
R6694,3.0,2.0,2.0,-0.013699,-0.014987,-0.040422
R6801,5.0,4.0,6.0,0.032302,0.046282,0.045683
R7220,3.0,3.0,4.0,-0.013699,-0.002688,0.003256
R7444,4.0,2.0,4.0,0.004022,-0.014987,0.003256
S0262,,,,,,
S0375,,,,,,
S0586,,,,,,
S1030,,,,,,
S1140,,,,,,
S1822,,,,,,
S2135,,,,,,
S2468,,,,,,
S2893,,,,,,
S3285,,,,,,
S3389,,,,,,
S3521,,,,,,
S3875,,,,,,
S3994,,,,,,
S4501,,,,,,
S4802,,,,,,
S4983,,,,,,
S5450,,,,,,
S5540,,,,,,
S5584,,,,,,
S5593,,,,,,
S5596,,,,,,
S5601,,,,,,
S5609,,,,,,
S5617,,,,,,
S5660,,,,,,
S5715,,,,,,
S5726,,,,,,
S5743,,,,,,
S5795,,,,,,
S5805,,,,,,
S5820,,,,,,
S5857,,,,,,
S5877,,,,,,
S5884,,,,,,
S5904,,,,,,
S5916,,,,,,
S5921,,,,,,
S5953,,,,,,
S5960,,,,,,
S5966,,,,,,
S5975,,,,,,
S5993,,,,,,
S6875,,,,,,
S6939,,,,,,
S8067,,,,,,
S8841,,,,,,
S9701,,,,,,
