FIPS,County,State,Total OB-GYNs,Connected OB-GYNs,Hub Providers,Isolated OB-GYNs,Mean Degree,Pct Connected,Pct Isolated,Pct Hub,Subspecialties,Total Births,Morbidity Births,Morbidity Rate Raw,OB-GYN per 10K Births,Mean Betweenness,Mean Shared Patients,Morbidity Rate (%)
47163,"Sullivan County, TN",TN,50,23,1,27,1.36,46.0,54.0,2.0,3,1492,13.0,0.0087131367292225,335.1,1.9e-05,24.9,0.87
47165,"Sumner County, TN",TN,19,3,0,16,0.63,15.8,84.2,0.0,1,2053,36.0,0.0175353141743789,92.6,5.4e-05,10.2,1.75
47179,"Washington County, TN",TN,43,13,0,30,0.81,30.2,69.8,0.0,7,1292,0.0,0.0,332.8,2e-05,16.5,0.0
47187,"Williamson County, TN",TN,35,8,1,27,2.86,22.9,77.1,2.9,5,2270,0.0,0.0,154.2,3.7e-05,61.4,0.0
47189,"Wilson County, TN",TN,4,2,0,2,0.75,50.0,50.0,0.0,2,1527,16.0,0.0104780615586116,26.2,3e-06,14.5,1.05
48027,"Bell County, TX",TX,81,18,5,63,2.27,22.2,77.8,6.2,8,6140,34.0,0.0055374592833876,131.9,2.5e-05,38.9,0.55
48029,"Bexar County, TX",TX,415,34,3,381,0.39,8.2,91.8,0.7,8,27968,186.0,0.0066504576659038,148.4,3e-06,6.4,0.67
48039,"Brazoria County, TX",TX,17,1,1,16,1.0,5.9,94.1,5.9,2,4800,21.0,0.004375,35.4,0.0,20.2,0.44
48041,"Brazos County, TX",TX,39,11,0,28,1.03,28.2,71.8,0.0,2,2771,31.0,0.0111872970046914,140.7,0.0,14.4,1.12
48061,"Cameron County, TX",TX,32,14,1,18,2.19,43.8,56.2,3.1,3,6893,33.0,0.0047874655447555,46.4,2.8e-05,29.8,0.48
48085,"Collin County, TX",TX,180,36,1,144,0.45,20.0,80.0,0.6,9,11086,74.0,0.0066750856936676,162.4,4e-06,9.6,0.67
48091,"Comal County, TX",TX,16,2,0,14,0.5,12.5,87.5,0.0,2,1448,21.0,0.0145027624309392,110.5,2e-06,8.4,1.45
48113,"Dallas County, TX",TX,544,87,7,457,0.6,16.0,84.0,1.3,7,40379,740.0,0.0183263577602218,134.7,1.7e-05,11.9,1.83
48121,"Denton County, TX",TX,113,19,0,94,0.3,16.8,83.2,0.0,7,10195,61.0,0.0059833251593918,110.8,1.2e-05,5.2,0.6
48135,"Ector County, TX",TX,43,9,0,34,0.81,20.9,79.1,0.0,3,2814,0.0,0.0,152.8,0.000287,11.5,0.0
48139,"Ellis County, TX",TX,14,1,0,13,0.07,7.1,92.9,0.0,2,2244,26.0,0.0115864527629233,62.4,0.0,0.8,1.16
48141,"El Paso County, TX",TX,144,14,1,130,0.49,9.7,90.3,0.7,7,13073,126.0,0.009638185573319,110.2,0.0,7.2,0.96
48157,"Fort Bend County, TX",TX,97,9,0,88,0.38,9.3,90.7,0.0,6,9976,37.0,0.0037089013632718,97.2,1e-06,7.0,0.37
48167,"Galveston County, TX",TX,16,2,0,14,0.19,12.5,87.5,0.0,2,4167,31.0,0.0074394048476121,38.4,0.0,3.6,0.74
48181,"Grayson County, TX",TX,11,7,1,4,3.64,63.6,36.4,9.1,2,1543,0.0,0.0,71.3,3.4e-05,54.4,0.0
48183,"Gregg County, TX",TX,31,17,0,14,1.84,54.8,45.2,0.0,2,1743,0.0,0.0,177.8,3.6e-05,29.3,0.0
48187,"Guadalupe County, TX",TX,13,7,0,6,2.85,53.8,46.2,0.0,3,1847,13.0,0.0070384407146724,70.4,6.2e-05,39.5,0.7
48201,"Harris County, TX",TX,1086,120,3,966,0.39,11.0,89.0,0.3,9,72420,291.0,0.0040182270091135,150.0,2.9e-05,6.2,0.4
48209,"Hays County, TX",TX,26,1,0,25,0.04,3.8,96.2,0.0,1,2502,24.0,0.0095923261390887,103.9,0.0,0.5,0.96
48215,"Hidalgo County, TX",TX,87,27,4,60,1.92,31.0,69.0,4.6,5,14982,216.0,0.014417300760913,58.1,5.3e-05,31.7,1.44
48245,"Jefferson County, TX",TX,29,6,0,23,0.72,20.7,79.3,0.0,3,3578,23.0,0.0064281721632196,81.0,0.0,9.6,0.64
48251,"Johnson County, TX",TX,16,3,0,13,0.5,18.8,81.2,0.0,3,2100,16.0,0.0076190476190476,76.2,0.0,6.3,0.76
48257,"Kaufman County, TX",TX,3,0,0,3,0.0,0.0,100.0,0.0,2,1663,19.0,0.0114251352976548,18.0,0.0,0.0,1.14
48303,"Lubbock County, TX",TX,36,8,2,28,2.81,22.2,77.8,5.6,5,4273,116.0,0.0271472033699976,84.2,3.4e-05,51.2,2.71
48309,"McLennan County, TX",TX,45,14,0,31,0.67,31.1,68.9,0.0,3,3376,47.0,0.0139218009478672,133.3,0.0,11.4,1.39
48329,"Midland County, TX",TX,18,9,1,9,2.17,50.0,50.0,5.6,3,2904,19.0,0.0065426997245179,62.0,2.3e-05,32.1,0.65
