phenotype
Purple/Long
Purple/Long
Purple/Long
Purple/Long
Purple/Long
Red/Long
Red/Round
Purple/Long
Purple/Long
Purple/Long
Purple/Long
Red/Round
Purple/Long
Purple/Long
Red/Round
Purple/Long
Purple/Long
Red/Long
Red/Round
Purple/Long
Purple/Long
Purple/Long
Purple/Long
Purple/Round
Purple/Long
Purple/Long
Purple/Long
Purple/Long
Purple/Long
Purple/Long
Purple/Long
Purple/Long
Purple/Long
Purple/Long
Red/Long
Purple/Long
Purple/Long
Red/Long
Red/Round
Red/Round
Purple/Long
Purple/Long
Purple/Long
Purple/Long
Purple/Long
Purple/Long
Purple/Long
Purple/Long
Purple/Long
Purple/Round
Purple/Long
Purple/Long
Red/Long
Purple/Round
Purple/Long
Purple/Long
Red/Round
Purple/Long
Purple/Long
Red/Round
Purple/Long
Red/Round
Purple/Long
Red/Round
Red/Round
Red/Long
Purple/Long
Red/Round
Purple/Long
Purple/Long
Purple/Long
Purple/Long
Red/Round
Purple/Long
Purple/Long
Purple/Long
Purple/Long
Purple/Long
Purple/Long
Purple/Long
Purple/Long
Purple/Long
Red/Round
Purple/Long
Purple/Long
Red/Long
Purple/Long
Purple/Long
Purple/Long
Red/Round
Purple/Long
Purple/Long
Purple/Round
Purple/Long
Purple/Long
Purple/Long
Red/Round
Purple/Long
Red/Round
Purple/Long
Purple/Round
Purple/Long
Red/Round
Red/Round
Purple/Long
Purple/Long
Red/Round
Purple/Long
Purple/Long
Purple/Long
Red/Long
Purple/Long
Red/Round
Purple/Long
Purple/Long
Purple/Long
Purple/Long
Purple/Long
Purple/Long
Purple/Long
Purple/Long
Purple/Long
Purple/Long
Purple/Long
Purple/Long
Purple/Long
Purple/Long
Purple/Round
Red/Round
Purple/Long
Purple/Long
Purple/Long
Purple/Long
Purple/Long
Purple/Long
Purple/Long
Purple/Long
Purple/Long
Purple/Long
Purple/Long
Purple/Long
Purple/Long
Purple/Long
Purple/Long
Purple/Long
Red/Round
Purple/Long
Red/Round
Purple/Long
Purple/Long
Purple/Long
Purple/Long
Purple/Long
Purple/Long
Purple/Long
Purple/Round
Purple/Long
Purple/Long
Purple/Long
Purple/Long
Purple/Round
Purple/Long
Red/Round
Purple/Long
Red/Round
Purple/Long
Purple/Long
Red/Round
Red/Round
Purple/Long
Red/Round
Red/Round
Purple/Long
Purple/Long
Purple/Long
Red/Long
Purple/Long
Purple/Long
Purple/Long
Red/Round
Purple/Long
Red/Round
Purple/Long
Purple/Long
Purple/Long
Purple/Long
Purple/Long
Purple/Long
Purple/Long
Purple/Long
Purple/Long
Red/Round
Red/Round
Purple/Long
Purple/Long
Purple/Long
Purple/Long
Red/Long
Red/Round
Purple/Long
Purple/Long
Purple/Long
Purple/Long
Purple/Long
Red/Round
Purple/Long
Purple/Long
Purple/Round
Purple/Long
Purple/Long
Red/Long
Purple/Long
Purple/Round
Red/Round
Purple/Long
Purple/Long
Purple/Long
Purple/Long
Purple/Round
Purple/Long
Purple/Long
Purple/Long
Purple/Long
Purple/Long
Purple/Long
Purple/Long
Purple/Long
Purple/Long
Purple/Long
Purple/Long
Purple/Long
Purple/Long
Purple/Long
Purple/Long
Purple/Long
Purple/Long
Red/Round
Purple/Long
Purple/Long
Purple/Long
Purple/Long
Purple/Long
Purple/Long
Purple/Long
Red/Long
Purple/Long
Purple/Long
Purple/Long
Purple/Round
Purple/Long
Red/Long
Purple/Long
Red/Round
Purple/Long
Purple/Long
Red/Round
Purple/Long
Red/Round
Purple/Long
Purple/Long
Purple/Long
Purple/Long
Purple/Long
Purple/Long
Purple/Long
Purple/Long
Purple/Long
Purple/Long
Purple/Long
Red/Long
Purple/Long
Purple/Long
Purple/Long
Purple/Round
Purple/Long
Purple/Round
Red/Long
Purple/Long
Purple/Long
Purple/Round
Red/Round
Purple/Long
Red/Round
Purple/Long
Purple/Long
Purple/Long
Purple/Long
Purple/Long
Purple/Long
Purple/Long
Red/Round
Purple/Long
Purple/Long
Purple/Long
Purple/Long
Red/Round
Purple/Long
Purple/Long
Purple/Long
Purple/Long
Purple/Round
Red/Long
Red/Round
Purple/Round
Red/Long
Purple/Long
Red/Round
Red/Long
Purple/Long
Purple/Long
Purple/Long
Purple/Long
Purple/Long
Red/Long
Purple/Long
Purple/Long
Purple/Long
Purple/Long
Purple/Long
Purple/Long
Purple/Long
Purple/Long
Purple/Long
Purple/Long
Purple/Long
Purple/Long
Purple/Long
Purple/Long
Purple/Long
Red/Round
Purple/Long
Red/Round
Purple/Long
Purple/Long
Purple/Round
Red/Long
Purple/Long
Red/Long
Purple/Long
Purple/Long
Purple/Long
Purple/Long
Purple/Long
Purple/Long
Purple/Long
Purple/Long
Purple/Long
Purple/Long
Purple/Long
Purple/Long
Purple/Long
Purple/Long
Red/Round
Purple/Long
Purple/Long
Purple/Long
Purple/Round
Purple/Long
Purple/Long
Red/Round
Purple/Long
Purple/Long
Purple/Long
Purple/Long
Purple/Long
Red/Round
Purple/Long
Purple/Long
Purple/Long
Purple/Round
Purple/Long
Purple/Long
Purple/Long
Purple/Long
Red/Round
Red/Round
Purple/Long
Purple/Round
Red/Round
Purple/Long
Purple/Long
