ID,Neighborhood,Total Jobs,Total Jobs Change,Number of jobs in NAICS sector 22 (Utilities),Change Utilities,Number of jobs in NAICS sector 23 (Construction),Change Construction,Number of jobs in NAICS sector 31-33 (Manufacturing),Change Manufacturing,Number of jobs in NAICS sector 42 (Wholesale Trade),Change Wholesale Trade,Number of jobs in NAICS sector 44-45 (Retail Trade),Change Retail Trade,Number of jobs in NAICS sector 48-49 (Transportation and Warehousing),Change Transportation and Warehousing,Number of jobs in NAICS sector 51 (Information),Change Information,Number of jobs in NAICS sector 52 (Finance and Insurance),Change Finance and Insurance,Number of jobs in NAICS sector 53 (Real Estate and Rental and Leasing),Change Real Estate and Leasing,"Number of jobs in NAICS sector 54 (Professional, Scientific, and Technical Services)",Change Professional Services,Number of jobs in NAICS sector 55 (Management of Companies and Enterprises),Change Management,Number of jobs in NAICS sector 56 (Administrative and Support and Waste Management and Remediation Services),Change Waste Management,Number of jobs in NAICS sector 61 (Educational Services),Change Educational Services,Number of jobs in NAICS sector 62 (Health Care and Social Assistance),Change Health Care,"Number of jobs in NAICS sector 71 (Arts, Entertainment, and Recreation)",Change Arts and Rec,Number of jobs in NAICS sector 72 (Accommodation and Food Services),Change Accomodation and Food Service,Number of jobs in NAICS sector 81 (Other Services [except Public Administration]),Change Other Services
72,Mid-city,6788,-1239,17,0,129,-5,214,-15,181,-11,561,-56,190,-15,1143,-377,259,8,158,-11,663,-60,86,-5,458,-46,555,-122,958,-57,231,-90,723,-304,262,-73
73,Miracle Mile,10179,-1934,27,1,128,-5,273,-19,333,-20,719,-72,150,-12,2283,-753,381,11,258,-18,1286,-116,135,-8,585,-59,654,-144,1278,-77,426,-166,881,-370,382,-107
74,Mission Hills,9784,-1422,52,1,497,-20,842,-59,399,-24,1102,-110,282,-23,516,-170,358,11,188,-13,486,-44,147,-9,727,-73,795,-175,1809,-109,170,-66,1024,-430,390,-109
75,Mt. Washington,9792,-1577,64,1,334,-13,692,-48,480,-29,957,-96,322,-26,851,-281,343,10,168,-12,652,-59,119,-7,654,-65,899,-198,1529,-92,283,-110,1054,-443,391,-109
76,North Hills,21567,-3124,90,2,1093,-44,1708,-120,839,-50,2609,-261,543,-43,1227,-405,768,23,463,-32,1199,-108,311,-19,1605,-161,1364,-300,4209,-253,398,-155,2276,-956,865,-242
77,North Hollywood,67359,-11664,243,5,2132,-85,3509,-246,2307,-138,6484,-648,1409,-113,9614,-3173,2067,62,1505,-105,4790,-431,798,-48,4545,-455,4156,-914,11610,-697,1964,-766,7494,-3147,2732,-765
78,Northridge,28098,-4295,167,3,1040,-42,1778,-124,1080,-65,2841,-284,648,-52,1964,-648,1218,37,597,-42,2065,-186,416,-25,1808,-181,2869,-631,4976,-299,699,-273,2732,-1147,1200,-336
79,Pacific Palisades,7603,-1303,12,0,177,-7,285,-20,298,-18,574,-57,142,-11,1196,-395,382,11,258,-18,1019,-92,114,-7,396,-40,669,-147,881,-53,274,-107,593,-249,333,-93
80,Pacoima,27047,-3705,122,2,1923,-77,3542,-248,1173,-70,3100,-310,873,-70,900,-297,692,21,506,-35,1102,-99,332,-20,2206,-221,1893,-416,4560,-274,421,-164,2787,-1171,915,-256
81,Palisades Highlands,1833,-295,1,0,38,-2,87,-6,72,-4,144,-14,26,-2,204,-67,87,3,49,-3,266,-24,29,-2,116,-12,184,-40,244,-15,68,-27,134,-56,84,-24
82,Palms,20364,-3582,72,1,338,-14,691,-48,614,-37,1505,-151,451,-36,2896,-956,851,26,535,-37,2898,-261,282,-17,1219,-122,2118,-466,2460,-148,644,-251,2028,-852,762,-213
83,Panorama City,27399,-3899,116,2,1414,-57,2314,-162,1040,-62,3274,-327,792,-63,1097,-362,800,24,560,-39,1432,-129,311,-19,2214,-221,1545,-340,5821,-349,506,-197,3091,-1298,1072,-300
84,Park La Brea,5035,-908,9,0,84,-3,144,-10,184,-11,362,-36,87,-7,846,-279,232,7,145,-10,639,-58,78,-5,310,-31,325,-72,668,-40,204,-80,515,-216,203,-57
85,Pico-Union,12703,-2082,34,1,405,-16,807,-56,699,-42,1559,-156,407,-33,604,-199,374,11,314,-22,688,-62,168,-10,1072,-107,781,-172,1926,-116,276,-108,1926,-809,663,-186
86,Playa Del Rey,1488,-249,9,0,37,-1,80,-6,63,-4,102,-10,58,-5,219,-72,77,2,40,-3,224,-20,21,-1,76,-8,127,-28,144,-9,35,-14,142,-60,34,-10
87,Playa Vista,4579,-752,14,0,102,-4,243,-17,181,-11,345,-35,130,-10,618,-204,203,6,120,-8,752,-68,63,-4,249,-25,439,-97,477,-29,125,-49,369,-155,149,-42
88,Porter Ranch,14520,-2159,85,2,490,-20,926,-65,601,-36,1296,-130,323,-26,1250,-413,784,24,325,-23,1262,-114,206,-12,837,-84,1435,-316,2628,-158,317,-124,1230,-517,525,-147
89,Rancho Park,2689,-480,9,0,56,-2,79,-6,96,-6,192,-19,50,-4,477,-157,118,4,84,-6,356,-32,38,-2,129,-13,264,-58,319,-19,109,-43,215,-90,98,-27
90,Regent Square,1816,-315,5,0,40,-2,85,-6,70,-4,181,-18,66,-5,179,-59,48,1,41,-3,163,-15,25,-2,124,-12,152,-33,266,-16,60,-23,222,-93,89,-25
91,Reseda,32039,-4765,94,2,1328,-53,1973,-138,1251,-75,3609,-361,712,-57,2171,-716,1346,40,672,-47,2335,-210,467,-28,2304,-230,2143,-471,6294,-378,697,-272,3361,-1412,1282,-359
92,Reseda Ranch,2354,-338,13,0,103,-4,123,-9,98,-6,264,-26,51,-4,141,-47,110,3,39,-3,172,-15,44,-3,193,-19,140,-31,483,-29,47,-18,243,-102,90,-25
93,Reynier Village,2347,-418,6,0,47,-2,99,-7,81,-5,216,-22,58,-5,294,-97,81,2,62,-4,258,-23,42,-3,169,-17,219,-48,275,-17,76,-30,272,-114,92,-26
94,San Pedro,30995,-4344,212,4,1302,-52,2419,-169,1441,-86,3273,-327,4049,-324,743,-245,813,24,799,-56,1747,-157,528,-32,2058,-206,2463,-542,4165,-250,665,-259,3266,-1372,1052,-295
95,Shadow Hills,1902,-306,15,0,108,-4,119,-8,65,-4,162,-16,37,-3,287,-95,78,2,39,-3,164,-15,23,-1,117,-12,131,-29,296,-18,68,-27,138,-58,55,-15
