company,fragrance,strength,size,score,category,season,time
Xerjoff,Starlight,EDP,5,4.41,Spicy,Cool,Day/Night
Xerjoff,Starlight,EDP,50,4.41,Spicy,Cool,Day/Night
Xerjoff,Tony Iommi Deified,EDP,5,4.15,Spicy,Cool,Night
Xerjoff,Tony Iommi Deified,EDP,50,4.15,Spicy,Cool,Night
Xerjoff,Tony Iommi Monkey Special Xerjoff,EDP,100,4.3,Spicy,Cool,Night
Xerjoff,Tony Iommi Monkey Special Xerjoff,EDP,5,4.3,Spicy,Cool,Night
Xerjoff,Casamorati 1888 Fiero,EDP,5,4.17,Fresh Citrus,Warm,Day
Xerjoff,Erba Gold,EDP,5,4.36,Fruity,Warm,Day
Xerjoff,Erba Pura,EDP,5,3.8,Fruity,Warm/Cool,Day/Night
Xerjoff,Torino21,EDP,5,4.49,Aromatic Green,Warm,Day
Xerjoff,XJ 1861 Naxos,EDP,5,4.5,Tobacco,Warm,Day/Night
Xerjoff,XJ 1861 Zefiro,EDP,5,4.19,Spicy,Warm/Cool,Day/Night
Xerjoff,Torino21,EDP,50,4.5,Aromatic Green,Warm,Day
Xerjoff,XJ 1861 Naxos,EDP,100,4.5,Fresh Citrus,Warm,Day/Night
Yves Saint Laurent,Babycat Raw Bourbon,EDP,5,4.61,Dry Aromatic Woods,Cool,Day/Night
Yves Saint Laurent,Y,EDP,5,4.4,Fougere,Warm/Cool,Day/Night
Zaharoff,Seamless Soul,EDP,50,4.43,Dry Aromatic Woods,Warm/Cool,Day/Night
Zaharoff,Sun-Kissed Island,EDP,50,3.74,Fruity,Warm,Day/Night
